title,item_id,link,cover,creators,genres,views,subscribers,likes,banner,details,tags,episodes,released
My Gentle Giant,140273,https://tapas.io/series/My-Gentle-Giant/info,https://d30womf5coomej.cloudfront.net/sa/55/a77bd21b-e4f6-4934-b316-0b9af3cb7bcc_z.jpg,['EmAuthor'],"['BL', 'LGBTQ+', 'Slice of life']","29,109,978 views","241,427 subscribers","2,934,170 likes",https://d30womf5coomej.cloudfront.net/sa/01/c44877f9-be85-4558-bb97-cd3f543a5938.jpg,"Jun Watanabe is your average outcast. He's a third year in high school, but he looks like a first year. He wants to play soccer, but he sucks at sports. And to top it all off....he's gay. However, when Akihiro, the school giant, comes to his rescue, Jun finds out that looks can be deceiving, first loves are often full of misunderstandings, and what matters most, is not how you look, but what's inside your heart.

Support Us on Patreon: https://www.patreon.com/AUTHOREAB","['#gay', '#soft', '#comedy', '#Angst', '#bl', '#fluff', '#first_love', '#slice_of_life', '#Pure_Babies', '#gay', '#soft', '#comedy', '#Angst', '#bl', '#fluff', '#first_love', '#slice_of_life', '#Pure_Babies']",176,"Sep 28, 2020"
DaiMaou,36492,https://tapas.io/series/daimaou/info,https://d30womf5coomej.cloudfront.net/sa/ee/47d93a79-00e4-43f2-9e66-ea64dd47e2e4_z.jpg,['Amanduur'],"['BL', 'Comedy', 'Fantasy']","24,186,270 views","103,218 subscribers","2,453,503 likes",https://d30womf5coomej.cloudfront.net/sa/e9/5bf54054-cc69-4ec6-844a-63ebf41bdee2.jpg,"TL;DR: Shitty comedy masquerading as an actual fantasy comic LOL.

In an attempt to strip him of his power, Enon seeks to steal Azaroth's gold vessel. If he succeeds, killing Azaroth and taking the title of DaiMaou will be a breeze, so Enon tries... and tries... and tries...

Updates MONDAYS, WEDNESDAY AND FRIDAY.
Reads right to left.","['#gay', '#Fantasy', '#romance', '#comedy', '#demons', '#bl', '#lgbt', '#slow_burn', '#slowburn', '#gay', '#Fantasy', '#romance', '#comedy', '#demons', '#bl', '#lgbt', '#slow_burn', '#slowburn']",479,"Jul 08, 2020"
Idiots Don't Catch Colds,67447,https://tapas.io/series/Idiots-Dont-Catch-Colds/info,https://d30womf5coomej.cloudfront.net/sa/6e/68e16750-0960-41f0-84ee-7d18c3fdff29_z.jpg,['Aina Palm'],['BL'],"18,534,129 views","132,648 subscribers","1,851,428 likes",https://d30womf5coomej.cloudfront.net/sa/49/9221a283-6650-4fe1-8aec-560e0c64f7dc.jpg,"There is only one guy Souta absolutely can't stand. So of course, he gets partnered up with him for the school assignment. Suddenly suspension doesn't seem like such a bad alternative.
Updates every Saturday at 10AM (EST).","['#romance', '#drama', '#comedy', '#Soccer', '#sports', '#bl', '#high_school', '#romance', '#drama', '#comedy', '#Soccer', '#sports', '#bl', '#high_school']",233,"Sep 02, 2020"
Jamie,110007,https://tapas.io/series/Jamie/info,https://d30womf5coomej.cloudfront.net/sa/a9/0537e714-defd-43ee-ae46-d51b2dd4a0d3_z.jpg,"['Bre Indigo', 'Tami']","['LGBTQ+', 'Drama', 'Slice of life']","14,263,432 views","126,167 subscribers","1,452,529 likes",https://d30womf5coomej.cloudfront.net/sa/94/ce0394f9-b289-42d5-87b6-c2ee6cd823ee.jpg,"[ Coming of Age | LGBTQ+ | Young Adult ]

At his aunt’s wedding, Jamie, a young hopeless romantic, bumps into Aiden, a socially inept pretty boy, who unintentionally steals his heart. After discovering Aiden goes to his school, with the help of his sister Vicky, Jamie decides to find the quickest way to win him over. Gaining unforgettable friendships and important life lessons along the way, Jamie’s impact on Aiden and his group of friends creates a rippling effect that changes everything.

☆ This story will touch on:
     Identity, Abandonment, Heartbreak, Acceptance, Gratitude, and Personal Growth

☆ Content Warning: 
     Language, Alcohol, Cannabis, Tobacco, and Toxic Behavior (others will be announced when impending)

☆ Schedule/Updates:
     Bi-monthly / Fridays / 11:00 am PST

☆ Read in Portuguese
     goo.gl/6P5hdw

☆ Read in Russian
     goo.gl/bBAky1

☆ Author’s Notes: 
     This is a personal project that my partner and I are grateful to have so many passionate readers, but please understand that we write this story for ourselves. The majority of the events in this story are based on personal experiences that we share with you through the cast. If the story or characters do not cater to your preferences then thank you for giving ‘Jamie’ a chance. Happy trails!","['#friendship', '#queer', '#crush', '#lgbt', '#lgbtq', '#Highschool', '#coming_of_age', '#Pride', '#YA', '#slow_burn', '#LGB', '#slice_of_life', '#teen_drama', '#young_adult', '#friendship', '#queer', '#crush', '#lgbt', '#lgbtq', '#Highschool', '#coming_of_age', '#Pride', '#YA', '#slow_burn', '#LGB', '#slice_of_life', '#teen_drama', '#young_adult']",138,"Jun 04, 2020"
FANGS,155459,https://tapas.io/series/fangscomic/info,https://d30womf5coomej.cloudfront.net/sa/18/a98a744d-938f-4dd1-8158-05bd242b8b90_z.jpg,['Sarah Andersen'],"['Romance', 'Comedy']","36,237,626 views","160,308 subscribers","1,343,073 likes",6,"Vamp is three hundred years old but in all that time, she has never met her match. This all changes one night in a bar when she meets a charming werewolf. FANGS chronicles the humor, sweetness, and awkwardness of meeting someone perfectly suited to you but also vastly different.",[],78,"Oct 31, 2019"
The Beginning After the End,111423,https://tapas.io/series/tbate-comic/info,https://d30womf5coomej.cloudfront.net/sa/3c/3f10a4c3-686f-4aa1-af71-22bfc021ccd0_z.jpg,"['TurtleMe', 'Fuyuki23', 'Kisai Entertainment']","['Fantasy', 'Action', 'Comedy']","17,868,888 views","366,980 subscribers","1,098,216 likes",https://d30womf5coomej.cloudfront.net/sa/53/37709672-7177-4918-984b-16b1ffabcc77.jpg,"BASED ON THE HIT NOVEL ON TAPAS!

King Grey has unrivaled strength, wealth, and prestige in a world governed by martial ability. However, solitude lingers closely behind those with great power. Beneath the glamorous exterior of a powerful king lurks the shell of man, devoid of purpose and will.

Reincarnated into a new world filled with magic and monsters, the king has a second chance to relive his life. Correcting the mistakes of his past will not be his only challenge, however. Underneath the peace and prosperity of the new world is an undercurrent threatening to destroy everything he has worked for, questioning his role and reason for being born again.",[],167,"Jul 07, 2018"
Bone's Tarot,161077,https://tapas.io/series/Bones-Tarot/info,https://d30womf5coomej.cloudfront.net/sa/90/6514b8e5-835e-497c-b11e-73d34645d53f_z.jpg,['Sera Swati'],"['BL', 'Action', 'Fantasy']","10,066,412 views","66,937 subscribers","1,018,600 likes",https://d30womf5coomej.cloudfront.net/sa/3d/0ffb6f40-1389-4f36-97bc-fd44be2ea4a1.jpg,"When Markus Bone, a Mage U.S. Marshal of some renown, has his enchanted weapon stolen, he's forced to ask an old friend he's been avoiding for five years for help.

When Phelix King gets his call, he drops everything to go help him. After all, Phelix is an unparalleled tracker of magical aura... And still in love with Markus.

Their reunion and ultimate clash with the man who stole Markus' weapon will force everyone involved to confront years of affection and regret.

--
You can now buy the First Eight Chapters on gumroad (Page version): https://gum.co/gGRPAL","['#Action', '#magic', '#Fantasy', '#romance', '#Crime', '#thriller', '#bl', '#witch', '#urban', '#weekly', '#familiars', '#boyslove', '#pining', '#friends_to_lovers', '#Strongprotagonist', '#age_gap', '#pretty_boy', '#height_difference', '#DevotedLoveInterest', '#MatureProtagonist', '#SmallCast', '#OutlineComplete', '#Action', '#magic', '#Fantasy', '#romance', '#Crime', '#thriller', '#bl', '#witch', '#urban', '#weekly', '#familiars', '#boyslove', '#pining', '#friends_to_lovers', '#Strongprotagonist', '#age_gap', '#pretty_boy', '#height_difference', '#DevotedLoveInterest', '#MatureProtagonist', '#SmallCast', '#OutlineComplete']",291,"Jun 08, 2020"
Charity Case,103973,https://tapas.io/series/Charity-Case/info,https://d30womf5coomej.cloudfront.net/sa/ab/79e8a1be-8842-4661-8c29-8d1db4cd7af9_z.jpg,['Malacandrax'],"['LGBTQ+', 'Romance', 'Drama']","7,727,014 views","33,379 subscribers","951,765 likes",https://d30womf5coomej.cloudfront.net/sa/7a/e6ca4b33-7425-41e1-ba7c-23e8f994045c.png,"Aspiring musician Julien finds himself relying on the charity of others to get his life back together, but the feelings he’s developing for his new housemates threaten to tear it all apart.

Charity Case is a polyamorous romance with a side helping of found families; if you like agonizingly slow relationship development and LGBTQ+ characters, this is the one for you.

[Warnings: depictions of anxiety. Aimed at YA and Adults]","['#lesbian', '#gay', '#romance', '#music', '#queer', '#polyamory', '#polyamorous', '#trans', '#poly', '#wlw', '#mlm', '#slice_of_life', '#lesbian', '#gay', '#romance', '#music', '#queer', '#polyamory', '#polyamorous', '#trans', '#poly', '#wlw', '#mlm', '#slice_of_life']",366,"Nov 23, 2020"
Positively Yours,175774,https://tapas.io/series/positively-yours/info,https://d30womf5coomej.cloudfront.net/sa/1e/ed32af71-7e94-46a7-b689-ffba770a5eed_z.jpg,"['kang ki', 'Lee jung']","['Romance', 'Drama', 'Slice of life']","11,050,223 views","320,429 subscribers","848,528 likes",https://d30womf5coomej.cloudfront.net/sa/a9/293bed5d-30c5-4e68-9aab-ff1b7b255453.jpg,"To Hee-won’s dismay, the BFF she crushed on and her other BFF are now dating! Seriously bummed, Hee-won decides to go wild just one time, and find solace with a handsome stranger. A very satisfying one night affair has now turned into more — she’s pregnant! Fate brings them together again, and now the regimented Doo-joon is determined to do the right thing and marry her. But they’re basically strangers! Except... their bodies have been very intimately acquainted. What’s this mother-to-be to do?","['#baby', '#pregnant', '#One_night_stand', '#baby', '#pregnant', '#One_night_stand']",89,"Jun 12, 2020"
Cupido,46899,https://tapas.io/series/Cupido/info,https://d30womf5coomej.cloudfront.net/sa/57/3b3c4c65-cf88-4fe8-834b-c694ec4c26d4_z.jpg,['skatuya'],"['LGBTQ+', 'Romance', 'Drama']","6,568,375 views","53,160 subscribers","765,898 likes",https://d30womf5coomej.cloudfront.net/sa/22/1d283b11-1f02-4baf-a3f6-07b907441172.jpg,"Alec has the ability to see the marks that connect soulmates. With the help of a friend he sets out to help people meet the love of their life – while still learning about the various faces of love, relationships and people.
All while trying to make sense of his own feelings.","['#love', '#romance', '#comedy', '#humor', '#queer', '#relationships', '#bl', '#lgbt', '#gl', '#lgbtqa', '#love', '#romance', '#comedy', '#humor', '#queer', '#relationships', '#bl', '#lgbt', '#gl', '#lgbtqa']",175,"Oct 06, 2020"
