person_id,id,name,character,role
147,tm106607,Todd Barbee,Charlie Brown / Schroeder (voice),ACTOR
523059,tm106607,Melanie Kohn,Lucy van Pelt (voice),ACTOR
218207,tm106607,Stephen Shea,Linus van Pelt (voice),ACTOR
218726,tm106607,Linda Ercoli,Patricia 'Peppermint Patty' Reichardt (voice),ACTOR
523060,tm106607,Lynn Mortensen,Sally Brown / Violet / Frieda (voice),ACTOR
524248,tm106607,Jimmy Ahrens,Marcie (voice),ACTOR
149,tm106607,Bill Melendez,Snoopy / Woodstock (voice) (uncredited),ACTOR
54408,tm106607,Phil Roman,,DIRECTOR
96408,tm1300,Ann Altieri,Frieda (voice),ACTOR
96409,tm1300,Chris Doran,Schroeder / Shermy (voice),ACTOR
96410,tm1300,Sally Dryer,Violet (voice),ACTOR
149,tm1300,Bill Melendez,Snoopy (voice),ACTOR
96411,tm1300,Karen Mendelson,Patty (voice),ACTOR
96412,tm1300,Geoffrey Ornstein,Pig-Pen (voice),ACTOR
96413,tm1300,Peter Robbins,Charlie Brown (voice),ACTOR
96414,tm1300,Tracy Stratford,Lucy Van Pelt (voice),ACTOR
96415,tm1300,Cathy Steinberg,Sally Brown (voice),ACTOR
96416,tm1300,Christopher Shea,Linus Van Pelt (voice),ACTOR
149,tm1300,Bill Melendez,,DIRECTOR
96416,tm71152,Christopher Shea,Linus Van Pelt (voice),ACTOR
96413,tm71152,Peter Robbins,Charlie Brown (voice),ACTOR
96410,tm71152,Sally Dryer,Lucy Van Pelt (voice),ACTOR
149,tm71152,Bill Melendez,Snoopy (voice),ACTOR
96415,tm71152,Cathy Steinberg,Sally Brown (voice),ACTOR
96408,tm71152,Ann Altieri,Frieda / Violet (voice),ACTOR
537139,tm71152,Gail DeFaria,Pigpen (voice),ACTOR
540390,tm71152,Lisa DeFaria,Patty (voice),ACTOR
540391,tm71152,Glenn Mendelson,Schroeder / Shermy (voice),ACTOR
149,tm71152,Bill Melendez,,DIRECTOR
147,tm2562,Todd Barbee,Charlie Brown (voice),ACTOR
218206,tm2562,Robin Kohn,Lucy van Pelt (voice),ACTOR
218207,tm2562,Stephen Shea,Linus van Pelt (voice),ACTOR
146,tm2562,Christopher DeFaria,Patricia 'Peppermint Patty' Reichardt (voice),ACTOR
218725,tm2562,Hilary Momberger-Powers,Sally Brown (voice),ACTOR
524248,tm2562,Jimmy Ahrens,Marcie (voice),ACTOR
1272542,tm2562,Robin Reed,Franklin (voice),ACTOR
253690,tm2562,Vince Guaraldi,Little Birdie Singer (voice) (uncredited),ACTOR
149,tm2562,Bill Melendez,Snoopy / Woodstock (voice) (uncredited),ACTOR
54408,tm2562,Phil Roman,,DIRECTOR
149,tm2562,Bill Melendez,,DIRECTOR
439353,tm125274,Duncan Watson,Charlie Brown (voice),ACTOR
218207,tm125274,Stephen Shea,Linus van Pelt (voice),ACTOR
523059,tm125274,Melanie Kohn,Lucy van Pelt (voice),ACTOR
199826,tm125274,Greg Felton,Schroeder (voice),ACTOR
523060,tm125274,Lynn Mortensen,Sally Brown (voice),ACTOR
218726,tm125274,Linda Ercoli,Violet / Frieda (voice),ACTOR
149,tm125274,Bill Melendez,Snoopy / Woodstock (voice),ACTOR
54408,tm125274,Phil Roman,,DIRECTOR
25701,ts5136,Jerry Nelson,Gobo Fraggle / Marjory the Trash Heap / Pa Gorg / Uncle Gobo Fraggle / Mervin Merggle / Fishface / Parrot / Architect Doozer / Feenie Fraggle / Radio Announcers (voice),ACTOR
15756,ts5136,Steve Whitmire,Wembley Fraggle / Sprocket the Dog / Mermer Merggle / Crusty Doozer / Venerable Sage Hambo / Murray the Minstrel / Flange Doozer / Sir Blunderbrain / Club Member #3 (voice),ACTOR
82092,ts5136,Karen Prell,Red Fraggle / Balsam the Minstrel / Wingnut Doozer / Judge Gaval Fraggle / Marly Fraggle / Gorg's Killer Souffle / Wingnut Fraggle / Fluffinella / Modem Doozer / The Beast / Baby Tree Creature (voice),ACTOR
15758,ts5136,Dave Goelz,"Boober / Uncle ""Traveling"" Matt / Side Bottom / The World's Oldest Fraggle (voice)",ACTOR
32615,ts5136,Kathryn Mullen,Mokey Fraggle / Cotterpin Dozer / Crosscut Doozer / Merboo Merggle / Rock Hockey Hannah / Wimple Fraggle / The Old Gypsy Lady / Sally Spotless / Tammy Shrub / Baby Doozer / Doozer #2 (voice),ACTOR
40308,ts5136,Gerard Parkes,Doc,ACTOR
86161,ts5136,Bob Stutt,Muppet Performer / Felix the Fearless / Wandering McMooch / Last of the Lily Creatures / The Avalanche Monster / Bigmouth Fraggle (voice),ACTOR
25702,ts5136,Richard Hunt,Junior Gorg (himself) / Gunge / Mudwell the Mudbunny / Herkimer Fraggle / The Spiderfly / Gillis Fraggle / Turbo / The Genie / Purple Fragglette / Fire Chief Fraggle / Flex Doozer / Background Fraggles (voice),ACTOR
32002,tm115354,Chad Allen,Charlie Brown (voice),ACTOR
475391,tm115354,Kristie Baker,Peppermint Patty (voice),ACTOR
494018,tm115354,Melissa Guzzi,Lucy van Pelt (voice),ACTOR
494019,tm115354,Aron Mandelbaum,Schroeder (voice),ACTOR
53263,tm115354,Jeremy Miller,Linus van Pelt (voice),ACTOR
494020,tm115354,Jason Mendelson,Marcie (voice),ACTOR
494021,tm115354,Elizabeth Lyn Fraser,Sally Brown (voice),ACTOR
149,tm115354,Bill Melendez,Snoopy / Woodstock (voice) (uncredited),ACTOR
483151,tm115354,Sam Jaimes,,DIRECTOR
