id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts21930,Lupin the Third,SHOW,"Arsene Lupin III is the grandson of the master thief Arsene Lupin. With his cohorts Daisuke Jigen and Goemon Ishikawa XIII and his love interest Fujiko Mine, he pulls off the greatest heists of all time while always escaping the grasp of Inspector Koichi Zenigata.",1971,TV-14,23,"['scifi', 'animation', 'action', 'comedy', 'crime']",['JP'],6.0,tt0159175,7.9,2116.0,45.829,8.0
ts25177,Mobile Suit Gundam,SHOW,"Mobile Suit Gundam is a televised anime series, produced by Sunrise. Created and directed by Yoshiyuki Tomino, it premiered in Japan on Nagoya Broadcasting Network on April 7, 1979, and lasted until January 26, 1980, spanning 43 episodes. It was the very first Gundam series, which has subsequently been adapted into numerous sequels and spin-offs.

In 1981, the series was re-edited for theatrical release and split into three movies. The characters were designed by Yoshikazu Yasuhiko, and Kunio Okawara was responsible for the mechanical designs, including the eponymous giant robot, the RX-78-2 Gundam. The first movie was released on February 22, 1981.",1979,TV-Y7,25,"['scifi', 'war', 'animation', 'action', 'drama', 'fantasy']",['JP'],1.0,tt0159172,7.9,2281.0,41.25,8.1
ts35087,Galaxy Express 999,SHOW,"Galaxy Express 999 is a manga written and drawn by Leiji Matsumoto, as well as various anime films and TV series based on it. It is set in a space-faring, high-tech future in which humans have learned how to transfer their minds into mechanical bodies, thus achieving practical immortality.

The manga won the Shogakukan Manga Award for shōnen in 1978. The anime series won the Animage Anime Grand Prix prize in 1981.

The number ""999"" in the title is pronounced ""Three-Nine,"" as opposed to ""Nine-Nine-Nine,"" ""Nine Ninety-Nine"" or ""Nine Hundred Ninety-Nine.""

Matsumoto was inspired to create Galaxy Express 999 by the idea of a steam train running through the stars in the novel Night on the Galactic Railroad by Kenji Miyazawa.",1978,TV-PG,24,"['scifi', 'action', 'drama', 'animation']",['JP'],1.0,tt0185066,7.8,459.0,5.064,8.3
ts82387,Lupin the 3rd,SHOW,"The master thief Lupin III and his cronies continue their globe-trotting exploits, with the stubborn Inspector Zenigata ever at their trail.",1977,TV-14,24,"['scifi', 'animation', 'action', 'comedy', 'crime', 'fantasy']",['JP'],4.0,tt0159192,8.0,1738.0,0.6,
ts2846,Chōdenji Machine Voltes V,SHOW,"Chōdenji Machine Voltes V is a Japanese anime television series that was first aired on TV Asahi starting June 4, 1977. It was created by Saburo Yatsude and directed by Tadao Nagahama. Voltes V is the second part of the Robot Romance Trilogy of the Super Robot genre which includes Chōdenji Robo Combattler V and Tōshō Daimos. Like Combattler V, the series was animated by Sunrise and produced by Toei Company. The series was animated by Sunrise on Toei's behalf. This super robot along with the other two aforementioned super robots first appeared the USA as a part of Mattel's Shogun Warriors line of import toys, released in the late 1970s.",1977,TV-PG,24,"['drama', 'action', 'scifi', 'animation']",['JP'],1.0,tt0159855,8.1,207.0,12.625,7.3
ts32935,Space Pirate Captain Harlock,SHOW,"Follows Captain Harlock, an outcast turned space pirate after he rebelled against Earth's Government and humanity's general apathy.",1978,TV-PG,25,"['action', 'scifi', 'animation', 'drama', 'fantasy']",['JP'],1.0,tt0182646,7.8,1159.0,16.793,6.7
ts32687,The Wonderful Adventures of Nils,SHOW,"The Wonderful Adventures of Nils is an anime adaptation of the novel The Wonderful Adventures of Nils by the Swedish author Selma Lagerlöf. The 52 episode series ran on the Japanese network NHK from January 1980 to March 1981. The series was the very first production by Studio Pierrot. The anime was mostly fairly true to the original, apart from the appearance of Nils' pet hamster, and the greater role allowed to the fox Smirre. The music was written by Czech composer Karel Svoboda.",1980,,29,"['action', 'animation', 'family']",['JP'],1.0,tt0296386,7.5,2814.0,10.875,7.8
ts53300,Princess Knight,SHOW,"Princess Sapphire is a princess who was born with a boy's mind and raised as one because of one mischievous angel's mistake. Nevertheless, there is no way a girl can take the throne so her parents and the maid that helped raised her kept it a secret from everyone. Now as a Knight of Ribbon she has to fight to avoid having her identity revealed that Sapphire is a girl. She'll need the help of an angel who is in fact a make-believe angel.",1967,,23,"['animation', 'romance', 'family', 'fantasy']",[],1.0,tt0121655,7.3,189.0,0.6,10.0
ts4889,The Adventures of the Little Prince,SHOW,"Anime series based on the book by Antoine de Saint-Exupéry. The series showed the extended adventures of the Little Prince, Swifty The Space Bird, and the Rose Girl.",1978,TV-G,24,"['animation', 'action', 'family']",['JP'],1.0,tt0287191,7.1,234.0,5.152,7.7
ts18639,Space Warrior Baldios,SHOW,Space Warrior Baldios is a Japanese super robot mecha anime series from 1980.,1980,,24,"['scifi', 'action', 'animation']",['JP'],1.0,tt2106179,7.8,27.0,2.047,7.5
ts12564,Chargeman Ken!,SHOW,"It is the year 2074. In a world threatened by aliens... an unlikely hero emerges! Ken Izumi may look like an ordinary 10-year-old boy, but he secretly possesses weapons, armor, and accessories that transform him into the superheroic Chargeman Ken. Ken protects his mom, dad, little sister Caron, robot pal Barican, and the rest of mankind from the diabolical Juralians, shape-shifting alien invaders bent on terrorizing the earth. The only thing standing between the fragile human race and conquest by the Juralians is Chargeman Ken and his unquenchable thirst for fiery, atomic justice!",1974,,7,"['scifi', 'action', 'animation']",['JP'],1.0,tt1802896,5.6,55.0,1.02,4.0
ts208160,"Demian, o Justiceiro",SHOW,,1968,,19,[],[],1.0,tt0243695,,,,
ts20740,Dragon Ball Z,SHOW,"Dragon Ball Z is a Japanese animated television series produced by Toei Animation. Dragon Ball Z is the sequel to the Dragon Ball anime and adapts the last 26 volumes of the original 42 volume Dragon Ball manga series created by Akira Toriyama The series Debut in 1988-1995 on Weekly Shounen Jump. Dragon Ball Z depicts the continuing adventures of Goku and his companions to defend against an assortment of villains which seek to destroy or rule the Earth.

The anime first aired in Japan from April 25, 1989, to January 31, 1996, and was dubbed in several territories around the world, including the United States, Europe, and in Latin America.",1989,TV-PG,24,"['scifi', 'action', 'animation', 'comedy', 'fantasy', 'thriller', 'drama']",['JP'],16.0,tt0121220,8.8,125554.0,389.99,8.2
ts21560,Dragon Ball,SHOW,"Long ago in the mountains, a fighting master known as Gohan discovered a strange boy whom he named Goku. Gohan raised him and trained Goku in martial arts until he died. The young and very strong boy was on his own, but easily managed. Then one day, Goku met a teenage girl named Bulma, whose search for the dragon balls brought her to Goku's home. Together, they set off to find all seven dragon balls in an adventure that would change Goku's life forever. See how Goku met his life long friends Bulma, Yamcha, Krillin, Master Roshi and more. And see his adventures as a boy, all leading up to  Dragonball Z and later  Dragonball GT.",1986,TV-14,24,"['scifi', 'thriller', 'animation', 'action', 'comedy', 'fantasy']",['JP'],10.0,tt0088509,8.6,55153.0,16.956,8.2
ts14127,Fist of the North Star,SHOW,"In the year 199X, human civilization has been all but destroyed by a nuclear holocaust.",1984,TV-MA,25,"['scifi', 'action', 'animation', 'drama']",['JP'],6.0,tt0091211,8.3,3022.0,63.244,8.5
ts29377,Megabeast Investigator Juspion,SHOW,"Juspion's parents were killed by space pirates when he was a baby. After escaping to the planet Eijin, he is raised by a space hermit.

He eventually embarks on a quest to fight the Mega beasts and defeat Satan Gorth. Hetravels from planet to planet until he finally arrives on Earth. Wearing a special suit, he has super human powers and a transforming spaceship.",1985,,24,"['action', 'thriller', 'scifi']",['JP'],1.0,tt0182616,8.5,480.0,7.813,7.7
ts42463,Samurai Pizza Cats,SHOW,"The setting is a Japanese looking village named ""Little Tokyo""  where the Pizza Cats run a pizza fast food business. Little Tokyo is  populated by all kinds of animals. The official governor of the town is  the Emperor, but since he has gone bananas a council takes care of the  well-being of the village. One of the members of this council is called  Seymour ""Big"" Cheese, who secretly wishes to take over control of the  village. The pizza take away restaurant is merely a cover for their true  job... Whenever evil is afoot, the Pizza Cats are launched towards the  danger from the gun-lookalike clock tower that emerges from the top of  their restaurant.",1990,TV-Y7,24,"['action', 'family', 'fantasy', 'scifi', 'animation', 'comedy']","['JP', 'US']",1.0,tt0144707,7.0,24.0,11.894,8.3
ts46776,Gunbuster,SHOW,"In the near future, humanity has taken its first steps towards journeying into the far reaches of the galaxy. Upon doing so they discover a huge race of insectoid aliens known as ""Space Monsters."" These aliens seem dedicated to the eradication of mankind as they near closer and closer to discovering Earth. In response, humanity develops giant fighting robots piloted by hand-picked youth from around the world. Shortly after the discovery of the aliens, Noriko Takaya, the daughter of a famous deceased space captain, enters a training school despite her questionable talents as a pilot. There, she meets her polar opposite, the beautiful and talented Kazumi Amano, and is unexpectedly made to work together with her as they attempt to overcome the trauma of war as well as their own emotions.",1988,,27,"['scifi', 'action', 'animation', 'drama']",['JP'],2.0,tt0098492,7.7,1656.0,6.969,7.7
ts77258,City Hunter,SHOW,,1987,,24,"['animation', 'comedy', 'action']",['JP'],4.0,,,,0.00012,9.0
ts29400,Kimagure Orange Road,SHOW,"Kyosuke Kasuga, fifteen, moves to a new city and falls for Madoka  Ayukawa. She's friendly when they're alone, but acts like a delinquent  when in front of others. Kyosuke meanwhile struggles not to break the  heart of Hikaru Hiyama, who fell in love after seeing him make an  impossible basketball shot. To add the cherry to this particular sundae,  Kyosuke and his family (sisters, grandfather, and cousins) all have  various powers. And while Kyosuke's desperate to keep those powers a  secret, his younger sisters (among others) aren't quite as concerned  about it.",1987,,25,"['scifi', 'animation', 'drama', 'fantasy', 'romance', 'comedy']",['JP'],2.0,tt0160427,7.7,825.0,17.033,6.8
ts12311,Cat's Eye,SHOW,"Cat's Eye is the most notorious group of art thieves in Japan. No one knows their identities, but for most of Tokyo, the mystery only heightens their allure.",1983,,25,"['action', 'drama', 'crime', 'romance', 'animation', 'comedy']",['JP'],2.0,tt0131160,7.3,891.0,10.212,7.4
ts80937,Dallos,SHOW,"In a near future, mankind has moved from a drained Earth to the Moon. Rebel acts of terrorism lead to conflicts with the Earth Federal Government. A mysterious entity called Dallos appears to restore hope.",1983,,29,"['scifi', 'action']",['JP'],1.0,,,,1.031,6.7
ts12843,Arcadia of My Youth: Endless Orbit SSX,SHOW,"Arcadia of My Youth: Endless Orbit SSX is an animated television series created by Leiji Matsumoto. It's the sequel to the 1982 animated film Arcadia of My Youth. However, like many of the stories set in the Leijiverse, the continuity of the series does not necessarily agree with other Harlock series or films.",1982,,25,"['scifi', 'animation', 'action', 'drama']",['JP'],1.0,tt0144736,7.6,263.0,9.065,6.2
ts56937,Giant Gorg,SHOW,"Yuu Tagami was never close with his father. Yet after the old man's accidental death, Yuu finds himself on a plane to New York City, following instructions written in a letter from his late father. New York is as strange as it gets for the boy from Japan, but stranger still is Dr. Wave, the man he's supposed to meet. Dr. Wave shares an obsession with the deceased concerning the mysterious New Austral Island.",1984,,24,['animation'],['JP'],1.0,,,,2.604,8.0
ts66982,GoShogun,SHOW,"GoShogun was a super robot anime series produced in 1981 and aired in 1982 in Japan. It is variously referred to in English as ""Demon God of the War-Torn Land GoShogun"", ""Warring Demon God GoShogun"", ""Civil War Devil-God GoShogun"" and ""Macron 1"".",1981,,24,"['scifi', 'action', 'animation']",['JP'],1.0,tt0294184,6.6,51.0,4.143,6.5
