person_id,id,name,character,role
23433,tm74391,Deems Taylor,Narrator - Narrative Introductions,ACTOR
5910,tm74391,Walt Disney,Mickey Mouse (segment 'The Sorcerer's Apprentice') (voice),ACTOR
23436,tm74391,Julietta Novis,Soloist (segment 'Ave Maria') (singing voice),ACTOR
23434,tm74391,Leopold Stokowski,Himself - Conductor of The Philadelphia Orchestra,ACTOR
23441,tm74391,Paul Satterfield,,DIRECTOR
23442,tm74391,Hamilton Luske,,DIRECTOR
23443,tm74391,Jim Handley,,DIRECTOR
6164,tm74391,Ford Beebe,,DIRECTOR
23444,tm74391,T. Hee,,DIRECTOR
23446,tm74391,Wilfred Jackson,,DIRECTOR
23440,tm74391,William Roberts,,DIRECTOR
13776,tm74391,Ben Sharpsteen,,DIRECTOR
23438,tm74391,James Algar,,DIRECTOR
23437,tm74391,Samuel Armstrong,,DIRECTOR
23445,tm74391,Norman Ferguson,,DIRECTOR
6147,tm74391,David Hand,,DIRECTOR
6134,tm67803,Adriana Caselotti,Snow White (voice) (uncredited),ACTOR
6141,tm67803,Lucille La Verne,Queen / Witch (voice) (uncredited),ACTOR
6142,tm67803,Harry Stockwell,Prince (voice) (uncredited),ACTOR
6135,tm67803,Roy Atwell,Doc (voice) (uncredited),ACTOR
6139,tm67803,Pinto Colvig,Sleepy / Grumpy / Dopey (hiccups) (voice) (uncredited),ACTOR
6140,tm67803,Otis Harlan,Happy (voice) (uncredited),ACTOR
6136,tm67803,Scotty Mattraw,Bashful (voice) (uncredited),ACTOR
6137,tm67803,Billy Gilbert,Sneezy (voice) (uncredited),ACTOR
6138,tm67803,Eddie Collins,Dopey / Chipmunk and Squirrel Sneezes (voice) (uncredited),ACTOR
6144,tm67803,Moroni Olsen,Magic Mirror (voice) (uncredited),ACTOR
6143,tm67803,Stuart Buchanan,Huntsman (voice) (uncredited),ACTOR
6145,tm67803,Marion Darlington,Birds (voice) (uncredited),ACTOR
6146,tm67803,Purv Pullen,Birds (voice) (uncredited),ACTOR
6147,tm67803,David Hand,,DIRECTOR
27198,tm82546,Dickie Jones,Pinocchio / Alexander (voice) (uncredited),ACTOR
13325,tm82546,Cliff Edwards,Jiminy Cricket (voice) (uncredited),ACTOR
47767,tm82546,Christian Rub,Geppetto (voice) (uncredited),ACTOR
97812,tm82546,Evelyn Venable,The Blue Fairy (voice) (uncredited),ACTOR
49040,tm82546,Walter Catlett,'Honest John' Worthington Foulfellow (voice) (uncredited),ACTOR
10548,tm82546,Mel Blanc,Gideon (hiccup) (voice) (uncredited),ACTOR
45704,tm82546,Charles Judels,Stromboli / The Coachman (voice) (uncredited),ACTOR
97810,tm82546,Frankie Darro,Lampwick (voice) (uncredited),ACTOR
90204,tm82546,Don Brodie,Carnival Barker (voice) (uncredited),ACTOR
6143,tm82546,Stuart Buchanan,Carnival Barker (voice) (uncredited),ACTOR
6145,tm82546,Marion Darlington,Birds (voice) (uncredited),ACTOR
598861,tm82546,John McLeish,Carnival Barker (voice) (uncredited),ACTOR
97811,tm82546,Patricia Page,Marionettes (voice) (uncredited),ACTOR
39139,tm82546,Thurl Ravenscroft,Monstro the Whale (uncredited),ACTOR
23446,tm82546,Wilfred Jackson,,DIRECTOR
13776,tm82546,Ben Sharpsteen,,DIRECTOR
25067,tm82546,Jack Kinney,,DIRECTOR
23440,tm82546,William Roberts,,DIRECTOR
23444,tm82546,T. Hee,,DIRECTOR
23445,tm82546,Norman Ferguson,,DIRECTOR
23442,tm82546,Hamilton Luske,,DIRECTOR
