id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm74391,Fantasia,MOVIE,"Walt Disney's timeless masterpiece is an extravaganza of sight and sound! See the music come to life, hear the pictures burst into song and experience the excitement that is Fantasia over and over again.",1940,G,120,"['animation', 'family', 'music', 'fantasy']",['US'],,tt0032455,7.7,94681.0,57.751,7.4
tm67803,Snow White and the Seven Dwarfs,MOVIE,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",1937,G,83,"['fantasy', 'family', 'romance', 'animation', 'thriller', 'drama']",['US'],,tt0029583,7.6,195321.0,107.137,7.1
tm82546,Pinocchio,MOVIE,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket.",1940,G,88,"['animation', 'comedy', 'family', 'fantasy']",['US'],,tt0032910,7.5,141937.0,71.16,7.1
tm79357,Bambi,MOVIE,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",1942,G,70,"['animation', 'drama', 'family']",['US'],,tt0034492,7.3,140406.0,68.136,7.0
tm62671,Treasure Island,MOVIE,"Enchanted by the idea of locating treasure buried by Captain Flint, Squire Trelawney, Dr. Livesey and Jim Hawkins charter a sailing voyage to a Caribbean island. Unfortunately, a large number of Flint's old pirate crew are aboard the ship, including Long John Silver.",1950,PG,96,"['family', 'action']","['GB', 'US']",,tt0043067,6.9,8229.0,10.698,6.5
tm61729,The Adventures of Ichabod and Mr. Toad,MOVIE,"The Wind in the Willows: Concise version of Kenneth Grahame's story of the same name. J. Thaddeus Toad, owner of Toad Hall, is prone to fads, such as the newfangled motor car. This desire for the very latest lands him in much trouble with the wrong crowd, and it is up to his friends, Mole, Rat and Badger to save him from himself. - The Legend of Sleepy Hollow: Retelling of Washington Irving's story set in a tiny New England town. Ichabod Crane, the new schoolmaster, falls for the town beauty, Katrina Van Tassel, and the town Bully Brom Bones decides that he is a little too successful and needs ""convincing"" that Katrina is not for him.",1949,G,68,"['fantasy', 'horror', 'animation', 'comedy', 'family']",['US'],,tt0041094,6.9,15405.0,10.862,6.5
tm61052,Cinderella,MOVIE,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",1950,G,74,"['fantasy', 'animation', 'family', 'romance']",['US'],,tt0042332,7.3,157099.0,144.284,7.0
tm87946,Dumbo,MOVIE,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.",1941,G,63,"['animation', 'drama', 'family', 'fantasy']",['US'],,tt0033563,7.2,129548.0,69.875,7.0
tm4623,The Three Caballeros,MOVIE,"For Donald's birthday he receives a box with three gifts inside. The gifts, a movie projector, a pop-up book, and a pinata, each take Donald on wild adventures through Mexico and South America.",1944,G,71,"['animation', 'comedy', 'family', 'fantasy']",['US'],,tt0038166,6.3,13889.0,11.75,6.4
tm77826,The Reluctant Dragon,MOVIE,"Humorist Robert Benchley attempts to find Walt Disney to ask him to adapt a short story about a gentle dragon who would rather recite poetry than be ferocious. Along the way, he is given a tour of Walt Disney Studios, and learns about the animation process.",1941,G,74,"['fantasy', 'animation', 'family', 'comedy']",['US'],,tt0034091,6.8,3280.0,6.958,6.6
