person_id,id,name,character,role
28172,ts25177,Toru Furuya,Amuro Ray (voice),ACTOR
97338,ts25177,Shuuichi Ikeda,Char Aznable (voice),ACTOR
7423,ts25177,Hirotaka Suzuoki,Bright Noah (voice),ACTOR
97330,ts25177,Fuyumi Shiraishi,Mirai Yashima (voice),ACTOR
463033,ts25177,Kiyonobu Suzuki,Hayato Kobayashi (voice),ACTOR
22309,ts25177,Toshio Furukawa,Kai Shiden (voice),ACTOR
97336,ts25177,Rumiko Ukai,Frau Bow (voice),ACTOR
97337,ts25177,Yō Inoue,Sayla Mass (voice),ACTOR
39712,ts25177,Shozo Iizuka,Ryu Jose (voice),ACTOR
97332,ts25177,Keiko Han,Lalah Sune (voice),ACTOR
94678,ts25177,Banjo Ginga,Gihren Zabi (voice),ACTOR
21513,ts25177,Mami Koyama,Kycilia Zabi (voice),ACTOR
61029,ts25177,Daisuke Gouri,Dozle Zabi (voice),ACTOR
61037,ts25177,Katsuji Mori,Garma Zabi (voice),ACTOR
26770,ts25177,Ichirō Nagai,Degwin Sodo Zabi (voice),ACTOR
97335,ts25177,Masashi Hirose,Ramba Ral (voice),ACTOR
97333,ts25177,Keiko Toda,Matilda Ajan (voice),ACTOR
95739,ts25177,Kaneto Shiozawa,M'Quve (voice),ACTOR
466832,ts25177,Sanae Takagi,Chiyo (voice),ACTOR
172948,ts25177,Yumi Nakatani,Hamon Crowley (voice),ACTOR
104375,ts25177,Yoshiyuki Tomino,,DIRECTOR
22304,ts20740,Masako Nozawa,Son Goku / Gohan / Goten,ACTOR
22305,ts20740,Ryou Horikawa,Vegeta,ACTOR
22309,ts20740,Toshio Furukawa,Piccolo,ACTOR
22308,ts20740,Mayumi Tanaka,Krillin,ACTOR
22306,ts20740,Hiromi Tsuru,Bulma / Bulla,ACTOR
89870,ts20740,Naoki Tatsuta,Oolong,ACTOR
22312,ts20740,Ryusei Nakao,Freeza,ACTOR
89871,ts20740,Jôji Yanami,Dr. Briefs,ACTOR
42371,ts20740,Yuko Minaguchi,Videl,ACTOR
30695,ts20740,Naoko Watanabe,Puar,ACTOR
7423,ts20740,Hirotaka Suzuoki,Tien Shinhan,ACTOR
89874,ts20740,Miki Ito,Android 18,ACTOR
42371,ts20740,Yuko Minaguchi,Pan,ACTOR
89875,ts20740,Hiroko Emori,Mama,ACTOR
489108,ts20740,Mayumi Shou,Chi-Chi,ACTOR
89875,ts20740,Hiroko Emori,Chaozu,ACTOR
28172,ts20740,Toru Furuya,Yamcha,ACTOR
89877,ts20740,Tomiko Suzuki,Marron,ACTOR
21513,ts20740,Mami Koyama,Lunch,ACTOR
42381,ts20740,Shigeru Chiba,Raditz,ACTOR
89878,ts20740,Shin Aomori,Kibit,ACTOR
26773,ts20740,Kōhei Miyauchi,Master Roshi,ACTOR
89879,ts20740,Kozo Shioya,Majin Buu,ACTOR
89880,ts20740,Toku Nishio,Mr. Popo,ACTOR
61034,ts20740,Reizō Nomoto,Rō Kaiōshin,ACTOR
61035,ts20740,Ryuuzaburou Ootomo,Dabura,ACTOR
89883,ts20740,Yukimasa Kishino,Burter,ACTOR
42381,ts20740,Shigeru Chiba,Garlic Jr.,ACTOR
89884,ts20740,Kazumi Tanaka,Jeice,ACTOR
89885,ts20740,Yukitoshi Hori,Dodoria,ACTOR
296669,ts20740,Hideyuki Hori,Captain Ginyu,ACTOR
60813,ts20740,Show Hayami,Zarbon,ACTOR
39712,ts20740,Shozo Iizuka,Nappa,ACTOR
85704,ts20740,Kenji Utsumi,Recoome,ACTOR
402202,ts20740,Yuuko Kobayashi,Marron,ACTOR
89888,ts20740,Hiroshi Masuoka,Master Roshi,ACTOR
89889,ts20740,Mariko Mukai,Mama,ACTOR
89890,ts20740,Yōko Kawanami,Mama,ACTOR
14001,ts20740,Takeshi Kusao,Trunks,ACTOR
14002,ts20740,Hikaru Midorikawa,Android 16,ACTOR
42359,ts20740,Takeshi Aono,Kami,ACTOR
26770,ts20740,Ichirō Nagai,Karin,ACTOR
89891,ts20740,Keiko Yamamoto,Higashi no Kaio,ACTOR
36377,ts20740,Norio Wakamoto,Cell,ACTOR
175284,ts20740,Yuji Mitsuya,East Kaioshin,ACTOR
160558,ts20740,Masaharu Sato,Saichourou,ACTOR
61029,ts20740,Daisuke Gouri,Mr. Satan,ACTOR
30695,ts20740,Naoko Watanabe,Chi-Chi,ACTOR
39707,ts20740,Bin Shimada,West Kai,ACTOR
11379,ts20740,Chikao Ohtsuka,Tao Pai Pai,ACTOR
61029,ts20740,Daisuke Gouri,Vinegar,ACTOR
89893,ts20740,Hiro Yuuki,Dende,ACTOR
89894,ts20740,Hisao Egawa,Spopovich,ACTOR
42358,ts20740,Junpei Takiguchi,Uranai Baba,ACTOR
22308,ts20740,Mayumi Tanaka,Uranai Baba,ACTOR
61037,ts20740,Katsuji Mori,Nail,ACTOR
89896,ts20740,Keiko Yokozawa,Annin,ACTOR
85704,ts20740,Kenji Utsumi,Shenron,ACTOR
89897,ts20740,Megumi Urawa,Erasa,ACTOR
89870,ts20740,Naoki Tatsuta,Karin,ACTOR
89883,ts20740,Yukimasa Kishino,Tao Pai Pai,ACTOR
89885,ts20740,Yukitoshi Hori,Android 19,ACTOR
340443,ts20740,Shigeru Nakahara,Android 17 (voice),ACTOR
21511,tm44887,Mitsuo Iwata,Shôtarô Kaneda (voice),ACTOR
21512,tm44887,Nozomu Sasaki,Tetsuo Shima (voice),ACTOR
21513,tm44887,Mami Koyama,Kei (voice),ACTOR
21514,tm44887,Tesshou Genda,Ryûsaku (voice),ACTOR
21515,tm44887,Hiroshi Ohtake,Nezu (voice),ACTOR
21516,tm44887,Kōichi Kitamura,"Priestess Miyako, Council A (voice)",ACTOR
104707,tm44887,Yuriko Fuchizaki,Kaori (voice),ACTOR
83018,tm44887,Masaaki Ôkura,Yamagata (voice),ACTOR
14001,tm44887,Takeshi Kusao,Kai (voice),ACTOR
83019,tm44887,Kazuhiro Kamifuji,Masaru (No. 27) (voice),ACTOR
83020,tm44887,Tatsuhiko Nakamura,Takashi (No. 26) (voice),ACTOR
21517,tm44887,Fukue Itô,Kiyoko (No. 25) (voice),ACTOR
1546438,tm44887,Yuka Ôno,,ACTOR
21518,tm44887,Katsuhiro Otomo,,DIRECTOR
405,ts28221,Cam Clarke,Lance Belmont (voice),ACTOR
30746,ts28221,Gregory Snegoff,Scott Bernard (voice),ACTOR
36083,ts28221,Melanie MacQueen,Ariel (voice),ACTOR
101794,ts28221,Susie London,Rook Bartley (voice),ACTOR
58215,ts20738,Kappei Yamaguchi,Ranma,ACTOR
28166,ts20738,Megumi Hayashibara,Ranma (Femme),ACTOR
35985,ts20738,Noriko Hidaka,Akane,ACTOR
101138,ts20738,Rei Sakuma,Shampoo,ACTOR
22311,ts20738,Koichi Yamadera,Ryouga,ACTOR
132748,ts20738,Kenichi Ogata,Genma,ACTOR
35988,ts20738,Minami Takayama,Nabiki,ACTOR
86149,ts20738,Kikuko Inoue,Kasumi,ACTOR
93573,ts20738,Ryusuke Ohbayashi,Soun,ACTOR
22306,ts20738,Hiromi Tsuru,Ukyou,ACTOR
26770,ts20738,Ichirō Nagai,Happousai,ACTOR
148448,ts20738,Tomomi Mochizuki,,DIRECTOR
14001,ts57405,Takeshi Kusao,Parn (voice),ACTOR
93574,ts57405,Yumi Touma,Deedlit (voice),ACTOR
58215,ts57405,Kappei Yamaguchi,Etoh (voice),ACTOR
98479,ts57405,Hideyuki Tanaka,Slayn (voice),ACTOR
86777,ts57405,Yoshiko Sakakibara,Karla (voice),ACTOR
96400,ts57405,Akira Kamiya,Ashram (voice),ACTOR
97338,ts57405,Shuuichi Ikeda,Kashew (voice),ACTOR
36377,ts57405,Norio Wakamoto,Woodchuck (voice),ACTOR
25346,ts57405,Sakiko Tamagawa,Pirotess (voice),ACTOR
26770,ts57405,Ichirō Nagai,Narrator,ACTOR
345541,ts57405,Akinori Nagaoka,,DIRECTOR
84413,tm139269,Gabriel Damon,Nemo (voice),ACTOR
21714,tm139269,Mickey Rooney,Flip (voice),ACTOR
522,tm139269,René Auberjonois,Professor Genius (voice),ACTOR
5479,tm139269,Danny Mann,Icarus (voice),ACTOR
476972,tm139269,Laura Mooney,Princess Camille (voice),ACTOR
293608,tm139269,Bernard Erhard,King Morpheus (voice),ACTOR
58317,tm139269,Bill Martin,Nightmare King (voice),ACTOR
11842,tm139269,Alan Oppenheimer,Oomp (voice),ACTOR
48531,tm139269,Michael Bell,Oompy (voice),ACTOR
67200,tm139269,Sidney Miller,Oompe (voice),ACTOR
8322,tm139269,Neil Ross,Oompa (voice),ACTOR
72806,tm139269,John Stephenson,Oompo / Dirigible Captain (voice),ACTOR
5463,tm139269,Jennifer Darling,Nemo's Mother (voice),ACTOR
7045,tm139269,Greg Burson,Nemo's Father / Flap (voice),ACTOR
5478,tm139269,Sherry Lynn,Bon Bon (voice),ACTOR
704525,tm139269,Guy Christopher,Courtier / Cop (voice),ACTOR
39195,tm139269,Nancy Cartwright,Page (voice),ACTOR
129958,tm139269,Ellen Gerstell,Page (voice),ACTOR
19062,tm139269,Tress MacNeille,Elevator Creature (voice),ACTOR
26704,tm139269,Michael McConnohie,Etiquette Master (voice),ACTOR
100671,tm139269,Beau Weaver,Teacher #1 / Cop (voice),ACTOR
11980,tm139269,Michael Gough,Teacher #2 (voice),ACTOR
5666,tm139269,Kathleen Freeman,Dance Teacher (voice),ACTOR
158662,tm139269,Michael Sheehan,Fencing Master (voice),ACTOR
12876,tm139269,June Foray,Librarian (voice),ACTOR
37544,tm139269,Gregg Berger,Equestrian Master (voice),ACTOR
27670,tm139269,Bert Kramer,Goblin General (voice),ACTOR
472577,tm139269,Bever-Leigh Banfield,Woman (voice),ACTOR
484618,tm139269,Masami Hata,,DIRECTOR
484620,tm139269,William T. Hurtz,,DIRECTOR
102923,ts12978,Nachi Nozawa,Cobra (voice),ACTOR
228843,ts12978,Toshiko Fujita,Jane Royal (voice),ACTOR
26764,ts12978,Kiyoshi Kobayashi,Crystal Boy (voice),ACTOR
86777,ts12978,Yoshiko Sakakibara,Armaroid Lady (voice),ACTOR
170182,ts12978,Reiko Tajima,Sandra (voice),ACTOR
22304,tm145027,Masako Nozawa,Son Gokû / Son Gohan (voice),ACTOR
22309,tm145027,Toshio Furukawa,Piccolo (voice),ACTOR
22306,tm145027,Hiromi Tsuru,Bulma (voice),ACTOR
22308,tm145027,Mayumi Tanaka,Kuririn (voice),ACTOR
61029,tm145027,Daisuke Gouri,Gyû-maô (voice),ACTOR
489108,tm145027,Mayumi Shou,Chichi (voice),ACTOR
26773,tm145027,Kōhei Miyauchi,Kame-sen'nin (voice),ACTOR
42359,tm145027,Takeshi Aono,Kami-sama (voice),ACTOR
85704,tm145027,Kenji Utsumi,Shenron (voice),ACTOR
96400,tm145027,Akira Kamiya,Garlic Jr. (voice),ACTOR
39709,tm145027,Koji Totani,Ginger (voice),ACTOR
89885,tm145027,Yukitoshi Hori,Sansho (voice),ACTOR
42381,tm145027,Shigeru Chiba,Nicky (voice),ACTOR
89871,tm145027,Jôji Yanami,Narrator (voice),ACTOR
228736,tm145027,Daisuke Nishio,,DIRECTOR
22311,ts34435,Koichi Yamadera,Spike Spiegel / Ein (voice),ACTOR
28180,ts34435,Unsho Ishizuka,Jet Black (voice),ACTOR
28166,ts34435,Megumi Hayashibara,Faye Valentine (voice),ACTOR
93017,ts34435,Aoi Tada,Edward Wong Hau Pepelu Tivruski IV (voice),ACTOR
92708,ts21343,Kotono Mitsuishi,Usagi Tsukino/Sailor Moon (voice),ACTOR
11413,ts21343,Aya Hisakawa,Ami Mizuno/Sailor Mercury (voice),ACTOR
174424,ts21343,Michie Tomizawa,Rei Hino/Sailor Mars (voice),ACTOR
11398,ts21343,Emi Shinohara,Makoto Kino/Sailor Jupiter (voice),ACTOR
30682,ts21343,Rica Fukami,Minako Aino/Sailor Venus (voice),ACTOR
28172,ts21343,Toru Furuya,Mamoru Chiba/Tuxedo Mask (voice),ACTOR
97332,ts21343,Keiko Han,Luna,ACTOR
87192,ts21343,Houko Kuwashima,Green Esmeraude,ACTOR
97925,ts21343,Tsutomu Kashiwakura,Blue Saphir,ACTOR
94763,ts21343,Eiji Maruyama,Wiseman,ACTOR
103512,ts21343,Wakana Yamazaki,Kōan,ACTOR
144069,ts21343,Yuri Amano,Berthier,ACTOR
340,ts21343,Megumi Ogata,Petz,ACTOR
10935,ts21343,Akiko Hiramatsu,Calaveras,ACTOR
447481,ts21343,Kae Araki,Chibiusa/Sailor Chibi Moon (voice),ACTOR
108706,ts21343,Yasuhiro Takato,Artemis,ACTOR
312278,ts21343,Shino Kakinuma,Naru Osaka,ACTOR
268441,ts21343,Keiichi Nanba,Gurio Umino,ACTOR
664208,ts21343,Yuhki Sato,Motoki Furuhata,ACTOR
462345,ts21343,Chiyoko Kawashima,Shingo Tsukino,ACTOR
95739,ts21343,Kaneto Shiozawa,Prince Demand,ACTOR
123493,ts21343,Wataru Takagi,Crimson Rubeus,ACTOR
291731,ts724,Mayumi Shintani,Haruko Haruhara (voice),ACTOR
72233,ts724,Karen Miyama,Kana Koumoto (voice),ACTOR
264676,ts724,Yuri Yoshida,Tomomi Nabeta (Pets) (voice),ACTOR
101062,ts724,Mutsumi Tamura,Man Motoyama (Mossan) (voice),ACTOR
253790,ts724,Riho Iida,Hijiri Yajima (voice),ACTOR
