person_id,id,name,character,role
60017,tm155702,Judy Garland,Dorothy Gale,ACTOR
53496,tm155702,Ray Bolger,Hunk / Scarecrow,ACTOR
79549,tm155702,Jack Haley,Hickory / Tin Man,ACTOR
79548,tm155702,Bert Lahr,Zeke / Cowardly Lion,ACTOR
60995,tm155702,Margaret Hamilton,Elmira Gulch / Wicked Witch of the West,ACTOR
53493,tm155702,Frank Morgan,Professor Marvel / Wizard of Oz,ACTOR
79551,tm155702,Clara Blandick,Auntie Em,ACTOR
41661,tm155702,Charley Grapewin,Uncle Henry,ACTOR
72816,tm155702,Billie Burke,Glinda,ACTOR
79553,tm155702,Pat Walshe,Nikko,ACTOR
79554,tm155702,Terry,Toto,ACTOR
6134,tm155702,Adriana Caselotti,Juliet (voice) (uncredited),ACTOR
34566,tm155702,Harry Earles,Lollipop Guild Member (uncredited),ACTOR
79583,tm155702,Jerry Maren,Lollipop Guild Member (uncredited),ACTOR
79600,tm155702,Parnell St. Aubin,Munchkin (uncredited),ACTOR
13768,tm155702,Billy Bletcher,Mayor / Lollipop Guild Member (voice) (uncredited),ACTOR
6139,tm155702,Pinto Colvig,Munchkins (voice) (uncredited),ACTOR
79550,tm155702,Charles Becker,Munchkin Mayor (uncredited),ACTOR
74888,tm155702,Mitchell Lewis,Captain of the Winkie Guard (uncredited),ACTOR
41687,tm155702,Buster Brodie,Winged Monkey (uncredited),ACTOR
79581,tm155702,Ethelreda Leopold,Emerald City Manicurist (uncredited),ACTOR
79565,tm155702,Billy Curtis,Munchkin,ACTOR
13435,tm155702,Victor Fleming,,DIRECTOR
15246,tm83648,Orson Welles,Charles Foster Kane,ACTOR
15248,tm83648,Joseph Cotten,Jedediah Leland,ACTOR
15253,tm83648,Dorothy Comingore,Susan Alexander Kane,ACTOR
15258,tm83648,Ray Collins,Jim W. Gettys,ACTOR
15252,tm83648,George Coulouris,Walter Parks Thatcher,ACTOR
15249,tm83648,Agnes Moorehead,Mary Kane,ACTOR
15257,tm83648,Paul Stewart,Raymond,ACTOR
15250,tm83648,Ruth Warrick,Emily Norton Kane,ACTOR
15259,tm83648,Erskine Sanford,Herbert Carter,ACTOR
