person_id,id,name,character,role
85144,ts20475,Aidy Bryant,Self - Various Characters,ACTOR
85141,ts20475,Michael Che,Self - Various Characters,ACTOR
87723,ts20475,Pete Davidson,Self - Various Characters,ACTOR
99154,ts20475,Mikey Day,Self - Various Characters,ACTOR
26921,ts20475,Colin Jost,Self - Various Characters,ACTOR
3837,ts20475,Kate McKinnon,Self - Various Characters,ACTOR
116824,ts20475,Alex Moffat,Self - Various Characters,ACTOR
85142,ts20475,Kyle Mooney,Self - Various Characters,ACTOR
4478,ts20475,Cecily Strong,Self - Various Characters,ACTOR
36230,ts20475,Kenan Thompson,Self - Various Characters,ACTOR
589458,ts20475,Melissa Villaseñor,Self - Various Characters,ACTOR
725651,ts20475,Heidi Gardner,Self - Various Characters,ACTOR
610449,ts20475,Ego Nwodim,Self - Various Characters,ACTOR
113563,ts20475,Chris Redd,Self - Various Characters,ACTOR
2344413,ts20475,Aristotle Athari,Self - Various Characters,ACTOR
1184001,ts20475,Punkie Johnson,Self - Various Characters,ACTOR
634586,ts20475,James Austin Johnson,Self - Various Characters,ACTOR
1016761,ts20475,Sarah Sherman,Self - Various Characters,ACTOR
915646,ts20475,Chloe Fineman,Self - Various Characters,ACTOR
294200,ts20475,Bowen Yang,Self - Various Characters,ACTOR
1032336,ts20475,Andrew Dismukes,Self - Various Characters,ACTOR
2720,ts20413,Alan Alda,Hawkeye Pierce,ACTOR
7270,ts20413,Mike Farrell,B. J. Hunnicutt,ACTOR
88139,ts20413,Loretta Swit,Margaret Houlihan,ACTOR
27600,ts20413,Jamie Farr,Maxwell Klinger,ACTOR
25635,ts20413,Harry Morgan,Sherman Potter,ACTOR
14827,ts20413,David Ogden Stiers,Charles Winchester,ACTOR
88144,ts20413,William Christopher,Father Mulcahy,ACTOR
67198,ts20005,Lucille Ball,Lucy Ricardo,ACTOR
98444,ts20005,Desi Arnaz,Ricky Ricardo,ACTOR
116048,ts20005,Vivian Vance,Ethel Mertz,ACTOR
57835,ts20005,William Frawley,Fred Mertz,ACTOR
4699,ts20669,Judd Hirsch,Alex Reiger,ACTOR
7206,ts20669,Danny DeVito,Louie De Palma,ACTOR
37414,ts20669,Marilu Henner,Elaine O'Connor-Nardo,ACTOR
8670,ts20669,Tony Danza,Tony Banta,ACTOR
93258,ts20669,Andy Kaufman,Latka Gravas,ACTOR
5312,ts20669,Christopher Lloyd,Reverend Jim “Iggy” Ignatowski,ACTOR
28150,ts20669,Jeff Conaway,Bobby Wheeler,ACTOR
11179,ts20669,Carol Kane,Simka Gravas,ACTOR
510928,ts20669,Randall Carver,John Burns,ACTOR
40282,ts21049,Mary Tyler Moore,Mary Richards,ACTOR
5784,ts21049,Ed Asner,Lou Grant,ACTOR
46074,ts21049,Gavin MacLeod,Murray Slaughter,ACTOR
84575,ts21049,Ted Knight,Ted Baxter,ACTOR
9802,ts21049,Cloris Leachman,Phyllis Lindstrom,ACTOR
