person_id,id,name,character,role
21174,tm19248,Buster Keaton,Johnny Gray,ACTOR
28713,tm19248,Marion Mack,Annabelle Lee,ACTOR
28714,tm19248,Glen Cavender,Captain Anderson,ACTOR
28715,tm19248,Jim Farley,General Thatcher,ACTOR
27348,tm19248,Frederick Vroom,A Southern General,ACTOR
28716,tm19248,Charles Henry Smith,Annabelle's Father,ACTOR
28718,tm19248,Joe Keaton,Union General,ACTOR
28721,tm19248,Al St. John,Officer on Horseback (uncredited),ACTOR
28717,tm19248,Frank Barnes,Annabelle's Brother,ACTOR
28719,tm19248,Mike Donlin,Union General,ACTOR
28720,tm19248,Tom Nawn,Union General,ACTOR
28722,tm19248,Jimmy Bryant,Raider (uncredited),ACTOR
28723,tm19248,Budd Fine,Raider (uncredited),ACTOR
28724,tm19248,Ray Hanford,Raider (uncredited),ACTOR
28725,tm19248,Charles Phillips,Raider (uncredited),ACTOR
28726,tm19248,Eddie Foster,Union Railroad Fireman (uncredited),ACTOR
28727,tm19248,Frank Hagney,Confederate Recruiter (uncredited),ACTOR
28728,tm19248,Jack Hanlon,Bit Part (uncredited),ACTOR
28729,tm19248,Edward Hearn,Union Officer (uncredited),ACTOR
28730,tm19248,Hilliard Karr,Soldier (uncredited),ACTOR
28731,tm19248,Louis Lewyn,Soldier (uncredited),ACTOR
28733,tm19248,Elgin Lessley,Union General Who Gives Command to Cross Bridge (uncredited),ACTOR
28732,tm19248,Clyde Bruckman,,DIRECTOR
21174,tm19248,Buster Keaton,,DIRECTOR
25018,tm83884,Cary Grant,Walter Burns,ACTOR
28500,tm83884,Rosalind Russell,Hildy Johnson,ACTOR
12463,tm83884,Ralph Bellamy,Bruce Baldwin,ACTOR
28501,tm83884,Gene Lockhart,Sheriff Hartwell,ACTOR
28506,tm83884,Helen Mack,Mollie Malloy,ACTOR
27185,tm83884,Porter Hall,Murphy,ACTOR
28510,tm83884,Ernest Truex,Bensinger,ACTOR
13325,tm83884,Cliff Edwards,Endicott,ACTOR
28502,tm83884,Clarence Kolb,Mayor,ACTOR
20167,tm83884,Roscoe Karns,McCue,ACTOR
28503,tm83884,Frank Jenks,Wilson,ACTOR
23834,tm83884,Regis Toomey,Sanders,ACTOR
28504,tm83884,Abner Biberman,Louie,ACTOR
28505,tm83884,Frank Orth,Duffy,ACTOR
14710,tm83884,John Qualen,Earl Williams,ACTOR
28507,tm83884,Alma Kruger,Mrs. Baldwin,ACTOR
6137,tm83884,Billy Gilbert,Joe Pettibone,ACTOR
28508,tm83884,Pat West,Warden Cooley,ACTOR
28509,tm83884,Edwin Maxwell,Dr. Egelhoffer,ACTOR
13331,tm83884,Irving Bacon,Gus (uncredited),ACTOR
27216,tm83884,Wade Boteler,Mike (uncredited),ACTOR
27217,tm83884,Harry C. Bradley,Insurance Doctor (uncredited),ACTOR
28511,tm83884,Wheaton Chambers,Elevator Passenger (uncredited),ACTOR
27234,tm83884,Edmund Cobb,Cop (uncredited),ACTOR
27196,tm83884,Ann Doran,Newspaper Office Worker (uncredited),ACTOR
28512,tm83884,Ralph Dunn,Plainclothesman (uncredited),ACTOR
28513,tm83884,Earl Dwire,Pete Davis (uncredited),ACTOR
25663,tm83884,Pat Flaherty,Frank the Policeman (uncredited),ACTOR
27262,tm83884,Jack Gardner,Elevator Passenger (uncredited),ACTOR
28514,tm83884,Eddie Hart,Carl the Plainclothesman (uncredited),ACTOR
28515,tm83884,Marion Martin,Evangeline (uncredited),ACTOR
22485,tm83884,Frank McLure,Newsman (uncredited),ACTOR
27306,tm83884,James Millican,Tim (uncredited),ACTOR
27310,tm83884,Gene Morgan,Gene (uncredited),ACTOR
27191,tm83884,Delmar Watson,Skinny (uncredited),ACTOR
23839,tm83884,Howard Hawks,,DIRECTOR
129611,tm19424,Tom Neal,Al Roberts,ACTOR
129610,tm19424,Ann Savage,Vera,ACTOR
129612,tm19424,Claudia Drake,Sue Harvey,ACTOR
72430,tm19424,Edmund MacDonald,Charles Haskell Jr.,ACTOR
26196,tm19424,Tim Ryan,Diner Owner,ACTOR
57722,tm19424,Esther Howard,Holly,ACTOR
129614,tm19424,Pat Gleason,Joe,ACTOR
102596,tm19424,Edgar G. Ulmer,,DIRECTOR
153696,tm112005,Harley Wood,Burma Roberts aka 'Blondie',ACTOR
134183,tm112005,Hugh McArthur,Dick Collier,ACTOR
45697,tm112005,Paul Ellis,Tony Santello,ACTOR
576674,tm112005,Bill Woods,Detective,ACTOR
100222,tm112005,Juanita Fletcher,Mrs. Roberts,ACTOR
47794,tm112005,Gloria Browne,Gloria Stewart - The Child,ACTOR
45694,tm112005,Symona Boniface,Helen,ACTOR
33405,tm112005,Hal Taggart,Helen's Husband,ACTOR
1305735,tm112005,William C. Thompson,Waterfront-Raid Detective (uncredited),ACTOR
152676,tm112005,Dwain Esper,,DIRECTOR
28774,tm22806,Lillian Gish,The Woman Who Rocks the Cradle,ACTOR
41680,tm22806,Mae Marsh,The Dear One (Modern Story),ACTOR
55726,tm22806,Robert Harron,The Boy (Modern Story),ACTOR
55727,tm22806,F.A. Turner,The Girl's Father (Modern Story),ACTOR
55728,tm22806,Sam De Grasse,Arthur Jenkins (Modern Story),ACTOR
27289,tm22806,Vera Lewis,Mary T. Jenkins (Modern Story),ACTOR
55730,tm22806,Lillian Langdon,"Mary, the Mother (Judean Story)",ACTOR
55729,tm22806,Olga Grey,Mary Magdalene (Judean Story),ACTOR
55731,tm22806,Erich von Ritzau,First Pharisee (Judean Story),ACTOR
55732,tm22806,Bessie Love,The Bride of Cana (Judean Story),ACTOR
55733,tm22806,Margery Wilson,Brown Eyes (French Story),ACTOR
27180,tm22806,Eugene Pallette,Prosper Latour (French Story),ACTOR
55734,tm22806,Spottiswoode Aitken,Brown Eyes' Father (French Story),ACTOR
55735,tm22806,Ruth Handforth,Brown Eyes' Mother (French Story),ACTOR
55736,tm22806,Elmer Clifton,The Rhapsode (Babylonian Story),ACTOR
55738,tm22806,Seena Owen,Princess Beloved (Attarea) (Babylonian Story),ACTOR
27335,tm22806,Carl Stockdale,King Nabonidus (Babylonian Story),ACTOR
74193,tm22806,Mary Alden,Uplifter,ACTOR
586035,tm22806,Pearl Elmore,Uplifter,ACTOR
306700,tm22806,Julia Mackley,Uplifter,ACTOR
74192,tm22806,Miriam Cooper,The Friendless One,ACTOR
108229,tm22806,Walter Long,The Musketeer of the Slums / Babylonian Warrior,ACTOR
24733,tm22806,Tom Wilson,The Kindly Policeman,ACTOR
74194,tm22806,Ralph Lewis,The Governor,ACTOR
21781,tm22806,Lloyd Ingraham,Judge of the Court,ACTOR
569623,tm22806,John P. McCarthy,Prison Guard,ACTOR
14726,tm22806,Monte Blue,The Strike Leader,ACTOR
182731,tm22806,Marguerite Marsh,Debutante,ACTOR
579874,tm22806,Edward Dillon,Crook,ACTOR
156618,tm22806,Billy Quirk,Bartender,ACTOR
74200,tm22806,Howard Gaye,Jesus Christ / Cardinal de Lorraine,ACTOR
586733,tm22806,William H. Brown,Father of the Bride of Cana / Warden,ACTOR
578973,tm22806,George Walsh,The Bridegroom of Cana,ACTOR
42890,tm22806,W.S. Van Dyke,Cana Wedding Guest,ACTOR
575639,tm22806,Allan Sears,The Mercenary,ACTOR
586962,tm22806,Frank Bennett,Charles IX,ACTOR
74199,tm22806,Maxfield Stanley,Henri III,ACTOR
69186,tm22806,Josephine Crowell,Catherine de Médici,ACTOR
156615,tm22806,Constance  Talmadge,Marguerite de Navarre / The Mountain Girl,ACTOR
154008,tm22806,W.E. Lawrence,Henri de Navarre,ACTOR
74195,tm22806,Joseph Henabery,L'amiral de Coligny / Defendant,ACTOR
573569,tm22806,Chandler House,Page,ACTOR
55737,tm22806,Alfred Paget,Prince Belshazzar,ACTOR
51746,tm22806,Tully Marshall,High Priest of Bel / Friend of the Musketeer,ACTOR
584887,tm22806,Dore Davidson,The Friendly Neighbor,ACTOR
138547,tm22806,Taylor N. Duncan,Captain of the Gateg / Bodyguard of the Princess Beloved,ACTOR
156642,tm22806,Owen Moore,Extra (uncredited),ACTOR
138182,tm22806,Frank Borzage,Extra (uncredited),ACTOR
152749,tm22806,Karl Brown,Extra (uncredited),ACTOR
24710,tm22806,Frank Campeau,Extra (uncredited),ACTOR
106661,tm22806,Constance Collier,Extra (uncredited),ACTOR
51911,tm22806,Donald Crisp,Extra (uncredited),ACTOR
134050,tm22806,Nigel De Brulier,Extra (uncredited),ACTOR
576342,tm22806,Clarence Geldart,Extra (uncredited),ACTOR
63069,tm22806,Dell Henderson,Extra (uncredited),ACTOR
47773,tm22806,Russell Hicks,Extra (uncredited),ACTOR
584986,tm22806,DeWolf Hopper Sr.,Extra (uncredited),ACTOR
21771,tm22806,Wilfred Lucas,Extra (uncredited),ACTOR
56588,tm22806,Francis McDonald,Extra (uncredited),ACTOR
