id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm19248,The General,MOVIE,"During America’s Civil War, Union spies steal engineer Johnnie Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.",1926,,78,"['action', 'drama', 'war', 'western', 'comedy', 'european']",['US'],,tt0017925,8.2,89766.0,8.647,8.0
tm83884,His Girl Friday,MOVIE,"Hildy, the journalist former wife of newspaper editor Walter Burns, visits his office to inform him that she's engaged and will be getting remarried the next day. Walter can't let that happen and frames the fiancé, Bruce Baldwin, for one thing after another, to keep him temporarily held in prison, while trying to steer Hildy into returning to her old job as his employee.",1940,,92,"['comedy', 'drama', 'romance']",['US'],,tt0032599,7.8,57835.0,11.27,7.4
tm19424,Detour,MOVIE,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend.",1945,,66,"['thriller', 'drama', 'crime']",['US'],,tt0037638,7.3,17233.0,7.757,7.2
tm112005,Marihuana,MOVIE,"A young girl named Burma attends a beach party with her boyfriend and after she smokes marijuana with a bunch of other girls, she gets pregnant and another girl drowns while skinny dipping in the ocean. Burma and her boyfriend go to work for the pusher in order to make money so they can get married. However, during a drug deal her boyfriend is killed leaving Burma to fend for herself. Burma then becomes a major narcotics pusher in her own right after giving up her baby for adoption.",1936,,57,"['crime', 'drama']",['US'],,tt0026683,4.0,864.0,3.748,3.6
tm22806,Intolerance: Love's Struggle Throughout the Ages,MOVIE,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",1916,,197,"['history', 'drama']",['US'],,tt0006864,7.7,15242.0,9.412,7.2
tm88001,The Stranger,MOVIE,A man working for the War Crimes Commission suspects that an important Nazi official has folded himself into a quaint Connecticut town.,1946,,95,"['thriller', 'crime', 'drama']",['US'],,tt0038991,7.3,26293.0,7.566,7.3
tm141715,The Phantom of the Opera,MOVIE,"A grotesquely disfigured composer known as ""The Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his remote underground lair, The Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him. When The Phantom learns this, he abducts Christine.",1925,,101,['horror'],['US'],,tt0016220,7.5,18190.0,7.428,7.2
tm2838,The Most Dangerous Game,MOVIE,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",1932,,63,"['thriller', 'horror', 'action']",['US'],,tt0023238,7.1,12203.0,8.828,7.0
tm3541,"Steamboat Bill, Jr.",MOVIE,The just out of college effete son of a no-nonsense steamboat captain comes to visit his father whom he's not seen since he was little.,1928,,70,"['drama', 'romance', 'family', 'action', 'comedy']",['US'],,tt0019421,7.8,14499.0,7.754,7.7
tm122846,The Kid,MOVIE,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,1921,,53,"['drama', 'comedy', 'family']",['US'],,tt0012349,8.3,124364.0,12.692,8.2
tm58979,Cyrano de Bergerac,MOVIE,"France, 1640: Cyrano, the charismatic swordsman-poet with the absurd nose, hopelessly loves the beauteous Roxane; she, in turn, confesses to Cyrano her love for the handsome but tongue-tied Christian. The chivalrous Cyrano sets up with Christian an innocent deception, with tragic results.",1950,,112,"['drama', 'romance']",['US'],,tt0042367,7.4,4085.0,5.626,7.1
tm18385,Scarlet Street,MOVIE,"Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.",1945,,103,"['thriller', 'drama']",['US'],,tt0038057,7.8,16405.0,8.003,7.7
tm162994,Made for Each Other,MOVIE,A couple struggle to find happiness after a whirlwind courtship.,1939,,92,"['comedy', 'drama', 'romance']",['US'],,tt0031602,6.3,3582.0,6.242,6.1
tm2721,The Thief of Bagdad,MOVIE,A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,1924,,149,"['romance', 'family', 'fantasy']",['US'],,tt0015400,7.7,6134.0,7.166,7.4
tm59314,D.O.A.,MOVIE,"Frank Bigelow is about to die, and he knows it. The accountant has been poisoned and has only 24 hours before the lethal concoction kills him. Determined to find out who his murderer is, Frank, with the help of his assistant and girlfriend, Paula, begins to trace back over his last steps. As he frantically tries to unravel the mystery behind his own impending demise, his sleuthing leads him to a group of crooked businessmen and another murder.",1950,,83,"['crime', 'comedy', 'thriller', 'drama']",['US'],,tt0042369,7.2,11816.0,7.932,6.9
tm74188,Jungle Book,MOVIE,"Rudyard Kipling's Jungle Book is given the full treatment in this lavish retelling filled with huge sets, exotic animals, a large cast and the incomparable Sabu, starring as Mowgli, the young orphan boy raised by wolves. Curious to reconnect with his human village, Mowgli returns only to find disappointment in the greed and treachery of man. Over time, Mowgli and the village members do grow to trust one another, but not before the village finds itself under siege. It's up to Mowgli and his jungle friends to save the day.",1942,,106,"['fantasy', 'family', 'action']",['US'],,tt0034928,6.7,4195.0,6.515,6.3
tm159958,Love Affair,MOVIE,"French playboy Michel Marnet and American Terry McKay fall in love during the transatlantic passage of a ship. They arrange to reunite six months later, if neither has changed their mind.",1939,,88,"['romance', 'drama', 'comedy']",['US'],,tt0031593,7.3,5421.0,4.028,7.3
tm100997,Of Human Bondage,MOVIE,"Club-footed medical school student Philip Carey falls in love with cynical waitress Mildred Rogers. She rejects him and runs off with a salesman, later returning pregnant and unmarried. Philip takes her in, though ""happily ever after"" is not to be.",1934,,83,"['drama', 'romance']",['US'],,tt0025586,7.0,7332.0,5.776,6.6
tm70212,Our Town,MOVIE,"Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community.",1940,,90,"['romance', 'drama', 'family']",['US'],,tt0032881,6.5,2607.0,2.847,5.6
tm159975,The Little Princess,MOVIE,The classic Shirley Temple film in which a little girl goes in search of her father who is reported missing by the military during the Second Boer War.,1939,G,93,"['comedy', 'drama', 'family']",['US'],,tt0031580,7.1,6122.0,6.148,6.8
tm56594,The Jackie Robinson Story,MOVIE,"Biography of Jackie Robinson, the first black major league baseball player in the 20th century. Traces his career in the negro leagues and the major leagues.",1950,,76,"['drama', 'sport']",['US'],,tt0042609,6.3,1272.0,1.957,6.4
tm87972,The Strange Love of Martha Ivers,MOVIE,"Three childhood friends, Martha, Walter and Sam, share a terrible secret. Over time, the ambitious Martha and the pusillanimous Walter have married. She is a cold businesswoman; he is the district attorney: a perfect combination to dominate the corrupt city of Iverstown at will. But the unexpected return of Sam, after years of absence, deeply disturbs the life of the odd couple.",1946,,115,"['thriller', 'romance', 'drama']",['US'],,tt0038988,7.4,9729.0,9.703,7.2
tm140201,Lady Windermere's Fan,MOVIE,"A society woman believes her husband is having an affair, a misconception which may have dire personal consequences for all involved.",1925,,120,['comedy'],['US'],,tt0016004,7.2,1157.0,2.313,6.9
tm84154,Meet John Doe,MOVIE,"As a parting shot, fired reporter Ann Mitchell prints a fake letter from unemployed ""John Doe,"" who threatens suicide in protest of social ills. The paper is forced to rehire Ann and hires John Willoughby to impersonate ""Doe."" Ann and her bosses cynically milk the story for all it's worth, until the made-up ""John Doe"" philosophy starts a whole political movement.",1941,,122,"['romance', 'comedy', 'drama']",['US'],,tt0033891,7.6,13443.0,8.574,7.4
tm119274,The Outlaw,MOVIE,"Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl Rio's place after Billy is shot.",1943,,116,['western'],['US'],,,,,7.503,5.6
tm52327,The Front Page,MOVIE,"Hildy Johnson is an investigative reporter is looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career.",1931,,101,"['comedy', 'drama', 'thriller', 'crime', 'romance']",['US'],,tt0021890,6.2,17.0,5.403,6.6
tm5661,White Zombie,MOVIE,"In Haiti, a wealthy landowner convinces a sorcerer to lure the American woman he has fallen for away from her fiance, only to have the madman decide to keep the woman for himself, as a zombie.",1932,,67,['horror'],['US'],,tt0023694,6.3,10410.0,6.822,5.9
tm6408,Bird of Paradise,MOVIE,"When a young South Seas sailor falls overboard, the beautiful daughter of a Polynesian king dives in and saves his life. Thus begins the romance of Johnny and Luana. Though Luana is promised to another man, Johnny whisks her away, and for a brief time the lovers live very happily together. But, when a local volcano threatens their lives, Luana knows that she must sacrifice herself to the volcanic gods in order to save her island.",1932,,80,"['romance', 'drama']",['US'],,tt0022689,6.0,1298.0,3.164,5.0
tm140761,The Lost World,MOVIE,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,1925,,93,"['fantasy', 'thriller', 'scifi']",['US'],,tt0016039,7.0,5185.0,8.026,6.7
tm138416,The Private Life of Henry VIII,MOVIE,"Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",1933,,90,"['history', 'comedy', 'drama', 'romance']",['GB'],,tt0024473,7.0,4297.0,5.268,6.4
