person_id,id,name,character,role
39720,tm21196,Jun Ji-hyun,Kim Eun-ju,ACTOR
45833,tm21196,Lee Jung-jae,Han Sung-hyun,ACTOR
247394,tm21196,Kim Mu-saeng,Professor Han,ACTOR
247395,tm21196,Jo Seung-yeon,Jae-hyeok,ACTOR
247396,tm21196,Min Yun-jae,,ACTOR
247398,tm21196,Choe Yun-yeong,,ACTOR
222077,tm21196,Lee Hyun-seung,,DIRECTOR
26011,tm8809,Stephen Chow,Star Chow,ACTOR
425808,tm8809,Sharla Cheung,Miss Ho,ACTOR
32111,tm8809,Ng Man-tat,Uncle Tat,ACTOR
116472,tm8809,Gabriel Wong,Turtle Wong,ACTOR
41931,tm8809,Roy Cheung,Teddy Big,ACTOR
101833,tm8809,Karel Wong,Detective Wong,ACTOR
64488,tm8809,Barry Wong,Scissor Legs,ACTOR
46080,tm8809,Paul Chun,Mr. Lam Cho-Tung,ACTOR
64756,tm8809,Kingdom Yuen,Ms. Leung,ACTOR
56016,tm8809,Dennis Chan Kwok-San,Mr. Cheng,ACTOR
70315,tm8809,Leung Sap-Yat,Johnny,ACTOR
470474,tm8809,Tse Wai-Kit,Siu Yiu,ACTOR
115821,tm8809,Chang Gan-Wing,Chemistry teacher,ACTOR
116473,tm8809,Peter Lai Bei-Dak,Officer Wong,ACTOR
450415,tm8809,Pang Chi-Ching,Annie,ACTOR
40398,tm8809,Gordon Chan,,DIRECTOR
30996,tm54496,Aaron Kwok,Striding Cloud,ACTOR
41937,tm54496,Ekin Cheng,Whispering Wind,ACTOR
9514,tm54496,Shu Qi,Muse/Chor Chor,ACTOR
5848,tm54496,Anthony Wong,Sword Saint,ACTOR
296264,tm54496,Kristy Yang,Charity/Kong Ci,ACTOR
59747,tm54496,Alex Fong,Whispering Prince,ACTOR
34248,tm54496,Shin'ichi Chiba,Conqueror Xiong Ba,ACTOR
120473,tm54496,Michael Tse,Frost/Qin Xiang,ACTOR
172598,tm54496,Lawrence Cheng,Jester/Man Chow Chow,ACTOR
418929,tm54496,Yiu-Cheung Lai,Mud Buddha,ACTOR
135444,tm54496,Jason Chu,Ming,ACTOR
235115,tm54496,Vincent Wan Yeung-Ming,Summit Yu,ACTOR
41931,tm54496,Roy Cheung,Sik Mo-Gin,ACTOR
13934,tm54496,Yu Rongguang,Striding Sky,ACTOR
57924,tm54496,Christine Ng,Ying,ACTOR
44362,tm54496,Xu Jinglei,Phoenix Strike,ACTOR
45915,tm54496,Elvis Tsui,Kim Puen/Seedy Sword,ACTOR
21934,tm54496,Andrew Lau,,DIRECTOR
1894838,ts39072,Jung Sung-chan,MC Sung-chan,ACTOR
1159100,ts39072,An Yu-jin,MC Yu-jin,ACTOR
1902968,ts39072,Park Ji-hoon,MC Ji-hoon,ACTOR
37636,tm118132,Brigitte Lin,Li Chou-Shui / Li Chong-Hoi,ACTOR
25247,tm118132,Gong Li,Mou Hang-wan,ACTOR
425808,tm118132,Sharla Cheung,Ah-tsi,ACTOR
467945,tm118132,Frankie Lam,Hui-Chok,ACTOR
