id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts299859,Serendipity,SHOW,,1973,,39,[],['XX'],1.0,tt8912714,,,,
ts43055,Entertainment Weekly,SHOW,"This program -- one of our viewers’ favorites -- brings you the weekly wrap-up of news in the world of entertainment. This year, Entertainment Weekly celebrates its 20th anniversary. Since Park Tae-ho, the program’s executive producer, and Lee So-ra, a famous Korean model, became the emcees of Entertainment Weekly, its rating soared by 7 percent, recording an all-time high in the program’s history. The program’s credibility has enhanced when KBS reporters and producers took charge of its planning firsthand.",1984,,60,['reality'],['KR'],1.0,tt7782444,,,4.729,8.5
tm21196,Il Mare,MOVIE,"In the year 1999, a young woman leaves her quaint seaside house and returns to the city, leaving in the mailbox a card for the next owner, with instructions to forward any mail of hers to the new address. In the year 1997, a jaded young architect moves into the same house--and finds the letter. His reply, which he slips into the mailbox, finds its way to her, beginning a parallel-time love story separated by a span of two years.",2000,,105,"['fantasy', 'scifi', 'romance', 'drama', 'documentation']",['KR'],,tt0282599,7.5,8777.0,10.413,7.5
tm8809,Fight Back to School,MOVIE,Star Chow is about to be kicked out of the Royal Hong Kong Police's elite Special Duties Unit (SDU). But a senior officer decides to give him one last chance: Star must go undercover as a student at the Edinburgh High School in Hong Kong to recover the senior officer's missing revolver.,1991,,100,"['comedy', 'action', 'romance']",['HK'],,tt0103045,7.0,4021.0,6.104,6.6
tm54496,The Storm Riders,MOVIE,"Based on a comic book called Fung Wan (or Tin Ha), the movie stars Ekin Cheng as Wind and Aaron Kwok as Cloud. The plot involves two children, Whispering Wind and Striding Cloud, who become powerful warriors under the evil warlord Conquer's tutelage. They grow up serving as his subordinates, but a love triangle and an accident leads to a quest for retribution.",1998,PG-13,128,"['fantasy', 'action']",['HK'],,tt0165499,6.3,3910.0,6.376,6.1
ts39072,Inkigayo,SHOW,"The program is a weekly music show that features and introduces viewers to the most popular artists in Korea. Every week, they ask viewers to vote and select the most popular song of the week.",1998,,69,"['reality', 'music']",['KR'],2.0,tt6050846,5.7,9.0,2.154,9.0
tm118132,The Maidens of Heavenly Mountains,MOVIE,"Legend has it that in a faraway place beyond the edge of the earth, there exists a broken-hearted man with infinite power. Abandoned by his loved ones, the inheritance of the old man's chi power becomes a battleground for evil outsiders.",1994,,96,"['action', 'fantasy']",['HK'],,tt0111776,5.8,539.0,2.986,4.7
tm19949,Summer Holiday,MOVIE,"Summer Holiday is about a Hong Kong (Sammi Cheng) girl who loses her office job and finds that her boyfriend has been cheating on her, and travels to an island in Malaysia to sell her half of a beach that her cousin gave her. Only then does she know that her cousin sold the other half to his best friend (Richie Ren) to pay off debts. In her quest to convince him to sell, they begin to fall in love",2000,,98,"['comedy', 'romance']",['MY'],,tt0259741,5.7,477.0,1.425,6.3
tm185672,Flirting Scholar,MOVIE,"A scholar in search of true love. Disguising himself as a houseboy, he indentures himself to a rich family in order to pursue the ravishing servant girl who has stolen his heart.",1993,,102,"['romance', 'comedy']",['HK'],,tt0108289,7.5,5198.0,6.366,7.1
tm127140,Fight Back to School 2,MOVIE,"Star Chow is an officer in the Royal Hong Kong Police's elite Special Duties Unit (SDU). During a meeting with his senior officer, Inspector Yip, Star jokingly suggests he wishes to be reassigned to the traffic unit. Star immediately finds himself demoted to Constable engaging in traffic duty on the streets of Hong Kong. After being made the scapegoat for a failed high school terrorist investigation, Star hastily resigns from the police. He decides to enroll at the high school to launch his own private investigation. But Star realises the investigation won't be easy when he discovers that the bumbling, incompetent CID detective Tat  is also undercover at the high school.",1992,,98,"['comedy', 'action', 'crime']",['HK'],,tt0105534,6.6,2594.0,8.017,6.5
tm117416,"Who's the Man, Who's the Woman",MOVIE,"Music producer Sam and his cross-dressing protege Wing have finally professed their love for another, but now what?",1996,,107,"['comedy', 'drama', 'romance']",['HK'],,tt0116462,6.4,552.0,1.574,5.1
tm44620,Fly Me to Polaris,MOVIE,"A young man, blind and dumb, works as an audio tape typist in a hospital and fostering a tender and sincere relationship with a beautiful but introverted nurse. When hit by a car, he is the sixty billionth human being to die on earth, and is on transit to Polaris, en route to a yet more sophisticated form of existence in Vega. Given a reprieve of five days and a chance to be reunited with his love on earth, he cannot reveal his true identity behind the temporary facade he must present to her. Both boy and girl eventually learn, through a tangle of difficult and miraculous events, how love and good things always find ways of creeping into people's lives when people are not greedy and least expect these blessings.",1999,,96,"['fantasy', 'drama', 'romance']",['HK'],,tt0213314,7.2,1048.0,2.723,7.3
ts22134,My Fair Princess,SHOW,Centers around the legend of Princess Huanzhu during the reign of the Qianlong Emperor of the Qing Dynasty.,1998,,44,"['comedy', 'drama', 'romance', 'action']",['TW'],3.0,tt0456785,7.8,1178.0,17.133,8.5
tm104456,The Man from Nowhere,MOVIE,"His only friend called him 'the man from nowhere'... Taesik, a former special agent becomes a loner after losing his wife in a miserable accident and lives a bitter life running a pawnshop. He only has a few customers and a friend named Somi, a little girl next door. As Taesik spends more and more time with Somi, he gets attached to her. Then Somi is kidnapped by a gang, and as Taesik tries to save Somi by becoming deeply associated with the gang his mysterious past is revealed...",2010,R,119,"['thriller', 'drama', 'action', 'crime']",['KR'],,tt1527788,7.7,68559.0,46.419,7.7
ts21688,Boys Over Flowers,SHOW,A working class girl winds up at an exclusive prep school. Unassuming high school girl Jan Di stands up to -- and eventually falls for -- a spoiled rich kid who belongs to the school's most powerful clique.,2009,TV-14,64,"['comedy', 'drama', 'romance']",['KR'],1.0,tt1370334,7.9,11579.0,75.209,8.3
tm162101,Unleashed,MOVIE,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.",2005,R,103,"['crime', 'drama', 'thriller', 'action', 'european']","['FR', 'GB']",,tt0342258,7.0,102334.0,19.605,6.9
ts33582,Coffee Prince,SHOW,"Han-gyeol is a smart young man who hates to be tied down to one career in his life. Abhorring the idea of joining the family business, he is ordered by his grandmother to manage a cafe. Unable to disobey his grandmother, he reluctantly takes over the responsibility of running a cafe and begins to immerse himself in the gourmet coffee business. One day, he meets Eun-chan, whom he mistakes as a boy, and learns the meaning of true love...",2007,TV-14,61,"['drama', 'comedy', 'romance']",['KR'],1.0,tt1772685,8.2,5216.0,15.169,8.2
ts30080,Secret Garden,SHOW,A wealthy man and a poor stunt girl fall in love. But things get complicated when their souls become inexplicably swapped and dark secrets surface.,2010,TV-14,61,"['scifi', 'comedy', 'drama', 'fantasy', 'romance']",['KR'],1.0,tt1841321,8.1,6590.0,21.2,7.5
ts30146,Mischievous Kiss,SHOW,"A clumsy high-school girl - Oh Ha-ni - is at the bottom of her class, and she has had a crush on a popular genius, Baek Seung-Jo, ever since she first laid eyes on him.",2010,TV-14,62,"['comedy', 'romance']",['KR'],1.0,tt2096097,7.1,3453.0,33.079,7.8
ts21512,Running Man,SHOW,"These days, variety entertainment is gradually disappearing. It is one of Korea's representative variety entertainment shows that has been in charge of Sunday evenings for over 10 years. In this program, many stars and members play games and missions together. It is characterized by going around several places. In particular, this program focuses solely on laughter among the many fun elements of entertainment.

Open your eyes! Big fun enters!

Open your mouth!  A big smile enters!

Open your mind! Instructive lesson enters!",2010,TV-14,83,"['reality', 'comedy']",['KR'],8.0,tt2185037,9.1,3068.0,100.281,8.5
ts24460,You're Beautiful,SHOW,"Posing as her twin brother in a boy band, a young woman wins the heart of her bandmates and fans, all the while searching for her long-lost mother.",2009,TV-14,66,"['comedy', 'drama', 'romance', 'music']",['KR'],1.0,tt2074131,7.8,4566.0,10.081,7.5
ts24473,My Fair Lady,SHOW,"Of the high-rolling top 'hot celebrities' of the wealthy upper class in Korea's high society, Kang Hye Na is the one desired by the men, feared and hated by the women. Being the only successor to the largest conglomerate company, Kang San Group, Kang Hye Na has both the looks and the background. She is the owner of the 'Lady Castle' and lives a 'princess-like' life with her servants.

Until one day, out of pure coincidence, she comes across Seo Dong Chan who turns her life upside down. Not only does he make her do community service, he even kidnaps her... and now he's the new household manager!!! Even after stepping on him, crushing him and biting him, he still doesn't run away. She may have finally met her match.",2009,,61,"['drama', 'comedy', 'romance']",['KR'],1.0,tt2521774,6.9,517.0,12.476,7.2
ts30074,Sungkyunkwan Scandal,SHOW,"Kim Yun Hee is a smart, responsible young woman with an independent drive. Since her father passed away she has worked to support her family, but also managed to do well in her studies. When her younger brother's illness worsens and their family is in danger of being evicted from their house for lack of money. In her desperation to support him, Kim Yoon Hee decides to take the men's only national exam under her younger brother's name and disguises herself as a boy. On the day of the exam, Kim Yun Hee meets Lee Seon Joon and becomes friends. Lee Seon Joon comes from a privileged background and also possesses good looks. He is also arrogant. They both pass the national exam and she has to share a room together with him at Sungkyunkwan University, while hiding her true nature. There, she becomes friends with the playboy Goo Yong Ha and rebellious Moon Jae Shin.",2010,TV-Y,66,"['drama', 'romance', 'comedy', 'history']",['KR'],1.0,tt2745682,7.8,1550.0,7.9,8.0
ts31962,Full House,SHOW,"Han Ji-eun is a naive writer who got swindled out of everything she owned including her house by her best friends. Stranded in China, She managed to borrow money from an actor Lee Young-jae to return to Korea. On her return, she found out that her house was bought by Lee Young-jae. In an attempt to get her possessions back, she entered in a contract marriage with Young-jae for one year. In spite of losing all, Ji-eun manages to be cheerful and takes things in strike and the business relationship between the two becomes personal as they start to rely and care for each other.",2004,TV-14,51,"['comedy', 'drama', 'romance']",['KR'],1.0,tt0464625,7.9,3346.0,7.572,7.7
ts30160,Personal Taste,SHOW,"Jin-ho Jeon is a very stylish young man with the perfect looks. Jin-ho has also some faults which include being self-centered and obsession with cleanliness. Jin-ho Jeon then comes across Gae-in Park, a woman hurt by love and is now looking for a gay roommate/friend. Jin-ho wanting to live with the woman, then pretends to be a gay male.",2010,,64,"['comedy', 'drama', 'romance']",['KR'],1.0,tt1666217,7.5,4081.0,13.897,8.0
tm33081,A Frozen Flower,MOVIE,"A historical drama set in the Koryo dynasty and focused on the relationship between a king and his bodyguard.  Under the dominance of Yuan Dynasty China, the king of Goryeo Dynasty Korea is pressured to produce a successor to the throne. Unable to make love to his queen because he is in love with his bodyguard, Hong Lim, the king asks the two of them to sleep together instead. This sexual contact formulates a forbidden love between Hong Lim and the Queen.",2008,,133,"['drama', 'romance', 'history']",['KR'],,tt1155053,7.1,4433.0,10.601,6.9
ts30225,The Slave Hunters,SHOW,"The Slave Hunters is a 2010 South Korean action historical drama set in the Joseon Dynasty about a slave hunter who is tracking down a general-turned-runaway slave as well as searching for the woman he loves. It aired on KBS2 from January 6 to March 25, 2010 on Wednesdays and Thursdays at 21:55 for 24 episodes.

An adequate display of muscular brawn, intricate yet gritty fight scenes, bawdy humor and eloquent moments of pathos and humanity made the series both visually and intellectually appealing to audiences. Critics gave special mention to director Kwak Jung-hwan's lush cinematography, the use of a Red One camera giving each shot its theater-worthy luster. The hit series topped the ratings chart for 7 consecutive weeks, averaging 31.7% and reaching a peak of 35.9%.

The series was honored at the Seoul International Drama Awards, and the KBS Drama Awards. Jang also received a best actor nomination from the 2011 International Emmy Awards for his performance.",2010,,65,"['action', 'history', 'drama']",['KR'],1.0,tt2980528,8.8,849.0,6.061,8.4
ts31984,Stairway to Heaven,SHOW,"Song Ju and Jeong Seo who have lost a father and a mother respectively spend their childhood together like real siblings. Song Ju is there for Jeong Seo whenever she feels lonely and has a hard time, and Jeong Seo also relies a lot on Song Ju. However, after Jeong Seo's father gets married to Tae Mi Ra, Mi Ra and her daughter Yu Ri keep harassing Jeong Seo out of jealousy. Tae Hwa, Yu Ri's rough and wild older brother, has a crush on Jeong Seo who is pure and kind unlike him.",2003,,61,"['drama', 'romance']",['KR'],1.0,tt0457542,7.9,668.0,47.6,8.0
ts30275,Pasta,SHOW,Pasta follows the dreams and successes of a young woman who aspires to become an elite chef at La Sfera Italian restaurant.,2010,TV-PG,64,"['comedy', 'drama', 'romance']",['KR'],1.0,tt0822629,7.6,871.0,2.864,8.7
ts54096,Ancient X-Files,SHOW,"Ancient X Files travels around the world to solve some intriguing riddles. Each story is a piece of detective work by an expert trying to make sense of some puzzling ancient artefact, to find the truth behind some extraordinary legend, to discover the origins of a bizarre myth or to establish the authenticity of a venerated religious relic. This series explores the bits of archaeology and history which seem to defy explanation.

Our experts are following chains of clues and putting theories to the test, in an effort to explain the unexplained. Ancient X Files investigates claims about the whereabouts of the lost Ark of the Covenant; attempts to establish the authenticity of a cup some believe to be the Holy Grail; tries to de-code the mysterious Phaistos disc; investigates a cloth which is believed to carry traces of the DNA of Jesus Christ; and deciphers an encrypted book of alchemy written by the great Sir Isaac Newton.",2010,,53,"['documentation', 'history']",['US'],2.0,tt1734568,6.3,128.0,3.363,6.9
ts5287,Jewel in the Palace,SHOW,"Starring Lee Young Ae, it tells the tale of an orphaned kitchen cook who went on to become the king's first female physician. In a time when women held little influence in society, young apprentice cook Jang Geum strives to learn the secrets of Korean cooking and medicine in order to cure the King of his various ailments. It is based on the true story of Jang-geum, the first female royal physician of the Joseon Dynasty. The main themes are her perseverance and the portrayal of traditional Korean culture, including Korean royal court cuisine and traditional medicine.",2003,,71,"['drama', 'history', 'romance']",['KR'],2.0,tt0409546,8.5,3665.0,12.592,8.5
