name,class,branch,faction,stars,position,tags,trait,availability,icon,description,phrase,file_no.,gender,height,mobility,endurance,internal_name,base_hp,elite_1_hp,elite_2_hp,max_hp,trust_hp,base_atk,elite_1_atk,elite_2_atk,max_atk,trust_atk,base_def,elite_1_def,elite_2_def,max_def,trust_def,base_res,elite_1_res,elite_2_res,max_res,base_redeploy,elite_1_redeploy,elite_2_redeploy,max_redeploy,base_dp_cost,elite_1_dp_cost,elite_2_dp_cost,max_dp_cost,base_block,elite_1_block,elite_2_block,max_block,base_interval,elite_1_interval,elite_2_interval,max_interval,images,experience,place_of_birth,date_of_birth,race,infection_status,strength,tactical_acumen,combat_skill,arts_adaptability
Castle-3,Guard,Dreadnought,Rhodes Island,1-star,Melee,"['Support', 'Robot']","Blocks 1 enemy and ignores the Deployment Limit, but has a long Redeployment Time",Recruitment,https://static.wikia.nocookie.net/mrfz/images/7/7c/Castle-3_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082524,"Castle-3, Guard robot of Rhodes Island, is assigned by Engineer Closure to carry out combat duties in the field.",He knows that he's a robot.,RCX3,Male,167 cm,Normal,Excellent,char_286_cast3,928,1191,–,–,200.0,247,353,–,–,60.0,63,90,–,–,,0,0,–,–,200s,200s,–,–,3,3,–,–,1,1,–,–,1.5s,1.5s,–,–,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/d/d4/Castle-3.png/revision/latest?cb=20190620082525', 'SUM019.ver': 'https://static.wikia.nocookie.net/mrfz/images/9/9c/Castle-3_Skin_1.png/revision/latest?cb=20200719104410'}",,,,,,,,,
"""Justice Knight""",Sniper,Marksman,Pinus Sylvestris,1-star,Ranged,"['Support', 'Robot']","Attacks aerial enemies first and ignores the Deployment Limit, but has a long Redeployment Time",Recruitment,https://static.wikia.nocookie.net/mrfz/images/d/d0/Justice_Knight_icon.png/revision/latest/scale-to-width-down/120?cb=20211101070112,"""Justice Knight"" of the Pinus Sylvestris Knightclub, tasked at Rhodes Island with cover fire support.",She knows that she's a robot.,KZ15,Female,160 cm,Normal,Normal,char_4000_jnight,396,495,–,–,100.0,137,172,–,–,45.0,32,41,–,–,,0,0,–,–,200s,200s,–,–,3,3,–,–,1,1,–,–,1s,1s,–,–,"{'""Justice Knight""': 'https://static.wikia.nocookie.net/mrfz/images/b/b5/Justice_Knight.png/revision/latest?cb=20211101094400'}",,,,,,,,,
Lancet-2,Medic,Medic,Rhodes Island,1-star,Ranged,"['Healing', 'Robot']","Restores the HP of allies and ignores the Deployment Limit, but has a long Redeployment Time",Recruitment; TR-10,https://static.wikia.nocookie.net/mrfz/images/4/4a/Lancet-2_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082933,"Lancet-2, Medic robot of Rhodes Island, is assigned by Engineer Closure to carry out medical assistance in the field.",She knows that she's a robot.,RCX2,Female,149 cm,Normal,Excellent,char_285_medic2,261,435,–,–,100.0,42,70,–,–,40.0,16,27,–,–,,0,0,–,–,200s,200s,–,–,3,3,–,–,1,1,–,–,2.85s,2.85s,–,–,"{'Default': 'https://static.wikia.nocookie.net/mrfz/images/0/01/Lancet-2.png/revision/latest?cb=20190627031806', 'Shore Rescue Modification': 'https://static.wikia.nocookie.net/mrfz/images/2/2d/Lancet-2_Skin_1.png/revision/latest?cb=20220502081311'}",,,,,,,,,
THRM-EX,Specialist,Executor,Rhodes Island,1-star,Melee,"['Nuker', 'Robot']","Does not attack and ignores the Deployment Limit, but has a long Redeployment Time",Recruitment; 7-2,https://static.wikia.nocookie.net/mrfz/images/1/10/THRM-EX_icon.png/revision/latest/scale-to-width-down/120?cb=20200501134353,"Thermal-EX (a.k.a. THRM-EX), Specialist robot of Rhodes Island, is assigned by Engineer Closure to carry out combat missions.",He knows that he's a robot.,RCX4,Male,160 cm,Average,Flawed,char_376_therex,1154,1443,–,–,,208,260,–,–,90.0,354,443,–,–,,50,50,–,–,200s,200s,–,–,3,3,–,–,0,0,–,–,0.93s,0.93s,–,–,{'THRM-EX': 'https://static.wikia.nocookie.net/mrfz/images/c/cd/THRM-EX.png/revision/latest?cb=20200430133113'},,,,,,,,,
12F,Caster,Splash,Rhodes Island,2-star,Ranged,['Starter'],Deals AOE Arts Damage,Recruitment; TR-6,https://static.wikia.nocookie.net/mrfz/images/f/ff/12F_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082222,"12F, Caster Operator of Rhodes Island, will provide tactical aid for the squad with Originium Arts.",At least he can help out with something.,R303,Male,181 cm,Excellent,Normal,char_009_12fce,1461,1461,–,–,,302,432,–,–,50.0,31,50,–,–,,10,10,–,–,70s,70s,–,–,24,24,–,–,1,1,–,–,2.9s,2.9s,–,–,{'12F': 'https://static.wikia.nocookie.net/mrfz/images/c/cc/12F.png/revision/latest?cb=20190620082223'},5 years,Unknown,March 3rd,Savra,Non-infected as confirmed by medical report.,Normal,Normal,Normal,Standard
Durin,Caster,Core,Rhodes Island Operations Team A4,2-star,Ranged,['Starter'],Deals Arts Damage,Recruitment; TR-5,https://static.wikia.nocookie.net/mrfz/images/1/16/Durin_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082557,"Durin, Caster Operator of Rhodes Island, will give the squad a tactical advantage with her Originium Arts.",She looks quite sleepy.,A44,Female,131 cm,Normal,Flawed,char_501_durin,571,952,–,–,,238,340,–,–,30.0,36,62,–,–,,10,10,–,–,70s,70s,–,–,12,12,–,–,1,1,–,–,1.6s,1.6s,–,–,{'Durin': 'https://static.wikia.nocookie.net/mrfz/images/4/49/Durin.png/revision/latest?cb=20190620082558'},2 years,Undisclosed,December 15th,Durin,Medical examination confirms she is uninfected.,Flawed,Normal,Normal,Excellent
Noir Corne,Defender,Protector,Rhodes Island Operations Team A4,2-star,Melee,['Starter'],Blocks 3 enemies,Starting Operator; Recruitment,https://static.wikia.nocookie.net/mrfz/images/7/75/Noir_Corne_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083135,"Noir Corne, Defender Operator of Rhodes Island, will provide a solid defense for the squad.",You can see him cleaning his mask carefully every day.,A43,Male,180 cm,Normal,Excellent,char_500_noirc,1219,1670,–,–,,180,240,–,–,,220,315,–,–,40.0,0,0,–,–,70s,70s,–,–,14,14,–,–,3,3,–,–,1.2s,1.2s,–,–,{'Noir Corne': 'https://static.wikia.nocookie.net/mrfz/images/8/89/Noir_Corne.png/revision/latest?cb=20190627031810'},8 years,The Far East,August 30th,Oni,Infection confirmed by medical examination.,Normal,Normal,Normal,Normal
Rangers,Sniper,Marksman,Rhodes Island Operations Team A4,2-star,Ranged,['Starter'],Attacks aerial enemies first,Starting Operator; Recruitment,https://static.wikia.nocookie.net/mrfz/images/e/ef/Rangers_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083317,"Rangers, Sniper Operator of Rhodes Island, will repel enemy attacks with his longbow.",His energetic disposition conceals his age.,A42,Male,179 cm,Excellent,Normal,char_503_rang,546,780,–,–,,161,269,–,–,30.0,46,66,–,–,,0,0,–,–,70s,70s,–,–,7,7,–,–,1,1,–,–,1s,1s,–,–,{'Rangers': 'https://static.wikia.nocookie.net/mrfz/images/1/19/Rangers.png/revision/latest?cb=20190627031811'},2 years,Undisclosed[2],July 22th,Savra,Non-infected as confirmed by medical examination.,Normal,Normal,Excellent,Normal
Yato,Vanguard,Pioneer,Rhodes Island Operations Team A4,2-star,Melee,['Starter'],Blocks 2 enemies,Starting Operator; Recruitment,https://static.wikia.nocookie.net/mrfz/images/0/00/Yato_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083544,"Yato, Vanguard Operator of Rhodes Island, will fight on the battlefield to give the squad the upper hand.",Everyone admires how much effort she puts into training.,A41,Female,161 cm,Excellent,Normal,char_502_nblade,721,1030,–,–,,150,232,–,–,30.0,134,192,–,–,,0,0,–,–,70s,70s,–,–,7,7,–,–,2,2,–,–,1.05s,1.05s,–,–,{'Yato': 'https://static.wikia.nocookie.net/mrfz/images/6/6d/Yato.png/revision/latest?cb=20190713060432'},8 years,The Far East,May 14th,Oni,Infection confirmed by medical examination.,Normal,Normal,Normal,Normal
Adnachiel,Sniper,Marksman,Rhodes Island Operations Reserve Team A4,3-star,Ranged,['DPS'],Attacks aerial enemies first,Recruitment; TR-2,https://static.wikia.nocookie.net/mrfz/images/0/0b/Adnachiel_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082244,"Adnachiel, Sniper Operator of Rhodes Island, will interrupt the enemies' attacks with his crossbow.","His halo is lower than usual, but not his accuracy.",PA44,Male,171 cm,Standard,Normal,char_211_adnach,531,831,1080,–,,150,251,365,–,50.0,55,93,134,–,,0,0,0,–,70s,70s,70s,–,9,9,11,–,1,1,1,–,1s,1s,1s,–,{'Adnachiel': 'https://static.wikia.nocookie.net/mrfz/images/5/52/Adnachiel.png/revision/latest?cb=20190620082245'},Half a year,Laterano,May 30th,Sankta,Infection confirmed by medical examination.,Normal,Normal,Standard,Standard
