title,volume,authors,year,pages,link,code
Joint Estimation and Inference for Data Integration Problems based on Multiple Multi-layered Gaussian Graphical Models,Volume 23,"['Subhabrata Majumdar', 'George Michailidis']",2022,53,https://www.jmlr.org/papers/volume23/18-131/18-131.pdf,https://github.com/GeorgeMichailidis/JMMLE_code
Debiased  Distributed Learning for Sparse Partial Linear Models in  High Dimensions,Volume 23,"['Shaogao Lv', 'Heng Lian']",2022,32,https://www.jmlr.org/papers/volume23/18-467/18-467.pdf,
Recovering shared structure from multiple networks with unknown edge distributions,Volume 23,"['Keith Levin', 'Asad Lodhia', 'Elizaveta Levina']",2022,48,https://www.jmlr.org/papers/volume23/19-1056/19-1056.pdf,
Exploiting locality in high-dimensional Factorial hidden Markov models,Volume 23,"['Lorenzo Rimella', 'Nick Whiteley']",2022,34,https://www.jmlr.org/papers/volume23/19-267/19-267.pdf,https://github.com/LorenzoRimella/GraphFilter-GraphSmoother
Empirical Risk Minimization under Random Censorship,Volume 23,"['Guillaume Ausset', 'Stephan ClÃ©menÃ§on', 'FranÃ§ois Portier']",2022,59,https://www.jmlr.org/papers/volume23/19-450/19-450.pdf,
XAI Beyond Classification: Interpretable Neural Clustering,Volume 23,"['Xi Peng', 'Yunfan Li', 'Ivor W. Tsang', 'Hongyuan Zhu', 'Jiancheng Lv', 'Joey Tianyi Zhou']",2022,28,https://www.jmlr.org/papers/volume23/19-497/19-497.pdf,http://www.pengxi.me
Bayesian Multinomial Logistic Normal Models through Marginally Latent Matrix-T Processes,Volume 23,"['Justin D. Silverman', 'Kimberly Roche', 'Zachary C. Holmes', 'Lawrence A. David', 'Sayan Mukherjee']",2022,42,https://www.jmlr.org/papers/volume23/19-882/19-882.pdf,https://github.com/jsilve24/fido_paper_code
Deep Learning in Target Space,Volume 23,"['Michael Fairbank', 'Spyridon Samothrakis', 'Luca Citi']",2022,46,https://www.jmlr.org/papers/volume23/20-040/20-040.pdf,https://github.com/mikefairbank/dlts_paper_code
Scaling Laws from the Data Manifold Dimension,Volume 23,"['Utkarsh Sharma', 'Jared Kaplan']",2022,34,https://www.jmlr.org/papers/volume23/20-1111/20-1111.pdf,https://github.com/U-Sharma/NeuralScaleID
Interpolating Predictors in High-Dimensional Factor Regression,Volume 23,"['Florentina Bunea', 'Seth Strimas-Mackey', 'Marten Wegkamp']",2022,60,https://www.jmlr.org/papers/volume23/20-112/20-112.pdf,
Near Optimality of Finite Memory Feedback Policies in Partially Observed Markov Decision Processes,Volume 23,"['Ali Kara', 'Serdar Yuksel']",2022,46,https://www.jmlr.org/papers/volume23/20-1152/20-1152.pdf,
Approximate Information State for Approximate Planning and Reinforcement Learning in Partially Observed Systems,Volume 23,"['Jayakumar Subramanian', 'Amit Sinha', 'Raihan Seraj', 'Aditya Mahajan']",2022,83,https://www.jmlr.org/papers/volume23/20-1165/20-1165.pdf,https://github.com/info-structures/ais
Solving Large-Scale Sparse PCA to Certifiable (Near) Optimality,Volume 23,"['Dimitris Bertsimas', 'Ryan Cory-Wright', 'Jean Pauphilet']",2022,35,https://www.jmlr.org/papers/volume23/20-1188/20-1188.pdf,https://github.com/ryancorywright/ScalableSPCA.jl
On Generalizations of Some Distance Based Classifiers for HDLSS Data,Volume 23,"['Sarbojit Roy', 'Soham Sarkar', 'Subhajit Dutta', 'Anil K. Ghosh']",2022,41,https://www.jmlr.org/papers/volume23/20-1219/20-1219.pdf,
A Stochastic Bundle Method for Interpolation,Volume 23,"['Alasdair Paren', 'Leonard Berrada', 'Rudra P. K. Poudel', 'M. Pawan Kumar']",2022,57,https://www.jmlr.org/papers/volume23/20-1248/20-1248.pdf,https://github.com/oval-group/borat
TFPnP: Tuning-free Plug-and-Play Proximal Algorithms with Applications to Inverse Imaging Problems,Volume 23,"['Kaixuan Wei', 'Angelica Aviles-Rivero', 'Jingwei Liang', 'Ying Fu', 'Hua Huang', 'Carola-Bibiane SchÃ¶nlieb']",2022,48,https://www.jmlr.org/papers/volume23/20-1297/20-1297.pdf,https://github.com/Vandermode/TFPnP
Spatial Multivariate Trees for Big Data Bayesian Regression,Volume 23,"['Michele Peruzzi', 'David B. Dunson']",2022,40,https://www.jmlr.org/papers/volume23/20-1361/20-1361.pdf,https://github.com/mkln/spamtree
Decimated Framelet System on Graphs and Fast G-Framelet Transforms,Volume 23,"['Xuebin Zheng', 'Bingxin Zhou', 'Yu Guang Wang', 'Xiaosheng Zhuang']",2022,68,https://www.jmlr.org/papers/volume23/20-1402/20-1402.pdf,https://github.com/YuGuangWang/FGT
Universal Approximation in Dropout Neural Networks,Volume 23,"['Oxana A. Manita', 'Mark A. Peletier', 'Jacobus W. Portegies', 'Jaron Sanders', 'Albert Senen-Cerda']",2022,46,https://www.jmlr.org/papers/volume23/20-1433/20-1433.pdf,
Supervised Dimensionality Reduction and Visualization using Centroid-Encoder,Volume 23,"['Tomojit Ghosh', 'Michael Kirby']",2022,34,https://www.jmlr.org/papers/volume23/20-188/20-188.pdf,https://github.com/Tomojit1/Centroid-encoder/tree/master/GPU
Evolutionary Variational Optimization of Generative Models,Volume 23,"['Jakob Drefs', 'Enrico Guiraud', 'JÃ¶rg LÃ¼cke']",2022,51,https://www.jmlr.org/papers/volume23/20-233/20-233.pdf,https://github.com/tvlearn
LSAR: Efficient Leverage Score Sampling Algorithm for the Analysis of Big Time Series Data,Volume 23,"['Ali Eshragh', 'Fred Roosta', 'Asef Nazari', 'Michael W. Mahoney']",2022,36,https://www.jmlr.org/papers/volume23/20-247/20-247.pdf,
Fast and Robust Rank Aggregation against Model Misspecification,Volume 23,"['Yuangang Pan', 'Ivor W. Tsang', 'Weijie Chen', 'Gang Niu', 'Masashi Sugiyama']",2022,35,https://www.jmlr.org/papers/volume23/20-315/20-315.pdf,
On Biased Stochastic Gradient Estimation,Volume 23,"['Derek Driggs', 'Jingwei Liang', 'Carola-Bibiane SchÃ¶nlieb']",2022,43,https://www.jmlr.org/papers/volume23/20-316/20-316.pdf,
Efficient MCMC Sampling with Dimension-Free Convergence Rate using ADMM-type Splitting,Volume 23,"['Maxime Vono', 'Daniel Paulin', 'Arnaud Doucet']",2022,69,https://www.jmlr.org/papers/volume23/20-357/20-357.pdf,
MurTree: Optimal Decision Trees via Dynamic Programming and Search,Volume 23,"['Emir DemiroviÄ\x87', 'Anna Lukina', 'Emmanuel Hebrard', 'Jeffrey Chan', 'James Bailey', 'Christopher Leckie', 'Kotagiri Ramamohanarao', 'Peter J. Stuckey']",2022,47,https://www.jmlr.org/papers/volume23/20-520/20-520.pdf,https://bitbucket.org/EmirD/murtree
Data-Derived Weak Universal Consistency,Volume 23,"['Narayana Santhanam', 'Venkatachalam Anantharam', 'Wojciech Szpankowski']",2022,55,https://www.jmlr.org/papers/volume23/20-644/20-644.pdf,
Novel Min-Max Reformulations of Linear Inverse Problems,Volume 23,"['Mohammed Rayyan Sheriff', 'Debasish Chatterjee']",2022,46,https://www.jmlr.org/papers/volume23/20-707/20-707.pdf,
Theoretical Convergence of Multi-Step Model-Agnostic Meta-Learning,Volume 23,"['Kaiyi Ji', 'Junjie Yang', 'Yingbin Liang']",2022,41,https://www.jmlr.org/papers/volume23/20-720/20-720.pdf,
A Class of Conjugate Priors for Multinomial Probit Models which Includes the Multivariate Normal One,Volume 23,"['Augusto Fasano', 'Daniele Durante']",2022,26,https://www.jmlr.org/papers/volume23/20-735/20-735.pdf,
An improper estimator with optimal excess risk in misspecified density estimation and logistic regression,Volume 23,"['Jaouad Mourtada', 'StÃ©phane GaÃ¯ffas']",2022,49,https://www.jmlr.org/papers/volume23/20-782/20-782.pdf,
Active Learning for Nonlinear System Identification with Guarantees,Volume 23,"['Horia Mania', 'Michael I. Jordan', 'Benjamin Recht']",2022,30,https://www.jmlr.org/papers/volume23/20-807/20-807.pdf,
Model Averaging Is Asymptotically Better Than Model Selection For Prediction,Volume 23,"['Tri M. Le', 'Bertrand S. Clarke']",2022,53,https://www.jmlr.org/papers/volume23/20-874/20-874.pdf,
SODEN: A Scalable Continuous-Time Survival Model through Ordinary Differential Equation Networks,Volume 23,"['Weijing Tang', 'Jiaqi Ma', 'Qiaozhu Mei', 'Ji Zhu']",2022,29,https://www.jmlr.org/papers/volume23/20-900/20-900.pdf,https://github.com/jiaqima/SODEN
Optimality and Stability in Non-Convex Smooth Games,Volume 23,"['Guojun Zhang', 'Pascal Poupart', 'Yaoliang Yu']",2022,71,https://www.jmlr.org/papers/volume23/20-918/20-918.pdf,
Accelerated Zeroth-Order and First-Order Momentum Methods from Mini to Minimax Optimization,Volume 23,"['Feihu Huang', 'Shangqian Gao', 'Jian Pei', 'Heng Huang']",2022,70,https://www.jmlr.org/papers/volume23/20-924/20-924.pdf,
Projected Statistical Methods for Distributional Data on the Real Line with the Wasserstein Metric,Volume 23,"['Matteo Pegoraro', 'Mario Beraha']",2022,59,https://www.jmlr.org/papers/volume23/21-0059/21-0059.pdf,https://github.com/mberaha/ProjectedWasserstein
Score Matched Neural Exponential Families for Likelihood-Free Inference,Volume 23,"['Lorenzo Pacchiardi', 'Ritabrata Dutta']",2022,71,https://www.jmlr.org/papers/volume23/21-0061/21-0061.pdf,https://github.com/LoryPack/SM-ExpFam-LFI
"(f,Gamma)-Divergences: Interpolating between f-Divergences and Integral Probability Metrics",Volume 23,"['Jeremiah Birrell', 'Paul Dupuis', 'Markos A. Katsoulakis', 'Yannis Pantazis', 'Luc Rey-Bellet']",2022,70,https://www.jmlr.org/papers/volume23/21-0100/21-0100.pdf,
Structure-adaptive Manifold Estimation,Volume 23,"['Nikita Puchkin', 'Vladimir Spokoiny']",2022,62,https://www.jmlr.org/papers/volume23/21-0338/21-0338.pdf,
The correlation-assisted missing data estimator,Volume 23,"['Timothy I. Cannings', 'Yingying Fan']",2022,49,https://www.jmlr.org/papers/volume23/21-0345/21-0345.pdf,
