id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts20945,The Three Stooges,SHOW,"The Three Stooges were an American vaudeville and comedy team active from 1922 until 1970, best known for their 190 short subject films by Columbia Pictures that have been regularly airing on television since 1958. Their hallmark was physical farce and slapstick. In films, the stooges were commonly known by their actual first names. There were a total of six stooges over the act's run (with only three active at any given time), but Moe Howard and Larry Fine were the mainstays throughout the ensemble's nearly fifty-year run.",1934,TV-PG,19,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']",['US'],26.0,tt0850645,8.6,1092.0,15.424,7.6
tm19248,The General,MOVIE,"During America’s Civil War, Union spies steal engineer Johnnie Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.",1926,,78,"['action', 'drama', 'war', 'western', 'comedy', 'european']",['US'],,tt0017925,8.2,89766.0,8.647,8.0
tm82253,The Best Years of Our Lives,MOVIE,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",1946,,171,"['romance', 'war', 'drama']",['US'],,tt0036868,8.1,63026.0,8.435,7.8
tm83884,His Girl Friday,MOVIE,"Hildy, the journalist former wife of newspaper editor Walter Burns, visits his office to inform him that she's engaged and will be getting remarried the next day. Walter can't let that happen and frames the fiancé, Bruce Baldwin, for one thing after another, to keep him temporarily held in prison, while trying to steer Hildy into returning to her old job as his employee.",1940,,92,"['comedy', 'drama', 'romance']",['US'],,tt0032599,7.8,57835.0,11.27,7.4
tm56584,In a Lonely Place,MOVIE,An aspiring actress begins to suspect that her temperamental boyfriend is a murderer.,1950,,94,"['thriller', 'drama', 'romance']",['US'],,tt0042593,7.9,30924.0,8.273,7.6
tm160494,Stagecoach,MOVIE,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",1939,,96,"['western', 'drama']",['US'],,tt0031971,7.8,48149.0,11.786,7.7
tm87233,It's a Wonderful Life,MOVIE,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",1946,PG,130,"['drama', 'family', 'fantasy', 'romance', 'comedy']",['US'],,tt0038650,8.6,444243.0,26.495,8.3
tm19424,Detour,MOVIE,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend.",1945,,66,"['thriller', 'drama', 'crime']",['US'],,tt0037638,7.3,17233.0,7.757,7.2
tm116781,My Man Godfrey,MOVIE,"Fifth Avenue socialite Irene Bullock needs a ""forgotten man"" to win a scavenger hunt, and no one is more forgotten than Godfrey Park, who resides in a dump by the East River. Irene hires Godfrey as a servant for her riotously unhinged family, to the chagrin of her spoiled sister, Cornelia, who tries her best to get Godfrey fired. As Irene falls for her new butler, Godfrey turns the tables and teaches the frivolous Bullocks a lesson or two.",1936,,95,"['comedy', 'romance', 'drama']",['US'],,tt0028010,8.0,23532.0,8.633,7.6
tm112005,Marihuana,MOVIE,"A young girl named Burma attends a beach party with her boyfriend and after she smokes marijuana with a bunch of other girls, she gets pregnant and another girl drowns while skinny dipping in the ocean. Burma and her boyfriend go to work for the pusher in order to make money so they can get married. However, during a drug deal her boyfriend is killed leaving Burma to fend for herself. Burma then becomes a major narcotics pusher in her own right after giving up her baby for adoption.",1936,,57,"['crime', 'drama']",['US'],,tt0026683,4.0,864.0,3.748,3.6
tm22806,Intolerance: Love's Struggle Throughout the Ages,MOVIE,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",1916,,197,"['history', 'drama']",['US'],,tt0006864,7.7,15242.0,9.412,7.2
tm88001,The Stranger,MOVIE,A man working for the War Crimes Commission suspects that an important Nazi official has folded himself into a quaint Connecticut town.,1946,,95,"['thriller', 'crime', 'drama']",['US'],,tt0038991,7.3,26293.0,7.566,7.3
tm141715,The Phantom of the Opera,MOVIE,"A grotesquely disfigured composer known as ""The Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his remote underground lair, The Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him. When The Phantom learns this, he abducts Christine.",1925,,101,['horror'],['US'],,tt0016220,7.5,18190.0,7.428,7.2
tm112415,Tell Your Children,MOVIE,"High-school principal Dr. Alfred Carroll relates to an audience of parents that marijuana can have devastating effects on teens: a drug supplier entices several restless teens, Mary and Jimmy Lane, sister and brother, and Bill, Mary's boyfriend, into frequenting a reefer house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives.",1938,PG,66,"['drama', 'crime']",['US'],,tt0028346,3.7,8617.0,5.412,4.1
tm2838,The Most Dangerous Game,MOVIE,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",1932,,63,"['thriller', 'horror', 'action']",['US'],,tt0023238,7.1,12203.0,8.828,7.0
tm155610,Wuthering Heights,MOVIE,"The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw's son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley's sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the moors and despite the continued enmity between Hindley and Heathcliff they're happy -- until Cathy meets Edgar Linton, the son of a wealthy neighbor.",1939,,104,"['drama', 'romance']",['US'],,tt0032145,7.5,17956.0,12.336,7.3
tm3781,The Woman in the Window,MOVIE,A seductive woman gets an innocent professor mixed up in murder.,1944,,99,"['drama', 'thriller', 'crime']",['US'],,tt0037469,7.6,15909.0,6.018,7.5
tm3541,"Steamboat Bill, Jr.",MOVIE,The just out of college effete son of a no-nonsense steamboat captain comes to visit his father whom he's not seen since he was little.,1928,,70,"['drama', 'romance', 'family', 'action', 'comedy']",['US'],,tt0019421,7.8,14499.0,7.754,7.7
tm82560,The Little Foxes,MOVIE,"The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the 20th century. Regina Giddons née Hubbard has her daughter under her thumb. Mrs. Giddons is estranged from her husband, who is convalescing in Baltimore and suffers from a terminal illness. But she needs him home, and will manipulate her daughter to help bring him back. She has a sneaky business deal that she's cooking up with her two elder brothers, Oscar and Ben. Oscar has a flighty, unhappy wife and a dishonest worm of a son. Will the daughter have to marry this contemptible cousin? Who will she grow up to be - her mother or her aunt? Or can she escape the fate of both?",1941,,115,"['romance', 'drama']",['US'],,tt0033836,7.9,11775.0,5.906,7.5
tm64852,Stella Dallas,MOVIE,"After divorcing a society man, a small-town woman tries to build a better life for their daughter.",1937,,106,"['drama', 'romance']",['US'],,tt0029608,7.4,5440.0,5.377,6.9
tm120863,Dodsworth,MOVIE,A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.,1936,,101,"['romance', 'drama']",['US'],,tt0027532,7.8,9063.0,6.1,7.2
tm66903,Sands of Iwo Jima,MOVIE,"The relationship between Sergeant Stryker and a group of rebellious recruits is made difficult by the Sergeant's tough training tactics. At Tarawa, the leathernecks have a chance to see Stryker in action, and begin to appreciate him.",1950,,100,"['drama', 'war', 'action', 'romance']",['US'],,tt0041841,7.0,10399.0,7.629,6.5
tm74259,The Pride of the Yankees,MOVIE,"The story of the life and career of the baseball hall of famer, Lou Gehrig.",1942,,128,"['drama', 'romance', 'sport']",['US'],,tt0035211,7.6,10866.0,6.602,7.4
tm112424,Things to Come,MOVIE,"The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel.",1936,,89,"['scifi', 'drama', 'war']",['GB'],,tt0028358,6.6,7965.0,11.526,6.5
tm58979,Cyrano de Bergerac,MOVIE,"France, 1640: Cyrano, the charismatic swordsman-poet with the absurd nose, hopelessly loves the beauteous Roxane; she, in turn, confesses to Cyrano her love for the handsome but tongue-tied Christian. The chivalrous Cyrano sets up with Christian an innocent deception, with tragic results.",1950,,112,"['drama', 'romance']",['US'],,tt0042367,7.4,4085.0,5.626,7.1
tm18385,Scarlet Street,MOVIE,"Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.",1945,,103,"['thriller', 'drama']",['US'],,tt0038057,7.8,16405.0,8.003,7.7
tm162994,Made for Each Other,MOVIE,A couple struggle to find happiness after a whirlwind courtship.,1939,,92,"['comedy', 'drama', 'romance']",['US'],,tt0031602,6.3,3582.0,6.242,6.1
tm2721,The Thief of Bagdad,MOVIE,A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,1924,,149,"['romance', 'family', 'fantasy']",['US'],,tt0015400,7.7,6134.0,7.166,7.4
tm59314,D.O.A.,MOVIE,"Frank Bigelow is about to die, and he knows it. The accountant has been poisoned and has only 24 hours before the lethal concoction kills him. Determined to find out who his murderer is, Frank, with the help of his assistant and girlfriend, Paula, begins to trace back over his last steps. As he frantically tries to unravel the mystery behind his own impending demise, his sleuthing leads him to a group of crooked businessmen and another murder.",1950,,83,"['crime', 'comedy', 'thriller', 'drama']",['US'],,tt0042369,7.2,11816.0,7.932,6.9
tm74188,Jungle Book,MOVIE,"Rudyard Kipling's Jungle Book is given the full treatment in this lavish retelling filled with huge sets, exotic animals, a large cast and the incomparable Sabu, starring as Mowgli, the young orphan boy raised by wolves. Curious to reconnect with his human village, Mowgli returns only to find disappointment in the greed and treachery of man. Over time, Mowgli and the village members do grow to trust one another, but not before the village finds itself under siege. It's up to Mowgli and his jungle friends to save the day.",1942,,106,"['fantasy', 'family', 'action']",['US'],,tt0034928,6.7,4195.0,6.515,6.3
tm159958,Love Affair,MOVIE,"French playboy Michel Marnet and American Terry McKay fall in love during the transatlantic passage of a ship. They arrange to reunite six months later, if neither has changed their mind.",1939,,88,"['romance', 'drama', 'comedy']",['US'],,tt0031593,7.3,5421.0,4.028,7.3
tm88469,The Bishop's Wife,MOVIE,"An Episcopal Bishop, Henry Brougham, has been working for months on the plans for an elaborate new cathedral which he hopes will be paid for primarily by a wealthy, stubborn widow. He is losing sight of his family and of why he became a churchman in the first place. Enter Dudley, an angel sent to help him. Dudley does help everyone he meets, but not necessarily in the way they would have preferred. With the exception of Henry, everyone loves him, but Henry begins to believe that Dudley is there to replace him, both at work and in his family's affections, as Christmas approaches.",1947,,109,"['fantasy', 'comedy', 'drama', 'romance']",['US'],,tt0039190,7.6,17675.0,9.031,7.1
tm100997,Of Human Bondage,MOVIE,"Club-footed medical school student Philip Carey falls in love with cynical waitress Mildred Rogers. She rejects him and runs off with a salesman, later returning pregnant and unmarried. Philip takes her in, though ""happily ever after"" is not to be.",1934,,83,"['drama', 'romance']",['US'],,tt0025586,7.0,7332.0,5.776,6.6
tm70212,Our Town,MOVIE,"Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community.",1940,,90,"['romance', 'drama', 'family']",['US'],,tt0032881,6.5,2607.0,2.847,5.6
tm159975,The Little Princess,MOVIE,The classic Shirley Temple film in which a little girl goes in search of her father who is reported missing by the military during the Second Boer War.,1939,G,93,"['comedy', 'drama', 'family']",['US'],,tt0031580,7.1,6122.0,6.148,6.8
tm56594,The Jackie Robinson Story,MOVIE,"Biography of Jackie Robinson, the first black major league baseball player in the 20th century. Traces his career in the negro leagues and the major leagues.",1950,,76,"['drama', 'sport']",['US'],,tt0042609,6.3,1272.0,1.957,6.4
tm89268,The Secret Life of Walter Mitty,MOVIE,"Walter Mitty, a daydreaming writer with an overprotective mother, likes to imagine that he is a hero who experiences fantastic adventures. His dream becomes reality when he accidentally meets a mysterious woman who hands him a little black book. According to her, it contains the locations of the Dutch crown jewels hidden since World War II. Soon, Mitty finds himself in the middle of a confusing conspiracy, where he has difficulty differentiating between fact and fiction.",1947,,105,"['romance', 'comedy', 'fantasy']",['US'],,tt0039808,6.9,6307.0,5.415,6.8
tm87972,The Strange Love of Martha Ivers,MOVIE,"Three childhood friends, Martha, Walter and Sam, share a terrible secret. Over time, the ambitious Martha and the pusillanimous Walter have married. She is a cold businesswoman; he is the district attorney: a perfect combination to dominate the corrupt city of Iverstown at will. But the unexpected return of Sam, after years of absence, deeply disturbs the life of the odd couple.",1946,,115,"['thriller', 'romance', 'drama']",['US'],,tt0038988,7.4,9729.0,9.703,7.2
tm79732,Flying Tigers,MOVIE,"Jim Gordon commands a unit of the famed Flying Tigers, the American Volunteer Group which fought the Japanese in China before America's entry into World War II. Gordon must send his outnumbered band of fighter pilots out against overwhelming odds while juggling the disparate personalities and problems of his fellow flyers.",1942,,102,"['drama', 'romance', 'war', 'action']","['MX', 'US']",,tt0034742,6.7,3917.0,3.238,6.1
tm140201,Lady Windermere's Fan,MOVIE,"A society woman believes her husband is having an affair, a misconception which may have dire personal consequences for all involved.",1925,,120,['comedy'],['US'],,tt0016004,7.2,1157.0,2.313,6.9
tm71517,Dead End,MOVIE,"Mobster ""Baby Face"" Martin returns home to visit the New York neighborhood where he grew up, dropping in on his mother, who rejects him because of his gangster lifestyle, and his old girlfriend, Francey, now a syphilitic prostitute. Martin also crosses paths with Dave, a childhood friend struggling to make it as an architect, and the Dead End Kids, a gang of young boys roaming the streets of the city's East Side slums.",1937,,93,"['crime', 'drama', 'romance']",['US'],,tt0028773,7.3,7504.0,8.068,7.1
tm84154,Meet John Doe,MOVIE,"As a parting shot, fired reporter Ann Mitchell prints a fake letter from unemployed ""John Doe,"" who threatens suicide in protest of social ills. The paper is forced to rehire Ann and hires John Willoughby to impersonate ""Doe."" Ann and her bosses cynically milk the story for all it's worth, until the made-up ""John Doe"" philosophy starts a whole political movement.",1941,,122,"['romance', 'comedy', 'drama']",['US'],,tt0033891,7.6,13443.0,8.574,7.4
tm119274,The Outlaw,MOVIE,"Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl Rio's place after Billy is shot.",1943,,116,['western'],['US'],,,,,7.503,5.6
tm52327,The Front Page,MOVIE,"Hildy Johnson is an investigative reporter is looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career.",1931,,101,"['comedy', 'drama', 'thriller', 'crime', 'romance']",['US'],,tt0021890,6.2,17.0,5.403,6.6
tm5661,White Zombie,MOVIE,"In Haiti, a wealthy landowner convinces a sorcerer to lure the American woman he has fallen for away from her fiance, only to have the madman decide to keep the woman for himself, as a zombie.",1932,,67,['horror'],['US'],,tt0023694,6.3,10410.0,6.822,5.9
tm6408,Bird of Paradise,MOVIE,"When a young South Seas sailor falls overboard, the beautiful daughter of a Polynesian king dives in and saves his life. Thus begins the romance of Johnny and Luana. Though Luana is promised to another man, Johnny whisks her away, and for a brief time the lovers live very happily together. But, when a local volcano threatens their lives, Luana knows that she must sacrifice herself to the volcanic gods in order to save her island.",1932,,80,"['romance', 'drama']",['US'],,tt0022689,6.0,1298.0,3.164,5.0
tm140761,The Lost World,MOVIE,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,1925,,93,"['fantasy', 'thriller', 'scifi']",['US'],,tt0016039,7.0,5185.0,8.026,6.7
tm1200,49th Parallel,MOVIE,"In the early days of World War II, a German U-boat is sunk in Canada's Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, Philip and a soldier, Andy Brock.",1941,,123,"['thriller', 'war', 'drama']","['GB', 'CA']",,tt0033627,7.3,6716.0,8.475,7.0
tm138416,The Private Life of Henry VIII,MOVIE,"Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",1933,,90,"['history', 'comedy', 'drama', 'romance']",['GB'],,tt0024473,7.0,4297.0,5.268,6.4
