id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm106607,"It's the Easter Beagle, Charlie Brown",MOVIE,"Charlie Brown, Linus and the entire Peanuts gang are off on a lively Easter egg hunt. They suspect they've spotted the Easter Bunny … but the trouble is, he looks a lot like a certain beagle who's near and dear to Charlie Brown's heart. Is it truly the Easter Bunny, or is it just the irrepressible Snoopy playing a trick on the kids?",1974,G,25,"['family', 'animation', 'comedy']",['US'],,tt0071679,7.5,2917.0,6.487,6.6
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'family', 'music', 'animation', 'drama']",['US'],,tt0059026,8.3,36799.0,10.058,7.7
tm71152,"It's the Great Pumpkin, Charlie Brown",MOVIE,"This classic ""Peanuts"" tale focuses on the thumb-sucking, blanket-holding Linus, and his touching faith in the ""Great Pumpkin."" When Linus discovers that no one else believes in the creature, he sets out to prove that the Pumpkin's no myth—by spending the night alone in a pumpkin patch.",1966,G,25,"['animation', 'comedy', 'family']",['US'],,tt0060550,8.2,19302.0,8.908,7.5
tm2562,A Charlie Brown Thanksgiving,MOVIE,"Turkey, cranberries, pumpkin pie... and the Peanuts gang to share them with. This is going to be the greatest Thanksgiving ever! The fun begins when Peppermint Patty invites herself and her pals to Charlie Brown's house for a REALLY big turkey party. Good grief! All our hero can cook is cold cereal and maybe toast. Is Charlie Brown doomed? Not when Linus, Snoopy and Woodstock chip in to save the (Thanksgiving) Day. With such good friends, Charlie Brown - and all of us - have so many reasons to be thankful.",1973,G,25,"['comedy', 'family', 'animation']",['US'],,tt0068359,7.7,10698.0,9.825,7.3
tm125274,"Be My Valentine, Charlie Brown",MOVIE,"It's Valentine's Day again and Charlie Brown dreams the seemingly hopeless dream to receiving a valentine from anyone. All the while, the rest of the gang have their own trials whether it be Linus' struggle to get the biggest card he can for his beloved teacher, or Lucy trying to get some token from Schroeder while Snoopy and Woodstock are having fun spearing valentines on each other's nose.",1975,G,30,"['animation', 'family', 'comedy', 'romance']",['US'],,tt0072687,7.4,2640.0,6.215,7.0
ts5136,Fraggle Rock,SHOW,"The Fraggles are a fun-loving community of creatures who live in a subterranean fantasy land where they love to play, sing and dance their cares away, sharing their world with the tiny Doozers and the giant Gorgs. The series teaches empathy and tolerance and encourages children to understand people different from themselves.",1983,TV-G,26,"['scifi', 'fantasy', 'animation', 'comedy', 'family']",['US'],5.0,tt0346266,7.9,7726.0,14.087,7.4
tm115354,"Happy New Year, Charlie Brown",MOVIE,"It's the night of Peppermint Patty’s New Year’s Eve bash, but Charlie Brown has to write a book report about War and Peace. Hoping to join the fun for a special dance with the Little Red-Haired Girl, he tries desperately to finish in time.",1986,G,28,"['comedy', 'family', 'animation']",['US'],,tt0123099,7.2,1759.0,7.709,6.4
tm125504,"It's Christmastime Again, Charlie Brown",MOVIE,"As the holiday season rolls around and all the Peanuts gang are getting ready for it. Whether it be Charlie Brown struggling to raise money for his girlfriend or Sally and Peppermint Patty struggling to rehearse and memorize their one word lines for the Christmas pageant, these kids try to keep with the Christmas spirit while Snoopy has his mischief to do.",1992,G,22,"['animation', 'comedy', 'family']",['US'],,tt0104534,6.9,2651.0,5.818,6.0
ts31643,Long Way Round,SHOW,"In 2004 Ewan McGregor and Charley Boorman embarked on an epic challenge to bike 20,000-miles across 12 countries and 19 time zones in just 115 days. Watch as two friends ride around the world together and, against all the odds, realize their dream.",2004,TV-PG,45,"['documentation', 'european']",['GB'],1.0,tt0403778,8.6,13870.0,7.515,8.5
ts22073,Long Way Down,SHOW,"Three years after Long Way Round, Ewan McGregor and Charley Boorman set off on a 15,000-mile journey from the northernmost tip of Scotland to the southernmost tip of South Africa, mixing their love of motorcycles with the lure of far-flung roads.",2007,,48,"['documentation', 'european']",['GB'],2.0,tt0959858,8.6,1476.0,5.876,8.1
ts224087,Ted Lasso,SHOW,"Ted Lasso, an American football coach, moves to England when he’s hired to manage a soccer team—despite having no experience. With cynical players and a doubtful town, will he get them to see the Ted Lasso Way?",2020,TV-MA,36,"['comedy', 'drama', 'sport']",['US'],3.0,tt10986410,8.8,179025.0,61.146,8.6
ts237817,Tehran,SHOW,A Mossad agent embarks on her first mission as a computer hacker in her home town of Tehran.,2020,TV-MA,49,"['drama', 'action', 'crime', 'thriller']",['IL'],2.0,tt10577736,7.5,13810.0,48.913,7.5
ts89431,For All Mankind,SHOW,"Explore an aspirational world where NASA and the space program remained a priority and a focal point of our hopes and dreams as told through the lives of NASA astronauts, engineers, and their families.",2019,TV-MA,61,"['scifi', 'war', 'drama']",['US'],3.0,tt7772588,7.9,30412.0,39.355,7.6
ts222358,The Morning Show,SHOW,"A behind-the-scenes look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.",2019,TV-MA,57,"['drama', 'comedy']",['US'],2.0,tt7203552,8.3,94808.0,49.977,8.0
tm408218,Greyhound,MOVIE,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the “Black Pit” to the front lines of WW2. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",2020,PG-13,91,"['drama', 'action', 'history', 'war']","['CN', 'US', 'CA']",,tt6048922,7.0,92599.0,21.304,7.4
ts89568,Servant,SHOW,A Philadelphia couple are in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,2019,TV-MA,30,"['drama', 'horror', 'thriller']",['US'],3.0,tt8068860,7.5,32635.0,146.762,7.7
ts287697,Mythic Quest,SHOW,"Meet the team behind the biggest multiplayer video game of all time. But in a workplace focused on building worlds, molding heroes, and creating legends, the most hard-fought battles don’t occur in the game—they happen in the office.",2020,TV-MA,28,['comedy'],['US'],2.0,tt8879940,7.7,21256.0,26.612,7.4
ts82316,See,SHOW,"A virus has decimated humankind. Those who survived emerged blind. Centuries later when twins are born with the mythic ability to see, their father must protect his tribe against a threatened queen.",2019,TV-MA,55,"['scifi', 'action', 'drama']",['US'],2.0,tt7949218,7.6,71758.0,100.407,8.2
ts317072,Dickinson,SHOW,"Emily Dickinson. Poet. Daughter. Total rebel. In this coming-of-age story, Emily’s determined to become the world’s greatest poet.",2019,TV-14,31,"['drama', 'comedy', 'romance']",['US'],3.0,tt8518136,7.5,13193.0,118.452,8.7
ts89301,Defending Jacob,SHOW,A family’s lives are irreparably disrupted when the 14-year-old son is accused of murdering a fellow classmate.,2020,TV-MA,51,"['drama', 'thriller', 'crime']",['US'],1.0,tt2304589,7.9,49972.0,50.661,8.5
tm314230,Wolfwalkers,MOVIE,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",2020,PG,103,"['fantasy', 'family', 'animation']","['FR', 'IE', 'LU']",,tt5198068,8.0,30294.0,19.72,8.4
tm861785,On the Rocks,MOVIE,"Faced with sudden doubts about her marriage, a young New York mother teams up with her larger-than-life playboy father to tail her husband.",2020,R,96,"['comedy', 'drama', 'romance']",['US'],,tt9606374,6.4,31095.0,12.336,6.2
ts285617,Trying,SHOW,"All Nikki and Jason want is a baby—the one thing they can’t have. So they decide to adopt. With their dysfunctional friends, screwball families, and chaotic lives, will the adoption panel agree that they’re ready to be parents?",2020,TV-14,29,"['comedy', 'romance', 'drama']",['GB'],2.0,tt10982034,7.8,6480.0,8.115,7.8
ts81645,Truth Be Told,SHOW,"Descend into the world of true-crime podcasts with Poppy Parnell, who risks everything—including her life—to pursue truth and justice.",2019,TV-MA,45,"['drama', 'crime', 'thriller']",['US'],2.0,tt14770426,7.1,11685.0,21.347,7.5
