person_id,id,name,character,role
110613,ts21930,Kanichi Kurita,Lupin Sansei (voice),ACTOR
11377,ts21930,Daisuke Namikawa,Ishikawa Goemon (voice),ACTOR
452,ts21930,Miyuki Sawashiro,Mine Fujiko (voice),ACTOR
348,ts21930,Akio Otsuka,Daisuke Jigen (voice),ACTOR
22311,ts21930,Koichi Yamadera,Zenigata (voice),ACTOR
28172,ts25177,Toru Furuya,Amuro Ray (voice),ACTOR
97338,ts25177,Shuuichi Ikeda,Char Aznable (voice),ACTOR
7423,ts25177,Hirotaka Suzuoki,Bright Noah (voice),ACTOR
97330,ts25177,Fuyumi Shiraishi,Mirai Yashima (voice),ACTOR
463033,ts25177,Kiyonobu Suzuki,Hayato Kobayashi (voice),ACTOR
22309,ts25177,Toshio Furukawa,Kai Shiden (voice),ACTOR
97336,ts25177,Rumiko Ukai,Frau Bow (voice),ACTOR
97337,ts25177,Yō Inoue,Sayla Mass (voice),ACTOR
39712,ts25177,Shozo Iizuka,Ryu Jose (voice),ACTOR
97332,ts25177,Keiko Han,Lalah Sune (voice),ACTOR
94678,ts25177,Banjo Ginga,Gihren Zabi (voice),ACTOR
21513,ts25177,Mami Koyama,Kycilia Zabi (voice),ACTOR
61029,ts25177,Daisuke Gouri,Dozle Zabi (voice),ACTOR
61037,ts25177,Katsuji Mori,Garma Zabi (voice),ACTOR
26770,ts25177,Ichirō Nagai,Degwin Sodo Zabi (voice),ACTOR
97335,ts25177,Masashi Hirose,Ramba Ral (voice),ACTOR
97333,ts25177,Keiko Toda,Matilda Ajan (voice),ACTOR
95739,ts25177,Kaneto Shiozawa,M'Quve (voice),ACTOR
466832,ts25177,Sanae Takagi,Chiyo (voice),ACTOR
172948,ts25177,Yumi Nakatani,Hamon Crowley (voice),ACTOR
104375,ts25177,Yoshiyuki Tomino,,DIRECTOR
22304,ts35087,Masako Nozawa,Tetsuro Hoshino (voice),ACTOR
93575,ts35087,Masako Ikeda,Maetel (voice),ACTOR
95738,ts35087,Hitoshi Takagi,Narrator (voice),ACTOR
101140,ts35087,Kaneta Kimotsuki,Conductor (voice),ACTOR
39708,ts2846,Kazuyuki Sogabe,Ippei Mine,ACTOR
113536,ts2846,Seizō Katō,Professor Hamaguchi,ACTOR
114131,ts2846,Noriko Ohara,Hiyoshi Gou,ACTOR
89888,ts2846,Hiroshi Masuoka,Zuhl,ACTOR
508050,ts2846,Miyuki Ueda,Megumi Oka,ACTOR
203255,ts2846,Osamu Ichikawa,Prince Heinell,ACTOR
21514,ts2846,Tesshou Genda,Daijiro Gou,ACTOR
89888,ts2846,Hiroshi Masuoka,General Oka,ACTOR
85704,ts2846,Kenji Utsumi,General Do Bergan,ACTOR
26774,ts2846,Mikio Terashima,Emperor Zu Zanbajil,ACTOR
114131,ts2846,Noriko Ohara,Katherine,ACTOR
669052,ts2846,Yukinaga Shiraishi,Ken'ichi Gō,ACTOR
669051,ts2846,Ran Tokumaru,Zuhl,ACTOR
669050,ts2846,Ryusuke Shiomi,General Gurul,ACTOR
39712,ts2846,Shozo Iizuka,Jangal,ACTOR
377,ts2846,Tamio Ohki,Professor Sakunji,ACTOR
188196,ts2846,Daisuke Maki,,ACTOR
377,ts2846,Tamio Ohki,Duke Zaki,ACTOR
491443,ts2846,Yuu Mizushima,Kentaro Go / Ragooru (voices),ACTOR
94767,ts32935,Makio Inoue,Captain Harlock (voice),ACTOR
96400,ts32935,Akira Kamiya,Tadashi Daiba (voice),ACTOR
114131,ts32935,Noriko Ohara,Mime (voice),ACTOR
462345,ts32935,Chiyoko Kawashima,Kay Yuki / Mayu Oyama (voice),ACTOR
219194,ts32935,Haruko Kitahama,Lafresia (voice),ACTOR
89871,ts32935,Jôji Yanami,Dr. Zero / prime minister (voice),ACTOR
491444,ts32935,Hiroshi Ôtake,Yattran (voice),ACTOR
132748,ts32935,Kenichi Ogata,engr. Maji / Android (voice),ACTOR
174053,ts32935,Noriko Tsukase,Masu (voice),ACTOR
107483,ts32935,Akiko Tsuboi,Cleo (voice),ACTOR
172948,ts32935,Yumi Nakatani,Dines (voice),ACTOR
85701,ts32935,Hidekatsu Shibata,Mitsuru Kiruta (voice),ACTOR
114132,ts32935,Rihoko Yoshida,Emiralda (voice),ACTOR
21513,ts32935,Mami Koyama,Laura (voice),ACTOR
121741,ts32935,Yonehiko Kitagawa,Prof. Daiba (voice),ACTOR
466728,ts32935,Mieko Nobusawa,Josibel (voice),ACTOR
522674,ts32935,Nana Yamaguchi,Hiroko Daiba / Shizuka Namino (voice),ACTOR
495615,ts32935,Keaton Yamada,Tochiro Oyama (voice),ACTOR
42383,ts32935,Rintaro,,DIRECTOR
21513,ts32687,Mami Koyama,Nils (voice),ACTOR
107154,ts32687,Masane Tsukayama,Nils' Father (voice),ACTOR
89871,ts32687,Jôji Yanami,Ten (voice),ACTOR
93575,ts32687,Masako Ikeda,Nils' Mother (voice),ACTOR
121264,ts32687,Tadashi Yamazaki,Carrot (voice),ACTOR
98479,ts32687,Hideyuki Tanaka,Gunnar (voice),ACTOR
39710,ts32687,Yoshito Yasuhara,Morton (voice),ACTOR
89896,ts32687,Keiko Yokozawa,,ACTOR
107462,ts32687,Kei Tomiyama,,ACTOR
26773,ts32687,Kōhei Miyauchi,Rosenbaum (voice),ACTOR
121262,ts32687,Shinobu Adachi,Gacho (voice),ACTOR
121263,ts32687,Tetsuo Mizutori,Ondori (voice),ACTOR
42381,ts32687,Shigeru Chiba,Gusta (voice),ACTOR
121265,ts32687,Minori Matsushima,Ingrid (voice),ACTOR
95733,ts32687,Kumiko Takizawa,Dunfuin (voice),ACTOR
121266,ts32687,Nobuko Terajima,Captain Akka (voice),ACTOR
98370,ts4889,Taiki Matsuno,Little Prince (voice),ACTOR
