person_id,id,name,character,role
200147,tm85393,Maximilian Schreck,Count Orlok,ACTOR
72938,tm85393,Gustav von Wangenheim,Hutter,ACTOR
154265,tm85393,Greta Schröder,"Ellen, Hutter's Wife",ACTOR
200148,tm85393,Georg H. Schnell,"Harding, a Ship-Owner",ACTOR
200149,tm85393,Ruth Landshoff,"Ruth, Harding's Sister",ACTOR
200151,tm85393,Gustav Botz,"Professor Sievers, the Town Doctor",ACTOR
45689,tm85393,Alexander Granach,"Knock, a Real Estate Agent",ACTOR
200150,tm85393,John Gottowt,"Professor Bulwer, a Paracelsian",ACTOR
182714,tm85393,Max Nemetz,Captain,ACTOR
182715,tm85393,Wolfgang Heinz,1st Sailor,ACTOR
182716,tm85393,Albert Venohr,2nd Sailor,ACTOR
182720,tm85393,Eric van Viele,Sailor (uncredited),ACTOR
155158,tm85393,Karl Etlinger,Sailor / Inspector at the Quay (uncredited),ACTOR
182717,tm85393,Guido Herzfeld,Host (uncredited),ACTOR
71305,tm85393,Hans Lanser-Rudolf,A Magistrate (uncredited),ACTOR
211045,tm85393,Loni Nest,Child at Window (uncredited),ACTOR
182721,tm85393,Fanny Schreck,Hospital Nurse (uncredited),ACTOR
182718,tm85393,Hardy von Francois,Doctor in the Hospital (uncredited),ACTOR
182719,tm85393,Heinrich Witte,Sailor / Warden in the Madhouse (uncredited),ACTOR
132055,tm85393,F.W. Murnau,,DIRECTOR
129611,tm19424,Tom Neal,Al Roberts,ACTOR
129610,tm19424,Ann Savage,Vera,ACTOR
129612,tm19424,Claudia Drake,Sue Harvey,ACTOR
72430,tm19424,Edmund MacDonald,Charles Haskell Jr.,ACTOR
26196,tm19424,Tim Ryan,Diner Owner,ACTOR
57722,tm19424,Esther Howard,Holly,ACTOR
129614,tm19424,Pat Gleason,Joe,ACTOR
102596,tm19424,Edgar G. Ulmer,,DIRECTOR
25652,tm88001,Edward G. Robinson,Federal Agent Wilson,ACTOR
74181,tm88001,Loretta Young,Mary Longstreet,ACTOR
15246,tm88001,Orson Welles,Charles Rankin,ACTOR
45073,tm88001,Philip Merivale,Judge Adam Longstreet,ACTOR
74183,tm88001,Richard Long,Noah Longstreet,ACTOR
74182,tm88001,Konstantin Shayne,Konrad Meinike,ACTOR
74184,tm88001,Byron Keith,Dr. Jeffrey Lawrence,ACTOR
62828,tm88001,Billy House,Mr. Potter,ACTOR
15620,tm88001,Martha Wentworth,Sara,ACTOR
15259,tm88001,Erskine Sanford,Party Guest (uncredited),ACTOR
20041,tm88001,Theodore Gottlieb,Fairbright (uncredited),ACTOR
1032744,tm88001,David Bond,Student (uncredited),ACTOR
27252,tm88001,Neal Dodd,Minister (uncredited),ACTOR
21366,tm88001,Ethan Laidlaw,"Todd, Customer in Potter's Store (uncredited)",ACTOR
771189,tm88001,Isabel O'Madigan,Mrs. Lawrence (uncredited),ACTOR
106285,tm88001,Johnny Sands,Jogging Student in Woods (uncredited),ACTOR
108231,tm88001,Pietro Sosso,Mr. Peabody (uncredited),ACTOR
15246,tm88001,Orson Welles,,DIRECTOR
73323,tm141715,Lon Chaney,"Erik, The Phantom",ACTOR
73324,tm141715,Mary Philbin,Christine Daaé,ACTOR
73325,tm141715,Norman Kerry,Vicomte Raoul de Chagny,ACTOR
73326,tm141715,Arthur Edmund Carewe,Ledoux,ACTOR
50372,tm141715,Gibson Gowland,Simon Buquet,ACTOR
73327,tm141715,John St. Polis,Comte Philip de Chagny,ACTOR
73328,tm141715,Snitz Edwards,Florine Papillon,ACTOR
73329,tm141715,Virginia Pearson,Carlotta,ACTOR
586057,tm141715,Olive Ann Alcorn,La Sorelli (uncredited),ACTOR
608516,tm141715,Betty Van Allen,Ballerina (uncredited),ACTOR
1246079,tm141715,Betty Arthur,Ballet Dancer (uncredited),ACTOR
576234,tm141715,Joseph Belmont,Stage Manager (uncredited),ACTOR
1246170,tm141715,Alexander Bevani,Mephistopheles (uncredited),ACTOR
820785,tm141715,Earl Gordon Bostwick,Minor Role (uncredited),ACTOR
220125,tm141715,Ethel Broadhurst,Frightened Ballerina (uncredited),ACTOR
153727,tm141715,Edward Cecil,Faust (uncredited),ACTOR
106313,tm141715,Ruth Clifford,Ballerina (uncredited),ACTOR
21763,tm141715,Chester Conklin,Orderly (uncredited),ACTOR
1246078,tm141715,Roy Coulson,The Jester (uncredited),ACTOR
581347,tm141715,Bruce Covington,M. Moncharmin (uncredited),ACTOR
206007,tm141715,Ward Crane,Count Ruboff (uncredited),ACTOR
37133,tm141715,George Davis,Guard at Christine's Door (uncredited),ACTOR
1246070,tm141715,Madame Fiorenza,Mme. Giry - Keeper of the Box (uncredited),ACTOR
1246086,tm141715,Alan George,Undetermined Secondary Role (uncredited),ACTOR
206014,tm141715,Cesare Gravina,Manager (uncredited),ACTOR
156107,tm141715,William Humphrey,M. Debienne (uncredited),ACTOR
73330,tm141715,Carla Laemmle,Prima Ballerina (uncredited),ACTOR
586397,tm141715,Grace Marvin,Martha (uncredited),ACTOR
50963,tm141715,John Miljan,Valentin (uncredited),ACTOR
1246104,tm141715,Edith Murgatroyd,Mama Valerius (uncredited),ACTOR
156111,tm141715,Templar Saxe,Bit Role in Faust (uncredited),ACTOR
574106,tm141715,Bernard Siegel,Joseph Buquet (uncredited),ACTOR
1246106,tm141715,William Tyroler,Director of Opera Orchestra (uncredited),ACTOR
584002,tm141715,Vola Vale,Ballerina / Christines Maid (uncredited),ACTOR
14785,tm141715,Ellinor Vanderveer,Operagoer (uncredited),ACTOR
790582,tm141715,Anton Vaverka,Prompter (uncredited),ACTOR
1246126,tm141715,Josephine Haynes Webster,Ballerina (uncredited),ACTOR
584431,tm141715,George B. Williams,M. Ricard (uncredited),ACTOR
557408,tm141715,Ed Wolff,Mob Leader at Finale (uncredited),ACTOR
73331,tm141715,Rupert Julian,,DIRECTOR
25652,tm18385,Edward G. Robinson,Christopher Cross,ACTOR
56295,tm18385,Joan Bennett,Katharine 'Kitty' March,ACTOR
55257,tm18385,Dan Duryea,Johnny Prince,ACTOR
40707,tm18385,Margaret Lindsay,Millie Ray,ACTOR
71916,tm18385,Jess Barker,David Janeway,ACTOR
58704,tm18385,Rosalind Ivan,Adele Cross,ACTOR
71917,tm18385,Charles Kemper,Patch-eye Higgins,ACTOR
71918,tm18385,Anita Sharp-Bolster,Mrs. Michaels,ACTOR
47762,tm18385,Samuel S. Hinds,Charles Pringle,ACTOR
66594,tm18385,Vladimir Sokoloff,Pop LeJon,ACTOR
27292,tm18385,Arthur Loft,Dellarowe,ACTOR
47773,tm18385,Russell Hicks,J.J. Hogarth,ACTOR
71890,tm18385,Richard Abbott,Critic at Gallery (uncredited),ACTOR
71919,tm18385,Rodney Bell,Barney (uncredited),ACTOR
62987,tm18385,Richard Cramer,Principal Keeper (uncredited),ACTOR
47796,tm18385,Dick Curtis,Detective (uncredited),ACTOR
71920,tm18385,Tom Daly,Penny - Bartender (uncredited),ACTOR
47770,tm18385,Edgar Dearing,Policeman (uncredited),ACTOR
27249,tm18385,Joe Devlin,"Joe Williams, Morning World (uncredited)",ACTOR
71921,tm18385,Tom Dillon,Policeman (uncredited),ACTOR
71922,tm18385,William Hall,Policeman (uncredited),ACTOR
71923,tm18385,Robert Malcolm,Policeman (uncredited),ACTOR
27252,tm18385,Neal Dodd,Priest (uncredited),ACTOR
28512,tm18385,Ralph Dunn,First Policeman in Park (uncredited),ACTOR
71924,tm18385,Fred Essler,Marchetti (uncredited),ACTOR
60615,tm18385,Lance Fuller,Minor Role (uncredited),ACTOR
27264,tm18385,Gus Glassmire,Employee (uncredited),ACTOR
71925,tm18385,Sherry Hall,Employee (uncredited),ACTOR
20176,tm18385,Milton Kibbee,Employee (uncredited),ACTOR
49082,tm18385,Ralph Littlefield,Employee (uncredited),ACTOR
570700,tm18385,Howard M. Mitchell,Employee (uncredited),ACTOR
29114,tm18385,Arthur Gould-Porter,Critic at Gallery (uncredited),ACTOR
47825,tm18385,Boyd Irwin,Critic at Gallery (uncredited),ACTOR
13384,tm18385,Chuck Hamilton,Chauffeur (uncredited),ACTOR
41679,tm18385,Herbert Heywood,Bellboy (uncredited),ACTOR
56559,tm18385,Thomas E. Jackson,Chief of Detectives (uncredited),ACTOR
31160,tm18385,Edward Keane,Detective (uncredited),ACTOR
69526,tm18385,Dick Wessel,Detective (uncredited),ACTOR
71926,tm18385,Cy Kendall,Nick (uncredited),ACTOR
70369,tm18385,Fritz Leiber,Evangelist (uncredited),ACTOR
27291,tm18385,George Lloyd,"Vince Conway, Ledger (uncredited)",ACTOR
71927,tm18385,Lou Lubin,Tiny - Bartender (uncredited),ACTOR
71928,tm18385,George Meader,Holliday (uncredited),ACTOR
71929,tm18385,Horace Murphy,Milkman (uncredited),ACTOR
33999,tm18385,Clarence Muse,Ben - Bank Janitor (uncredited),ACTOR
13406,tm18385,Lee Phelps,First Policeman in Hogarth's Office (uncredited),ACTOR
22013,tm18385,Rose Plumer,Knitting Woman in Lobby (uncredited),ACTOR
34188,tm18385,Constance Purdy,Matron (uncredited),ACTOR
60618,tm18385,Beatrice Roberts,Secretary (uncredited),ACTOR
14770,tm18385,Dewey Robinson,Derelict Saving Cross (uncredited),ACTOR
50381,tm18385,Syd Saylor,"Tom Crocker, Evening Globe (uncredited)",ACTOR
71402,tm18385,Wallace Scott,Drunk (uncredited),ACTOR
33007,tm18385,Emmett Vogan,Prosecutor (uncredited),ACTOR
71930,tm18385,Matt Willis,Policeman in Hogarth's Office (uncredited),ACTOR
20172,tm18385,Charles C. Wilson,Watchman (uncredited),ACTOR
49067,tm18385,Will Wright,Globe Loan Office Manager (uncredited),ACTOR
71931,tm18385,Amzie Strickland,Woman (uncredited),ACTOR
71932,tm18385,John Barton,Hurdy-Gurdy Man (uncredited),ACTOR
20266,tm18385,Fritz Lang,,DIRECTOR
24127,tm59314,Edmond O'Brien,Frank Bigelow,ACTOR
98188,tm59314,Pamela Britton,Paula Gibson,ACTOR
53590,tm59314,Luther Adler,Majak,ACTOR
90870,tm59314,Beverly Garland,Miss Foster,ACTOR
129166,tm59314,Lynn Baggett,Mrs. Philips,ACTOR
57469,tm59314,William Ching,Halliday,ACTOR
565931,tm59314,Henry Hart,Stanley Philips,ACTOR
55104,tm59314,Neville Brand,Chester,ACTOR
113872,tm59314,Laurette Luez,Marla Rakubian,ACTOR
209925,tm59314,Jess Kirkpatrick,Sam,ACTOR
553275,tm59314,Cay Forester,Sue,ACTOR
27277,tm59314,Frank Jaquet,Dr. Matson,ACTOR
22257,tm59314,Lawrence Dobkin,Dr. Schaefer,ACTOR
534057,tm59314,Frank Gerstle,Dr. MacDonald,ACTOR
106289,tm59314,Carol Hughes,Kitty,ACTOR
55131,tm59314,Michael Ross,Dave,ACTOR
865840,tm59314,Donna Sanborn,Nurse,ACTOR
49085,tm59314,Harold Miller,Man in Hallway,ACTOR
33003,tm59314,Sam Harris,Man at Fisherman Table,ACTOR
90201,tm59314,George Lynn,Homicide Detective (uncredited),ACTOR
137354,tm59314,Phillip Pine,Angelo (uncredited),ACTOR
7755,tm59314,Bill Baldwin,,ACTOR
836229,tm59314,Teddy Buckner,,ACTOR
37829,tm59314,Frank Cady,,ACTOR
57645,tm59314,Roy Engel,,ACTOR
27257,tm59314,Douglas Evans,,ACTOR
465083,tm59314,Virginia Lee,,ACTOR
210907,tm59314,Peter Leeds,,ACTOR
56740,tm59314,Hugh O'Brian,,ACTOR
33391,tm59314,Jerry Paris,,ACTOR
44081,tm59314,Paul Picerni,,ACTOR
137466,tm59314,Lynne Roberts,,ACTOR
64299,tm59314,Ivan Triesault,,ACTOR
569166,tm59314,Beverly Warren,,ACTOR
61150,tm59314,Rudolph Maté,,DIRECTOR
50957,tm87972,Barbara Stanwyck,Martha Ivers,ACTOR
44071,tm87972,Van Heflin,Sam Masterson,ACTOR
103311,tm87972,Lizabeth Scott,Antonia 'Toni' Marachek,ACTOR
21481,tm87972,Kirk Douglas,Walter O'Neil,ACTOR
23696,tm87972,Judith Anderson,Mrs. Ivers,ACTOR
29998,tm87972,Roman Bohnen,Mr. O'Neil,ACTOR
18612,tm87972,Darryl Hickman,Young Sam,ACTOR
128930,tm87972,Janis Wilson,Young Martha,ACTOR
