id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts25177,Mobile Suit Gundam,SHOW,"Mobile Suit Gundam is a televised anime series, produced by Sunrise. Created and directed by Yoshiyuki Tomino, it premiered in Japan on Nagoya Broadcasting Network on April 7, 1979, and lasted until January 26, 1980, spanning 43 episodes. It was the very first Gundam series, which has subsequently been adapted into numerous sequels and spin-offs.

In 1981, the series was re-edited for theatrical release and split into three movies. The characters were designed by Yoshikazu Yasuhiko, and Kunio Okawara was responsible for the mechanical designs, including the eponymous giant robot, the RX-78-2 Gundam. The first movie was released on February 22, 1981.",1979,TV-Y7,25,"['scifi', 'war', 'animation', 'action', 'drama', 'fantasy']",['JP'],1.0,tt0159172,7.9,2281.0,41.25,8.1
ts20740,Dragon Ball Z,SHOW,"Dragon Ball Z is a Japanese animated television series produced by Toei Animation. Dragon Ball Z is the sequel to the Dragon Ball anime and adapts the last 26 volumes of the original 42 volume Dragon Ball manga series created by Akira Toriyama The series Debut in 1988-1995 on Weekly Shounen Jump. Dragon Ball Z depicts the continuing adventures of Goku and his companions to defend against an assortment of villains which seek to destroy or rule the Earth.

The anime first aired in Japan from April 25, 1989, to January 31, 1996, and was dubbed in several territories around the world, including the United States, Europe, and in Latin America.",1989,TV-PG,24,"['scifi', 'action', 'animation', 'comedy', 'fantasy', 'thriller', 'drama']",['JP'],16.0,tt0121220,8.8,125554.0,389.99,8.2
tm44887,Akira,MOVIE,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,1988,R,124,"['scifi', 'action', 'drama', 'animation', 'fantasy', 'thriller']",['JP'],,tt0094625,8.0,181098.0,45.959,8.0
ts28221,Robotech,SHOW,"Robotech is an 85-episode adaptation of three different anime television series made between 1982-1984 in Japan; the adaptation was aired in 1985. Within the combined and edited story, Robotechnology refers to the scientific advances discovered in an alien starship that crashed on a South Pacific island. With this technology, Earth developed giant robotic machines or mecha to fight three successive extraterrestrial invasions.",1985,,24,"['scifi', 'animation', 'action']",['US'],3.0,tt0088595,8.5,3630.0,16.833,8.7
ts20738,Ranma ½,SHOW,"Saotome Ranma, a teenage martial artist, and his father Genma travel to the 'cursed training ground' of Jusenkyo in China. There, despite the warnings of the Chinese guard, they fall into the cursed springs. From now on, whenever Ranma is doused in cold water, he turns in to a girl, and a cute, well-built red-head at that. Hot water changes him back into a man again, but only until the next time. To make matters worse, his father engages him to Tendo Akane, a girl who hates boys.",1989,TV-14,24,"['scifi', 'action', 'romance', 'animation', 'comedy', 'fantasy']",['JP'],7.0,tt0096686,8.2,1508.0,65.102,8.7
ts57405,Record of Lodoss War,SHOW,"Born in battle, baptized in fire, it's kingdoms have been ravaged by war for thousands of years.  Now, an evil stirs, an ancient goddess of destruction awakened by an evil wizard.  A party of six is forged to defeat this threat, or die in the attempt.  Join Parn, the young fighter, as he leads his warriors into the heart of a land where dragons rule and evil holds sway over the earth.  Six swords are now drawn against this darkness.  The war for Lodoss has begun!",1990,TV-14,24,"['action', 'scifi', 'animation', 'fantasy', 'romance']",['JP'],1.0,tt0500109,7.6,2540.0,5.608,7.8
tm139269,Little Nemo: Adventures in Slumberland,MOVIE,"A little boy whose dreams transcend reality is sucked into his own fantasy, which is everything he has dreamed of, until he unleashes an old secret that may not only destroy this perfect dream world but reality itself.",1989,G,95,"['fantasy', 'animation', 'comedy', 'family', 'drama']","['JP', 'US']",,tt0104740,7.1,7381.0,10.727,6.7
ts12978,Space Cobra,SHOW,"Cobra lived an adventurous life until his enemies began to hunt him down. He surgically altered his face and erased his own memory in order to hide from his foes and lead a normal life. Eventually, he regains his memories and re-unites with his old partner Lady Armaroid and his ship Tortuga. Cobra travels the galaxy, fighting the outlaw Pirate Guild, but also fleeing the law-enforcing Milky Way Patrol.",1982,,30,"['scifi', 'action', 'animation']",['JP'],1.0,tt0235138,8.0,215.0,24.972,8.2
tm145027,Dragon Ball Z: Dead Zone,MOVIE,"In order to wish for immortality and avenge his father, Garlic Jr. collects the dragon balls, kidnapping Goku's son Gohan in the process. Goku, Kami, Piccolo, and Krillin unite to rescue Gohan and save the world from being sucked into a dead zone.",1989,PG,41,"['fantasy', 'animation', 'action', 'scifi']",['JP'],,tt0142235,7.0,6059.0,39.923,6.6
ts57522,God Mazinger,SHOW,"God Mazinger, also known as Majin Densetsu is an anime, manga and novel series created by manga artist Go Nagai. The anime aired on Japanese TV from April 15, 1984 to September 30, 1984 in the network Nippon Television with 23 episodes. 

In the series a young sports enthusiast, Yamato Hino hears voices calling out to him and during a thunderstorm, and he is brought to a parallel world. This world is the Kingdom Mu, under attack by the evil Dorado of the Empire of Dinosaurs. Yamato was summoned from the prayers of queen Aila Mu to pilot a statue known as the God Mazinger. Joining the Mu army's ranks, Yamato fights against Dorado and his army.",1984,,29,"['scifi', 'action', 'fantasy', 'animation']",['JP'],1.0,tt0421351,7.7,35.0,2.526,
ts34435,Cowboy Bebop,SHOW,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward.",1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1.0,tt0213338,8.9,112887.0,34.769,8.5
ts21343,Sailor Moon,SHOW,"One day, Usagi Tsukino, clumsy 2nd-year middle school student (8th grader), stumbles upon a talking cat named Luna. Luna tells her that she is destined to be Sailor Moon, ""champion of love and justice"", and she must search for the fabled Moon Princess. Usagi finds friends that turn out to be destined senshi as well, and together they fight to save the world from the certain doom brought upon by the Dark Kingdom (Queen Beryl, the generals, Metallia).",1992,TV-PG,25,"['scifi', 'action', 'drama', 'animation', 'fantasy', 'romance', 'comedy']",['JP'],5.0,tt0103369,7.8,6048.0,75.826,8.3
ts724,FLCL,SHOW,"A 12-year old boy named Naota one day meets a strange woman, riding a Vespa and wielding a big guitar. As soon as she appears, mysterious things start happening.",2000,TV-MA,23,"['scifi', 'comedy', 'drama', 'fantasy', 'animation', 'action']","['JP', 'US']",3.0,tt0279077,8.1,17209.0,24.251,8.1
ts28078,Yu Yu Hakusho,SHOW,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World was caught by surprise that he would sacrifice himself. Yusuke soon finds out he wasn't supposed to die and has a chance for resurrection and bringing his body back to life. After being resurrected, Yusuke becomes a Spirit Detective, along with his comrades, and one adventure after another happens, whether it be an investigation or a fighting tournament.",1992,TV-14,23,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'animation']",['JP'],5.0,tt0185133,8.4,13046.0,33.701,8.8
