id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm155702,The Wizard of Oz,MOVIE,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",1939,G,102,"['fantasy', 'family']",['US'],,tt0032138,8.1,389774.0,41.442,7.6
tm83648,Citizen Kane,MOVIE,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",1941,PG,119,['drama'],['US'],,tt0033467,8.3,433804.0,14.383,8.0
tm77588,Casablanca,MOVIE,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",1942,PG,102,"['drama', 'romance', 'war']",['US'],,tt0034583,8.5,558849.0,20.087,8.2
tm82363,The Big Sleep,MOVIE,"Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love.",1946,,116,"['thriller', 'crime']",['US'],,tt0038355,7.9,84494.0,12.911,7.7
tm84701,The Maltese Falcon,MOVIE,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",1941,,100,"['thriller', 'romance', 'crime']",['US'],,tt0033870,8.0,156603.0,12.788,7.8
tm156463,Gone with the Wind,MOVIE,"The spoiled daughter of a well-to-do plantation owner is forced to use every means at her disposal to claw her way out of poverty, following Maj. Gen. William Sherman's destructive ""March to the Sea,” during the American Civil War.",1939,G,233,"['war', 'romance', 'drama', 'history']",['US'],,tt0031381,8.2,309856.0,24.092,8.0
ts225761,Tom and Jerry,SHOW,"Tom and Jerry is an American animated franchise and series of comedy short films created in 1940 by William Hanna and Joseph Barbera. Best known for its 161 theatrical short films by Metro-Goldwyn-Mayer, the series centers on a friendship/rivalry (a love-hate relationship) between the title characters Tom, a cat, and Jerry, a mouse. Many shorts also feature several recurring characters.",1940,,8,"['animation', 'comedy', 'family', 'action']",['US'],16.0,tt12158994,7.7,853.0,1.4,10.0
tm5094,The Treasure of the Sierra Madre,MOVIE,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",1948,,126,"['western', 'drama']",['US'],,tt0040897,8.2,122971.0,14.006,8.0
tm54459,The Asphalt Jungle,MOVIE,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",1950,,112,"['drama', 'thriller', 'crime']",['US'],,tt0042208,7.8,26557.0,9.809,7.5
tm81960,The Philadelphia Story,MOVIE,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself. Remade as a musical in 1956 as High Society.",1940,,113,"['romance', 'comedy']",['US'],,tt0032904,7.9,68337.0,11.587,7.7
tm58806,Rashomon,MOVIE,"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.",1950,,88,"['drama', 'crime']",['JP'],,tt0042876,8.2,165278.0,11.33,8.2
tm4707,The Red Shoes,MOVIE,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.",1948,,133,"['romance', 'drama', 'music']",['GB'],,tt0040725,8.1,34367.0,9.378,8.1
tm160494,Stagecoach,MOVIE,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",1939,,96,"['western', 'drama']",['US'],,tt0031971,7.8,48149.0,11.786,7.7
tm47834,M,MOVIE,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",1931,PG-13,117,"['thriller', 'european', 'crime']",['DE'],,tt0022100,8.3,155068.0,9.165,8.1
tm3248,Freaks,MOVIE,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932,,62,"['drama', 'horror']",['US'],,tt0022913,7.9,45726.0,8.294,7.8
tm72527,The Great Dictator,MOVIE,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940,,125,"['comedy', 'war', 'drama']",['US'],,tt0032553,8.4,219871.0,15.335,8.4
tm2346,The 39 Steps,MOVIE,"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed -- with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as ""The 39 Steps.""",1935,,86,"['thriller', 'crime']",['GB'],,tt0026029,7.6,56259.0,10.794,7.4
tm8232,The Lady Vanishes,MOVIE,"On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly.",1938,,96,['thriller'],['GB'],,tt0030341,7.8,51847.0,9.64,7.5
tm5608,Bicycle Thieves,MOVIE,A working man's livelihood is threatened when someone steals his bicycle.,1948,,88,"['drama', 'european']",['IT'],,tt0040522,8.3,160558.0,12.024,8.3
tm3293,The Passion of Joan of Arc,MOVIE,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",1928,,110,"['drama', 'european', 'history']",['FR'],,tt0019254,8.2,53460.0,11.213,8.1
tm52402,City Lights,MOVIE,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",1931,G,87,"['romance', 'drama', 'comedy']",['US'],,tt0021749,8.5,181367.0,13.647,8.4
tm87737,Häxan,MOVIE,"Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous.",1922,,105,"['horror', 'european', 'documentation', 'fantasy', 'history']",['SE'],,tt0013257,7.6,14108.0,6.312,7.6
tm137798,King Kong,MOVIE,"Adventurous filmmaker, Carl Denham, sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to displayed on Broadway as Kong, the eighth wonder of the world.",1933,,104,"['fantasy', 'horror', 'scifi']",['US'],,tt0024216,7.9,84414.0,17.542,7.6
tm88256,Black Narcissus,MOVIE,"A group of Anglican nuns, led by Sister Clodagh, are sent to a mountain in the Himalayas. The climate in the region is hostile and the nuns are housed in an odd old palace. They work to establish a school and a hospital, but slowly their focus shifts. Sister Ruth falls for a government worker, Mr. Dean, and begins to question her vow of celibacy. As Sister Ruth obsesses over Mr. Dean, Sister Clodagh becomes immersed in her own memories of love.",1947,,101,['drama'],['GB'],,tt0039192,7.8,24474.0,6.685,7.7
tm75346,To Be or Not to Be,MOVIE,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",1942,G,99,"['comedy', 'european', 'romance', 'war']",['US'],,tt0035446,8.2,35911.0,10.077,7.9
tm88077,Great Expectations,MOVIE,"In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.",1946,,118,"['romance', 'drama']",['GB'],,tt0038574,7.8,24201.0,10.109,7.2
tm118404,Modern Times,MOVIE,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,G,87,"['drama', 'comedy', 'romance', 'family']",['US'],,tt0027977,8.5,236933.0,14.155,8.3
tm117703,The Life and Death of Colonel Blimp,MOVIE,"General Candy, who's overseeing an English squad in 1943, is a veteran leader who doesn't have the respect of the men he's training and is considered out-of-touch with what's needed to win the war. But it wasn't always this way. Flashing back to his early career in the Boer War and World War I, we see a dashing young officer whose life has been shaped by three different women, and by a lasting friendship with a German soldier.",1943,,163,"['drama', 'romance', 'war']",['GB'],,tt0036112,8.1,14656.0,7.313,7.6
tm15621,Brief Encounter,MOVIE,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.",1945,,86,"['drama', 'romance']",['GB'],,tt0037558,8.0,39596.0,8.767,7.8
tm2234,42nd Street,MOVIE,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",1933,,89,"['comedy', 'romance', 'drama']",['US'],,tt0024034,7.3,11812.0,7.811,6.9
tm72662,"Now, Voyager",MOVIE,A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.,1942,,117,"['drama', 'romance']",['US'],,tt0035140,7.9,16796.0,7.066,7.4
tm45031,The Public Enemy,MOVIE,"Two young Chicago hoodlums, Tom Powers and Matt Doyle, rise up from their poverty-stricken slum life to become petty thieves, bootleggers and cold-blooded killers. But with street notoriety and newfound wealth, the duo feels the heat from the cops and rival gangsters both. Despite his ruthless criminal reputation, Tom tries to remain connected to his family, however, gang warfare and the need for revenge eventually pull him away.",1931,,84,"['crime', 'drama']",['US'],,tt0022286,7.6,20853.0,9.219,7.3
tm2838,The Most Dangerous Game,MOVIE,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",1932,,63,"['thriller', 'horror', 'action']",['US'],,tt0023238,7.1,12203.0,8.828,7.0
tm3805,Vampyr,MOVIE,"Traveler Allan Gray arrives in the village of Courtempierre and takes lodgings in a small inn. Gray has a great interest in the supernatural, particularly vampires. He's barely settled in when he feels a sinister force descending upon him. In the night an old man enters his room to tell him 'she must not die'. One of the old man's daughters, Leone, has been bitten by a vampire. In order to break the curse, Gray and Leone's sister Gisele must find the original vampire and drive a stake through her heart.",1932,,74,"['horror', 'fantasy', 'european']","['FR', 'DE']",,tt0023649,7.4,17854.0,7.782,7.5
tm61524,Late Spring,MOVIE,"Noriko is perfectly happy living at home with her widowed father, Shukichi, and has no plans to marry -- that is, until her aunt Masa convinces Shukichi that unless he marries off his 27-year-old daughter soon, she will likely remain alone for the rest of her life. When Noriko resists Masa's matchmaking, Shukichi is forced to deceive his daughter and sacrifice his own happiness to do what he believes is right.",1949,,110,['drama'],['JP'],,tt0041154,8.2,16687.0,8.559,8.1
