person_id,id,name,character,role
6191,tm84863,Henry Fonda,Wyatt Earp,ACTOR
138131,tm84863,Linda Darnell,Chihuahua,ACTOR
56585,tm84863,Victor Mature,Dr. John 'Doc' Holliday,ACTOR
214059,tm84863,Cathy Downs,Clementine Carter,ACTOR
25632,tm84863,Walter Brennan,Old Man Clanton,ACTOR
71549,tm84863,Tim Holt,Virgil Earp,ACTOR
13323,tm84863,Ward Bond,Morgan Earp,ACTOR
36595,tm84863,Alan Mowbray,Granville Thorndyke,ACTOR
49060,tm84863,John Ireland,Billy Clanton,ACTOR
17911,tm84863,Roy Roberts,Mayor,ACTOR
13336,tm84863,Jane Darwell,Kate Nelson,ACTOR
35554,tm84863,Grant Withers,Ike Clanton,ACTOR
58854,tm84863,J. Farrell MacDonald,Mac the barman,ACTOR
27326,tm84863,Russell Simpson,John Simpson,ACTOR
59283,tm84863,Robert Adler,Stagecoach Driver (uncredited),ACTOR
137380,tm84863,C.E. Anderson,Townsman (uncredited),ACTOR
60612,tm84863,Don Barclay,Opera House Owner (uncredited),ACTOR
62982,tm84863,Hank Bell,Opera House Patron (uncredited),ACTOR
15265,tm84863,Danny Borzage,Accordionist (uncredited),ACTOR
106313,tm84863,Ruth Clifford,Opera House Patron (uncredited),ACTOR
60254,tm84863,Frank Conlan,Pianist (uncredited),ACTOR
14796,tm84863,Tex Cooper,Townsman (uncredited),ACTOR
22003,tm84863,Jack Curtis,Bartender (uncredited),ACTOR
152108,tm84863,William B. Davidson,Saloon Owner (uncredited),ACTOR
63040,tm84863,James Dime,Vaquero (uncredited),ACTOR
71562,tm84863,Tex Driscoll,Townsman (uncredited),ACTOR
82972,tm84863,Frank Ellis,Barfly (uncredited),ACTOR
22006,tm84863,Francis Ford,Dad - Old Soldier (uncredited),ACTOR
154981,tm84863,Earle Foxe,Gambler (uncredited),ACTOR
565525,tm84863,Don Garner,James Earp (uncredited),ACTOR
41711,tm84863,Ben Hall,Barber (uncredited),ACTOR
568741,tm84863,Aleth Hansen,Guitarist (uncredited),ACTOR
60247,tm84863,Jack Kenny,Barfly (uncredited),ACTOR
71567,tm84863,Duke R. Lee,Townsman (uncredited),ACTOR
55124,tm84863,Fred Libby,Phin Clanton (uncredited),ACTOR
41680,tm84863,Mae Marsh,Simpson's Sister (uncredited),ACTOR
1400227,tm84863,Margarita Martín,Woman (uncredited),ACTOR
55122,tm84863,Kermit Maynard,Barfly (uncredited),ACTOR
65340,tm84863,Louis Mercier,François - the Chef (uncredited),ACTOR
84203,tm84863,Jack Montgomery,Faro Dealer (uncredited),ACTOR
41718,tm84863,Jack Pennick,Stagecoach Driver (uncredited),ACTOR
71577,tm84863,Mickey Simpson,Sam Clanton (uncredited),ACTOR
152038,tm84863,Charles Stevens,Indian Charlie (uncredited),ACTOR
364795,tm84863,Arthur Walsh,Hotel Clerk (uncredited),ACTOR
212794,tm84863,Harry Woods,Luke (uncredited),ACTOR
25637,tm84863,John Ford,,DIRECTOR
25652,tm88001,Edward G. Robinson,Federal Agent Wilson,ACTOR
74181,tm88001,Loretta Young,Mary Longstreet,ACTOR
15246,tm88001,Orson Welles,Charles Rankin,ACTOR
45073,tm88001,Philip Merivale,Judge Adam Longstreet,ACTOR
74183,tm88001,Richard Long,Noah Longstreet,ACTOR
74182,tm88001,Konstantin Shayne,Konrad Meinike,ACTOR
74184,tm88001,Byron Keith,Dr. Jeffrey Lawrence,ACTOR
62828,tm88001,Billy House,Mr. Potter,ACTOR
15620,tm88001,Martha Wentworth,Sara,ACTOR
15259,tm88001,Erskine Sanford,Party Guest (uncredited),ACTOR
20041,tm88001,Theodore Gottlieb,Fairbright (uncredited),ACTOR
1032744,tm88001,David Bond,Student (uncredited),ACTOR
27252,tm88001,Neal Dodd,Minister (uncredited),ACTOR
21366,tm88001,Ethan Laidlaw,"Todd, Customer in Potter's Store (uncredited)",ACTOR
771189,tm88001,Isabel O'Madigan,Mrs. Lawrence (uncredited),ACTOR
106285,tm88001,Johnny Sands,Jogging Student in Woods (uncredited),ACTOR
108231,tm88001,Pietro Sosso,Mr. Peabody (uncredited),ACTOR
15246,tm88001,Orson Welles,,DIRECTOR
6191,tm119397,Henry Fonda,Gil Carter,ACTOR
29994,tm119397,Dana Andrews,Donald Martin,ACTOR
137920,tm119397,Mary Beth Hughes,Rose Mapen/Rose Swanson,ACTOR
16350,tm119397,Anthony Quinn,Juan Martínez/Francisco Morez,ACTOR
13336,tm119397,Jane Darwell,Jenny Grier,ACTOR
137597,tm119397,Matt Briggs,Judge Daniel Tyler,ACTOR
51747,tm119397,Frank Conroy,Maj. Tetley,ACTOR
12934,tm119397,Marc Lawrence,Jeff Farnley,ACTOR
210121,tm119397,William Eythe,Gerald Tetley,ACTOR
13338,tm119397,Paul Hurst,Monty Smith,ACTOR
134048,tm119397,Victor Kilian,Darby,ACTOR
25635,tm119397,Harry Morgan,Art Croft,ACTOR
219849,tm119397,Rondo Hatton,Gabe Hart (uncredited),ACTOR
13316,tm119397,Harry Davenport,Arthur Davies,ACTOR
71552,tm119397,Chris-Pin Martin,Poncho,ACTOR
69992,tm119397,Willard Robertson,Sheriff Risley,ACTOR
152137,tm119397,Ted North,Joyce,ACTOR
137380,tm119397,C.E. Anderson,Posse Member (uncredited),ACTOR
14796,tm119397,Tex Cooper,Posse Member (uncredited),ACTOR
152860,tm119397,Larry Dods,Posse Member (uncredited),ACTOR
71562,tm119397,Tex Driscoll,Posse Member (uncredited),ACTOR
560108,tm119397,Don House,Posse Member (uncredited),ACTOR
73846,tm119397,Frank McGrath,Posse Member (uncredited),ACTOR
93470,tm119397,Ben Watson,Posse Member (uncredited),ACTOR
27206,tm119397,Stanley Andrews,Bartlett (uncredited),ACTOR
62982,tm119397,Hank Bell,Red (uncredited),ACTOR
26245,tm119397,William Benedict,Green (uncredited),ACTOR
137621,tm119397,Paul E. Burns,Winder (uncredited),ACTOR
27230,tm119397,George Chandler,Jimmy Cairnes (uncredited),ACTOR
570199,tm119397,Forrest Dillon,Mark (uncredited),ACTOR
22006,tm119397,Francis Ford,Alva 'Dad' Hardwicke (uncredited),ACTOR
60995,tm119397,Margaret Hamilton,Mrs. Larch (uncredited),ACTOR
27291,tm119397,George Lloyd,Moore (uncredited),ACTOR
84208,tm119397,Tom London,Deputy (uncredited),ACTOR
13397,tm119397,George Meeker,Mr. Swanson (uncredited),ACTOR
28505,tm119397,Frank Orth,Larry Kinkaid (uncredited),ACTOR
154305,tm119397,George Plues,Alec Small (uncredited),ACTOR
41719,tm119397,Dick Rich,Deputy Butch Mapes (uncredited),ACTOR
57721,tm119397,Almira Sessions,Miss Swanson (uncredited),ACTOR
182376,tm119397,Leigh Whipper,Sparks (uncredited),ACTOR
56397,tm119397,William A. Wellman,,DIRECTOR
25020,tm50416,James Stewart,Lin McAdam,ACTOR
23986,tm50416,Shelley Winters,Lola Manners,ACTOR
55257,tm50416,Dan Duryea,Waco Johnnie Dean,ACTOR
60241,tm50416,Stephen McNally,Dutch Henry Brown,ACTOR
60242,tm50416,Millard Mitchell,High Spade,ACTOR
27574,tm50416,Charles Drake,Steve Miller,ACTOR
10110,tm50416,John McIntire,Joe Lamont,ACTOR
51099,tm50416,Will Geer,Wyatt Earp,ACTOR
32277,tm50416,Jay C. Flippen,Sergeant Wilkes,ACTOR
49657,tm50416,Rock Hudson,Young Bull,ACTOR
60243,tm50416,John Alexander,Jack Riker,ACTOR
58054,tm50416,Steve Brodie,Wesley,ACTOR
27306,tm50416,James Millican,Wheeler,ACTOR
28504,tm50416,Abner Biberman,Latigo Means,ACTOR
32165,tm50416,Tony Curtis,Doan,ACTOR
38879,tm50416,James Best,Crater,ACTOR
60244,tm50416,Victor Adamson,Townsman (uncredited),ACTOR
49069,tm50416,Chet Brandenburg,Townsman (uncredited),ACTOR
60245,tm50416,Roy Bucko,Townsman (uncredited),ACTOR
60246,tm50416,Victor Cox,Townsman (uncredited),ACTOR
