id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm84863,My Darling Clementine,MOVIE,"Wyatt Earp and his brothers Morgan and Virgil ride into Tombstone and leave brother James in charge of their cattle herd. On their return they find their cattle stolen and James dead. Wyatt takes on the job of town marshal, making his brothers deputies, and vows to stay in Tombstone until James' killers are found. He soon runs into the brooding, coughing, hard-drinking Doc Holliday as well as the sullen and vicious Clanton clan. Wyatt discovers the owner of a trinket stolen from James' dead body and the stage is set for the Earps' long-awaited revenge.",1946,,97,"['western', 'drama', 'romance']",['US'],,tt0038762,7.7,23411.0,11.385,7.5
tm88001,The Stranger,MOVIE,A man working for the War Crimes Commission suspects that an important Nazi official has folded himself into a quaint Connecticut town.,1946,,95,"['thriller', 'crime', 'drama']",['US'],,tt0038991,7.3,26293.0,7.566,7.3
tm119397,The Ox-Bow Incident,MOVIE,"Gil Carter and Art Croft ride into a small Nevada town plagued by cattle thieves. Initially suspected of being the rustlers themselves, Carter and Croft eventually join a posse out to get the criminals, who also may be involved in a recent shooting. When the posse closes in on a group that could be the fugitives, they must decide on a course of action, with numerous lives hanging in the balance.",1943,,75,"['western', 'drama']",['US'],,tt0036244,8.0,23040.0,12.432,7.9
tm50416,Winchester '73,MOVIE,"Lin McAdam rides into town on the trail of Dutch Henry Brown, only to find himself in a shooting competition against him. McAdam wins the prize, a one-in-a-thousand Winchester rifle, but Dutch steals it and leaves town. McAdam follows, intent on settling his old quarrel, while the rifle keeps changing hands and touching a number of lives.",1950,,92,"['western', 'action', 'drama']",['US'],,tt0043137,7.6,19652.0,5.604,7.4
tm60533,The Gunfighter,MOVIE,The fastest gun in the West tries to escape his reputation.,1950,,85,['western'],['US'],,tt0042531,7.7,10960.0,8.086,7.3
tm56594,The Jackie Robinson Story,MOVIE,"Biography of Jackie Robinson, the first black major league baseball player in the 20th century. Traces his career in the negro leagues and the major leagues.",1950,,76,"['drama', 'sport']",['US'],,tt0042609,6.3,1272.0,1.957,6.4
tm66116,Broken Arrow,MOVIE,"Indian scout Tom Jeffords is sent out to stem the war between the Whites and Apaches in the late 1870s. He learns that the Indians kill only to protect themselves, or out of retaliation for white atrocities.",1950,,93,"['western', 'drama', 'romance']",['US'],,tt0042286,7.2,8635.0,9.033,6.7
tm112752,Sherlock Holmes and the Secret Weapon,MOVIE,"In the midst of World War II, Sherlock Holmes rescues the Swiss inventor of a new bomb-sight from the Gestapo and brings him to England, where he shortly falls into the clutches of Professor Moriarty.",1943,,68,"['thriller', 'crime', 'drama']",['US'],,tt0035317,6.5,5948.0,4.593,6.3
tm15689,The Woman in Green,MOVIE,"Sherlock Holmes investigates when young women around London turn up murdered, each with a finger severed. Scotland Yard suspects a madman, but Holmes believes the killings to be part of a diabolical plot.",1945,,68,"['thriller', 'crime', 'drama']",['US'],,tt0038259,6.6,6065.0,8.992,6.5
tm89053,Terror by Night,MOVIE,"Holmes and Watson board a passenger train bound from London to Edinburgh, to guard the Star of Rhodesia, an enormous diamond worth a fortune belonging to an elderly woman of wealth; but within the first hour of the trip, the woman's son is murdered and the diamond stolen and any of the passengers in their car could be the killer thief.",1946,,60,"['thriller', 'drama', 'crime']",['US'],,tt0039017,6.8,6070.0,5.282,6.7
