webtoon_id,title,genre,thumbnail,summary,episodes,Created by,view,subscribe,grade,released_date,url,cover,likes,Written by,Art by,Adapted by,Original work by,Assisted by
1218,Let's Play,Romance,https://webtoon-phinf.pstatic.net/20210629_103/1624917463950NSKjw_PNG/2LetsPlay_desktop_landingpage_FG.png,"She’s young, single and about to achieve her dream of creating incredible videogames. But then life throws her a one-two punch: a popular streamer gives her first game a scathing review. Even worse she finds out that same troublesome critic is now her new neighbor!  A funny, sexy and all-too-real story about gaming, memes and social anxiety. Come for the plot, stay for the doggo.",171,Leeanne M. Krecic (Mongie),606.5M,4.6M,9.59,"Nov 6, 2017",https://www.webtoons.com/en/romance/letsplay/list?title_no=1218,https://webtoon-phinf.pstatic.net/20210629_163/1624917409508Qn4m7_JPEG/0LetsPlay_desktop_thumbnail.jpg?type=a210,37.2M,,,,,
1436,True Beauty,Romance,https://webtoon-phinf.pstatic.net/20210129_175/1611877054382r3fA4_PNG/603_EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,"After binge-watching beauty videos online, a shy comic book fan masters the art of makeup and sees her social standing skyrocket as she becomes her school’s prettiest pretty girl overnight. But will her elite status be short-lived? How long can she keep her real self a secret? And what about that cute boy who knows her secret?",197,Yaongyi,874M,7M,9.53,"Aug 15, 2018",https://www.webtoons.com/en/romance/truebeauty/list?title_no=1436,https://webtoon-phinf.pstatic.net/20210129_65/16118783359373m3Cw_JPEG/710_EC8DB8EB84A4EC9DBC_ipad.jpg?type=a210,46.2M,,,,,
2135,The Remarried Empress,Fantasy,https://webtoon-phinf.pstatic.net/20200904_29/15991783280151tEc6_PNG/03_EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,"Navier Ellie Trovi was an empress perfect in every way -- intelligent, courageous, and socially adept. She was kind to her subjects and devoted to her husband. Navier was perfectly content to live the rest of her days as the wise empress of the Eastern Empire. That is, until her husband brought home a mistress and demanded a divorce. “I accept this divorce… And I request an approval of my remarriage.” In a shocking twist, Navier remarries another emperor and retains her title and childhood dream as empress. But just how did everything unfold?",110,,231.3M,2.5M,9.87,"Sep 5, 2020",https://www.webtoons.com/en/fantasy/the-remarried-empress/list?title_no=2135,https://webtoon-phinf.pstatic.net/20200904_268/15991782626199gHlt_JPEG/10_EC8DB8EB84A4EC9DBC_ipad.jpg?type=a210,21.2M,Alphatart,Sumpul,HereLee,,
1798,Midnight Poppy Land,Romance,https://webtoon-phinf.pstatic.net/20191119_132/1574134817561IvDhN_PNG/03_EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,"After making a grisly discovery in the countryside, a small town book editor’s life gets entangled with a young Mafia lord and his intimidating bodyguard...even as every step she takes draws her deeper into the dangerous underworld of the city.",99,Lilydusk,198.8M,2.3M,9.80,"Nov 22, 2019",https://www.webtoons.com/en/romance/midnight-poppy-land/list?title_no=1798,https://webtoon-phinf.pstatic.net/20191119_163/15741347911633eUH6_JPEG/10_EC8DB8EB84A4EC9DBC_ipad.jpg?type=a210,13.5M,,,,,
3416,Reunion,Romance,https://webtoon-phinf.pstatic.net/20220311_196/1646942404127QXiWA_PNG/0Reunion_landingpage_desktop_fg.png,"After moving away for a decade, Rhea returns to the bustling city on her quest for independence. Things are looking bleak, until she bumps into a familiar face - one she didn't think she would ever see again. Feelings rekindle as secrets begin to unfold, Rhea soon realizes her childhood friend may not be who she believes him to be, and thus her most cherished relationship is put to the test.",9,stephattyy,7.1M,"629,872",9.77,"Mar 17, 2022",https://www.webtoons.com/en/romance/reunion/list?title_no=3416,https://webtoon-phinf.pstatic.net/20220311_14/1646942368946RE3Vw_JPEG/9Reunion_thumbnail_desktop.jpg?type=a210,"570,151",,,,,
2677,Teenage Mercenary,Action,https://webtoon-phinf.pstatic.net/20210430_11/1619747435760KYkpk_PNG/8TeenageMercenary_desktop_landingpage_FG.png,"At the age of eight, Ijin Yu lost his parents in a plane crash and became stranded in a foreign land, forced to become a child mercenary in order to stay alive. He returns home ten years later to be reunited with his family in Korea, where food and shelter are plenty and everything seems peaceful. But Ijin will soon learn that life as a teenager is a whole other feat of survival. With only one year of high school left, Ijin must master new tactics to maneuver his way around the schoolhouse battleground. Can he survive a year of high school? Or rather, will the school be able to survive him?",48,,40.8M,1M,9.86,"Jun 29, 2021",https://www.webtoons.com/en/action/teenage-mercenary/list?title_no=2677,https://webtoon-phinf.pstatic.net/20210430_189/1619747366300Iwsx1_JPEG/8TeenageMercenary_desktop_thumbnail.jpg?type=a210,3.7M,YC,Rakyeon,,,
2921,Sixth Sense Kiss,Romance,https://webtoon-phinf.pstatic.net/20210611_167/1623376339348B2eWm_PNG/1SixthSenseKiss_desktop_landingpage_FG.png,"Yesul Hong has a secret -- when she kisses someone, she can see flashes of their future. It’s hard to believe she’s ever met the right guy when she can’t even see herself in their destiny. She doesn’t get much use out of her ability until one day, when she accidentally kisses her evil boss, Minhu Cha, who’s got a secret of his own. To her utter shock, she sees a vision of herself… in bed with him! As if that’s not confusing enough, she shows up to work the next day to find out that her first love has been hired to work in her department. Will she be able to survive working with the man she wished had been her destiny and the man she’s destined to be with?",48,,33.1M,"772,769",9.75,"Jun 18, 2021",https://www.webtoons.com/en/romance/sixth-sense-kiss/list?title_no=2921,https://webtoon-phinf.pstatic.net/20210611_164/1623376288176HRb8t_JPEG/6SixthSenseKiss_desktop_thumbnail.jpg?type=a210,3M,,Jocobong,,Got W,
986,I Love Yoo,Drama,https://webtoon-phinf.pstatic.net/20170331_32/1490952152012EMuEj_PNG/Details_PC_cha.png,"Dogged by pain and misfortune from the very beginning, Shin-Ae decides she wants nothing to do with people nor anything to do with romance. Although content with her unsocial, boring, loveless existence, her lifestyle is challenged after she ruins an unsuspecting strangers' clothes.",186,Quimchee,552.2M,4.5M,9.76,"Jun 30, 2017",https://www.webtoons.com/en/drama/i-love-yoo/list?title_no=986,https://webtoon-phinf.pstatic.net/20170331_74/1490952135447r5fc5_JPEG/thumb_ipad.jpg?type=a210,32.2M,,,,,
1364,Age Matters,Romance,https://webtoon-phinf.pstatic.net/20200701_79/15935550046594rbGS_PNG/03_EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,"She’s a hopeless romantic who’s turning 30 – and is not super happy about it. He’s a reclusive billionaire who’s hired her to be his assistant – and he’s not too happy about that either. Together they rewrite the rules of friendship, love, work and the BEST way to clean someone’s apartment.",156,Enjelicious,374.9M,3.6M,9.79,"Apr 21, 2018",https://www.webtoons.com/en/romance/age-matters/list?title_no=1364,https://webtoon-phinf.pstatic.net/20210329_171/1617015997512rDo2D_JPEG/5Age-Matters.jpg?type=a210,27.4M,,,,,
2684,Get Schooled,Drama,https://webtoon-phinf.pstatic.net/20210504_155/1620085488667b1QLV_PNG/5GetSchooled_desktop_landingpage_FG.png,"Hwajin Na’s teaching techniques are pretty violent for someone who works in the Ministry of Education. That being said, when punishments don't seem to work on even the worst of school bullies, there is no better man for the job. Sometimes you can’t get a good education until those bullies are taught a lesson.",53,,28.7M,"777,241",9.80,"May 15, 2021",https://www.webtoons.com/en/drama/get-schooled/list?title_no=2684,https://webtoon-phinf.pstatic.net/20210504_152/16200853872927nrBD_JPEG/1GetSchooled_desktop_thumbnail.jpg?type=a210,3.1M,Yongtaek Chae,GARAM HAN,,,
